date	freq
2015-06-01	28
2015-06-02	27
2015-06-03	22
2015-06-04	21
2015-06-05	23
2015-06-06	23
2015-06-07	17
2015-06-08	40
2015-06-09	28
2015-06-10	23
2015-06-11	22
2015-06-12	32
2015-06-13	14
2015-06-14	24
2015-06-15	30
2015-06-16	19
2015-06-17	29
2015-06-18	24
2015-06-19	23
2015-06-20	24
2015-06-21	17
2015-06-22	14
2015-06-23	29
2015-06-24	28
2015-06-25	50
2015-06-26	23
2015-06-27	29
2015-06-28	28
2015-06-29	24
2015-06-30	32
2015-07-01	19
2015-07-02	16
2015-07-03	15
2015-07-04	18
2015-07-05	27
2015-07-06	20
2015-07-07	15
2015-07-08	25
2015-07-09	30
2015-07-10	21
2015-07-11	31
2015-07-12	29
2015-07-13	16
2015-07-14	22
2015-07-15	18
2015-07-16	20
2015-07-17	13
2015-07-18	15
2015-07-19	20
2015-07-20	27
2015-07-21	17
2015-07-22	20
2015-07-23	13
2015-07-24	15
2015-07-25	32
2015-07-26	19
2015-07-27	21
2015-07-28	19
2015-07-29	20
2015-07-30	28
2015-07-31	20
2015-08-01	18
2015-08-02	22
2015-08-03	30
2015-08-04	23
2015-08-05	10
2015-08-06	16
2015-08-07	17
2015-08-08	18
2015-08-09	20
2015-08-10	18
2015-08-11	34
2015-08-12	24
2015-08-13	19
2015-08-14	13
2015-08-15	24
2015-08-16	16
2015-08-17	20
2015-08-18	24
2015-08-19	18
2015-08-20	15
2015-08-21	17
2015-08-22	26
2015-08-23	22
2015-08-24	20
2015-08-25	31
2015-08-26	24
2015-08-27	33
2015-08-28	33
2015-08-29	25
2015-08-30	33
2015-08-31	53
2015-09-01	21
2015-09-02	35
2015-09-03	25
2015-09-04	20
2015-09-05	25
2015-09-06	24
2015-09-07	33
2015-09-08	36
2015-09-09	31
2015-09-10	29
2015-09-11	28
2015-09-12	31
2015-09-13	47
2015-09-14	39
2015-09-15	30
2015-09-16	21
2015-09-17	34
2015-09-18	29
2015-09-19	54
2015-09-20	29
2015-09-21	17
2015-09-22	28
2015-09-23	29
2015-09-24	31
2015-09-25	42
2015-09-26	27
2015-09-27	44
2015-09-28	38
2015-09-29	34
2015-09-30	25
2015-10-01	28
2015-10-02	17
2015-10-03	28
2015-10-04	13
2015-10-05	37
2015-10-06	24
2015-10-07	28
2015-10-08	27
2015-10-09	19
2015-10-10	20
2015-10-11	26
2015-10-12	18
2015-10-13	22
2015-10-14	26
2015-10-15	22
2015-10-16	28
2015-10-17	23
2015-10-18	34
2015-10-19	30
2015-10-20	17
2015-10-21	14
2015-10-22	27
2015-10-23	25
2015-10-24	18
2015-10-25	29
2015-10-26	36
2015-10-27	20
2015-10-28	33
2015-10-29	19
2015-10-30	24
2015-10-31	23
2015-11-01	13
2015-11-02	26
2015-11-03	18
2015-11-04	27
2015-11-05	22
2015-11-06	21
2015-11-07	28
2015-11-08	25
2015-11-09	17
2015-11-10	32
2015-11-11	24
2015-11-12	43
2015-11-13	25
2015-11-14	23
2015-11-15	11
2015-11-16	34
2015-11-17	28
2015-11-18	20
2015-11-19	24
2015-11-20	23
2015-11-21	23
2015-11-22	18
2015-11-23	28
2015-11-24	34
2015-11-25	23
2015-11-26	44
2015-11-27	53
2015-11-28	36
2015-11-29	43
2015-11-30	46
2015-12-01	27
2015-12-02	27
2015-12-03	45
2015-12-04	23
2015-12-05	27
2015-12-06	22
2015-12-07	14
2015-12-08	34
2015-12-09	34
2015-12-10	25
2015-12-11	29
2015-12-12	17
2015-12-13	38
2015-12-14	57
2015-12-15	20
2015-12-16	22
2015-12-17	35
2015-12-18	20
2015-12-19	16
2015-12-20	20
2015-12-21	29
2015-12-22	24
2015-12-23	14
2015-12-24	9
2015-12-25	27
2015-12-26	22
2015-12-27	24
2015-12-28	23
2015-12-29	24
2015-12-30	24
2015-12-31	16
2016-01-01	19
2016-01-02	17
2016-01-03	22
2016-01-04	22
2016-01-05	22
2016-01-06	18
2016-01-07	18
2016-01-08	19
2016-01-09	24
2016-01-10	26
2016-01-11	18
2016-01-12	40
2016-01-13	32
2016-01-14	48
2016-01-15	56
2016-01-16	44
2016-01-17	47
2016-01-18	51
2016-01-19	20
2016-01-20	22
2016-01-21	31
2016-01-22	20
2016-01-23	23
2016-01-24	27
2016-01-25	32
2016-01-26	30
2016-01-27	20
2016-01-28	29
2016-01-29	26
2016-01-30	29
2016-01-31	33
2016-02-01	34
2016-02-02	31
2016-02-03	29
2016-02-04	29
2016-02-05	32
2016-02-06	30
2016-02-07	30
2016-02-08	26
2016-02-09	13
2016-02-10	21
2016-02-11	21
2016-02-12	21
2016-02-13	23
2016-02-14	27
2016-02-15	21
2016-02-16	23
2016-02-17	20
2016-02-18	27
2016-02-19	23
2016-02-20	16
2016-02-21	17
2016-02-22	28
2016-02-23	25
2016-02-24	28
2016-02-25	13
2016-02-26	24
2016-02-27	27
2016-02-28	31
2016-02-29	34
2016-03-01	20
2016-03-02	18
2016-03-03	16
2016-03-04	35
2016-03-05	22
2016-03-06	48
2016-03-07	30
2016-03-08	26
2016-03-09	15
2016-03-10	29
2016-03-11	21
2016-03-12	24
2016-03-13	27
2016-03-14	18
2016-03-15	17
2016-03-16	27
2016-03-17	20
2016-03-18	19
2016-03-19	30
2016-03-20	19
2016-03-21	23
2016-03-22	22
2016-03-23	33
2016-03-24	47
2016-03-25	47
