date	freq
2015-06-01	29
2015-06-02	38
2015-06-03	48
2015-06-04	33
2015-06-05	54
2015-06-06	53
2015-06-07	58
2015-06-08	48
2015-06-09	29
2015-06-10	42
2015-06-11	45
2015-06-12	49
2015-06-13	69
2015-06-14	49
2015-06-15	37
2015-06-16	59
2015-06-17	55
2015-06-18	45
2015-06-19	55
2015-06-20	52
2015-06-21	33
2015-06-22	41
2015-06-23	40
2015-06-24	52
2015-06-25	30
2015-06-26	30
2015-06-27	33
2015-06-28	40
2015-06-29	47
2015-06-30	41
2015-07-01	67
2015-07-02	40
2015-07-03	39
2015-07-04	66
2015-07-05	49
2015-07-06	48
2015-07-07	35
2015-07-08	42
2015-07-09	34
2015-07-10	38
2015-07-11	37
2015-07-12	27
2015-07-13	43
2015-07-14	49
2015-07-15	29
2015-07-16	33
2015-07-17	34
2015-07-18	42
2015-07-19	30
2015-07-20	30
2015-07-21	33
2015-07-22	39
2015-07-23	39
2015-07-24	46
2015-07-25	46
2015-07-26	38
2015-07-27	42
2015-07-28	33
2015-07-29	78
2015-07-30	46
2015-07-31	43
2015-08-01	52
2015-08-02	36
2015-08-03	60
2015-08-04	42
2015-08-05	47
2015-08-06	40
2015-08-07	41
2015-08-08	33
2015-08-09	32
2015-08-10	47
2015-08-11	41
2015-08-12	32
2015-08-13	49
2015-08-14	35
2015-08-15	45
2015-08-16	39
2015-08-17	52
2015-08-18	44
2015-08-19	30
2015-08-20	38
2015-08-21	41
2015-08-22	55
2015-08-23	37
2015-08-24	51
2015-08-25	44
2015-08-26	47
2015-08-27	38
2015-08-28	41
2015-08-29	36
2015-08-30	48
2015-08-31	56
2015-09-01	37
2015-09-02	29
2015-09-03	31
2015-09-04	31
2015-09-05	40
2015-09-06	47
2015-09-07	40
2015-09-08	34
2015-09-09	47
2015-09-10	48
2015-09-11	43
2015-09-12	49
2015-09-13	39
2015-09-14	23
2015-09-15	27
2015-09-16	22
2015-09-17	27
2015-09-18	21
2015-09-19	32
2015-09-20	28
2015-09-21	25
2015-09-22	23
2015-09-23	44
2015-09-24	38
2015-09-25	33
2015-09-26	31
2015-09-27	22
2015-09-28	34
2015-09-29	41
2015-09-30	45
2015-10-01	40
2015-10-02	37
2015-10-03	37
2015-10-04	37
