date	freq
2015-06-01	2259
2015-06-02	2141
2015-06-03	2223
2015-06-04	2186
2015-06-05	2223
2015-06-06	2090
2015-06-07	2140
2015-06-08	2378
2015-06-09	2269
2015-06-10	2112
2015-06-11	2232
2015-06-12	2088
2015-06-13	1987
2015-06-14	2041
2015-06-15	2173
2015-06-16	2112
2015-06-17	2201
2015-06-18	2383
2015-06-19	2296
2015-06-20	2101
2015-06-21	2145
2015-06-22	2094
2015-06-23	2092
2015-06-24	2110
2015-06-25	2102
2015-06-26	2142
2015-06-27	1894
2015-06-28	2068
2015-06-29	2158
2015-06-30	2118
2015-07-01	2080
2015-07-02	2098
2015-07-03	2052
2015-07-04	1992
2015-07-05	2106
2015-07-06	2185
2015-07-07	2112
2015-07-08	2019
2015-07-09	1935
2015-07-10	1905
2015-07-11	1827
2015-07-12	1869
2015-07-13	1802
2015-07-14	1880
2015-07-15	1786
2015-07-16	1981
2015-07-17	1829
2015-07-18	1741
2015-07-19	1674
2015-07-20	1807
2015-07-21	1936
2015-07-22	1842
2015-07-23	1912
2015-07-24	1875
2015-07-25	1627
2015-07-26	1708
2015-07-27	1736
2015-07-28	1816
2015-07-29	1861
2015-07-30	1875
2015-07-31	1766
2015-08-01	1605
2015-08-02	1669
2015-08-03	1749
2015-08-04	1753
2015-08-05	1749
2015-08-06	1636
2015-08-07	1763
2015-08-08	1741
2015-08-09	1680
2015-08-10	1803
2015-08-11	1808
2015-08-12	1671
2015-08-13	1735
2015-08-14	1612
2015-08-15	1500
2015-08-16	1825
2015-08-17	1848
2015-08-18	1905
2015-08-19	1992
2015-08-20	1965
2015-08-21	1825
2015-08-22	1841
2015-08-23	1803
2015-08-24	1941
2015-08-25	2010
2015-08-26	2023
2015-08-27	1947
2015-08-28	2040
2015-08-29	1900
2015-08-30	2033
2015-08-31	2077
2015-09-01	2139
2015-09-02	2161
2015-09-03	2128
2015-09-04	2238
2015-09-05	1917
2015-09-06	2216
2015-09-07	2288
2015-09-08	2201
2015-09-09	2245
2015-09-10	2150
2015-09-11	2067
2015-09-12	1971
2015-09-13	2193
2015-09-14	2281
2015-09-15	2289
2015-09-16	2223
2015-09-17	2345
2015-09-18	2210
2015-09-19	1980
2015-09-20	1990
2015-09-21	2060
