date	freq
2015-06-01	1049
2015-06-02	1025
2015-06-03	1040
2015-06-04	1496
2015-06-05	1846
2015-06-06	1207
2015-06-07	1194
2015-06-08	1170
2015-06-09	512
2015-06-10	2000
2015-06-11	1291
2015-06-12	1171
2015-06-13	1400
2015-06-14	1294
2015-06-15	1182
2015-06-16	1159
2015-06-17	1236
2015-06-18	1236
2015-06-19	1121
2015-06-20	1303
2015-06-21	1398
2015-06-22	1031
2015-06-23	1396
2015-06-24	1063
2015-06-25	1006
2015-06-26	1439
2015-06-27	1216
2015-06-28	1180
2015-06-29	1242
2015-06-30	1076
2015-07-01	1028
2015-07-02	1086
2015-07-03	1057
2015-07-04	1244
2015-07-05	1262
2015-07-06	1371
2015-07-07	1336
2015-07-08	1035
2015-07-09	1290
2015-07-10	1081
2015-07-11	1073
2015-07-12	1104
2015-07-13	1029
2015-07-14	1236
2015-07-15	1381
2015-07-16	1087
2015-07-17	1036
2015-07-18	1103
2015-07-19	1215
2015-07-20	1233
2015-07-21	1384
2015-07-22	1167
2015-07-23	1205
2015-07-24	986
2015-07-25	1067
2015-07-26	1050
2015-07-27	1071
2015-07-28	1058
2015-07-29	1531
2015-07-30	1241
2015-07-31	1016
2015-08-01	1028
2015-08-02	1061
2015-08-03	927
2015-08-04	1140
2015-08-05	1281
2015-08-06	1124
2015-08-07	1033
2015-08-08	993
2015-08-09	1079
2015-08-10	987
2015-08-11	985
2015-08-12	1023
2015-08-13	1095
2015-08-14	970
2015-08-15	994
2015-08-16	1056
2015-08-17	1120
2015-08-18	1391
2015-08-19	1122
2015-08-20	1066
2015-08-21	1089
2015-08-22	1197
2015-08-23	1166
2015-08-24	1147
2015-08-25	1196
2015-08-26	1089
2015-08-27	1466
2015-08-28	1242
2015-08-29	1224
2015-08-30	1226
2015-08-31	1162
2015-09-01	1331
2015-09-02	1818
2015-09-03	1452
2015-09-04	1236
2015-09-05	1871
2015-09-06	1545
2015-09-07	1453
2015-09-08	1252
2015-09-09	2182
2015-09-10	1417
2015-09-11	1238
2015-09-12	1205
2015-09-13	1237
