date	freq
2015-06-01	20
2015-06-02	7
2015-06-03	40
2015-06-04	24
2015-06-05	18
2015-06-06	13
2015-06-07	7
2015-06-08	13
2015-06-09	7
2015-06-10	13
2015-06-11	7
2015-06-12	7
2015-06-13	7
2015-06-14	4
2015-06-15	25
2015-06-16	8
2015-06-17	10
2015-06-18	16
2015-06-19	14
2015-06-20	5
2015-06-21	6
2015-06-22	9
2015-06-23	21
2015-06-24	12
2015-06-25	34
2015-06-26	21
2015-06-27	21
2015-06-28	21
2015-06-29	43
2015-06-30	19
2015-07-01	22
2015-07-02	18
2015-07-03	41
2015-07-04	24
2015-07-05	5
2015-07-06	9
2015-07-07	15
2015-07-08	8
2015-07-09	26
2015-07-10	4
2015-07-11	10
2015-07-12	1
2015-07-13	14
2015-07-14	24
2015-07-15	24
2015-07-16	19
2015-07-17	14
2015-07-18	18
2015-07-19	14
2015-07-20	6
2015-07-21	8
2015-07-22	14
2015-07-23	23
2015-07-24	22
2015-07-25	10
2015-07-26	9
2015-07-27	23
2015-07-28	16
2015-07-29	9
2015-07-30	14
2015-07-31	22
2015-08-01	10
2015-08-02	9
2015-08-03	12
2015-08-04	27
2015-08-05	8
2015-08-06	21
2015-08-07	13
2015-08-08	7
2015-08-09	10
2015-08-10	19
2015-08-11	11
2015-08-12	8
2015-08-13	12
2015-08-14	8
2015-08-15	2
2015-08-16	2
2015-08-17	6
2015-08-18	17
2015-08-19	19
2015-08-20	16
2015-08-21	18
2015-08-22	20
2015-08-23	4
2015-08-24	14
2015-08-25	29
2015-08-26	18
2015-08-27	24
2015-08-28	22
2015-08-29	6
2015-08-30	5
2015-08-31	18
2015-09-01	5
2015-09-02	24
2015-09-03	29
2015-09-04	10
2015-09-05	3
2015-09-06	5
2015-09-07	21
2015-09-08	20
2015-09-09	27
2015-09-10	17
2015-09-11	7
2015-09-12	2
2015-09-13	4
2015-09-14	25
2015-09-15	15
2015-09-16	14
2015-09-17	9
2015-09-18	3
2015-09-19	5
2015-09-20	30
2015-09-21	12
2015-09-22	8
2015-09-23	1
2015-09-24	7
2015-09-25	15
2015-09-26	6
2015-09-27	3
2015-09-28	11
2015-09-29	11
2015-09-30	5
2015-10-01	14
2015-10-02	39
2015-10-03	3
2015-10-04	6
2015-10-05	19
2015-10-06	23
2015-10-07	18
2015-10-08	8
2015-10-09	7
2015-10-10	0
2015-10-11	1
2015-10-12	2
2015-10-13	5
2015-10-14	16
2015-10-15	24
2015-10-16	9
2015-10-17	2
2015-10-18	5
2015-10-19	13
2015-10-20	26
2015-10-21	14
2015-10-22	12
2015-10-23	28
2015-10-24	20
2015-10-25	6
2015-10-26	23
2015-10-27	8
2015-10-28	12
2015-10-29	20
2015-10-30	9
2015-10-31	6
2015-11-01	3
2015-11-02	11
2015-11-03	4
2015-11-04	16
2015-11-05	11
2015-11-06	7
2015-11-07	6
2015-11-08	5
2015-11-09	10
2015-11-10	20
2015-11-11	9
2015-11-12	28
2015-11-13	17
2015-11-14	19
2015-11-15	15
2015-11-16	9
2015-11-17	17
2015-11-18	17
2015-11-19	11
2015-11-20	20
2015-11-21	6
2015-11-22	9
2015-11-23	13
2015-11-24	4
2015-11-25	17
2015-11-26	19
2015-11-27	10
2015-11-28	11
2015-11-29	9
2015-11-30	9
2015-12-01	12
2015-12-02	13
2015-12-03	11
2015-12-04	6
2015-12-05	13
2015-12-06	5
2015-12-07	4
2015-12-08	7
2015-12-09	8
2015-12-10	3
2015-12-11	6
2015-12-12	30
2015-12-13	5
2015-12-14	11
2015-12-15	6
2015-12-16	11
2015-12-17	10
2015-12-18	7
2015-12-19	11
2015-12-20	3
2015-12-21	13
2015-12-22	5
2015-12-23	5
2015-12-24	12
2015-12-25	5
2015-12-26	10
2015-12-27	10
2015-12-28	6
2015-12-29	2
2015-12-30	16
2015-12-31	8
2016-01-01	3
2016-01-02	4
2016-01-03	2
2016-01-04	5
2016-01-05	23
2016-01-06	7
2016-01-07	9
2016-01-08	1
2016-01-09	3
2016-01-10	4
2016-01-11	7
2016-01-12	2
2016-01-13	1
2016-01-14	11
2016-01-15	15
2016-01-16	2
2016-01-17	8
2016-01-18	3
2016-01-19	3
2016-01-20	4
2016-01-21	6
2016-01-22	7
2016-01-23	2
2016-01-24	3
2016-01-25	7
2016-01-26	5
2016-01-27	8
2016-01-28	7
2016-01-29	8
2016-01-30	10
2016-01-31	3
2016-02-01	6
2016-02-02	6
2016-02-03	9
2016-02-04	6
2016-02-05	0
2016-02-06	14
2016-02-07	7
2016-02-08	10
2016-02-09	8
2016-02-10	8
2016-02-11	10
2016-02-12	18
2016-02-13	5
2016-02-14	4
2016-02-15	6
2016-02-16	5
2016-02-17	18
2016-02-18	10
2016-02-19	5
2016-02-20	5
2016-02-21	7
2016-02-22	5
2016-02-23	3
2016-02-24	10
2016-02-25	7
2016-02-26	9
2016-02-27	3
2016-02-28	1
2016-02-29	7
2016-03-01	4
2016-03-02	12
2016-03-03	26
2016-03-04	28
2016-03-05	4
2016-03-06	9
2016-03-07	18
2016-03-08	17
2016-03-09	12
2016-03-10	35
2016-03-11	4
2016-03-12	7
2016-03-13	13
2016-03-14	2
2016-03-15	4
2016-03-16	14
2016-03-17	28
2016-03-18	17
2016-03-19	12
2016-03-20	7
2016-03-21	6
2016-03-22	6
2016-03-23	15
2016-03-24	4
2016-03-25	10
2016-03-26	6
2016-03-27	2
2016-03-28	6
2016-03-29	9
2016-03-30	24
2016-03-31	19
2016-04-01	10
2016-04-02	4
2016-04-03	10
2016-04-04	6
2016-04-05	11
2016-04-06	9
2016-04-07	12
2016-04-08	6
2016-04-09	2
2016-04-10	1
2016-04-11	11
2016-04-12	10
2016-04-13	14
2016-04-14	19
2016-04-15	12
2016-04-16	2
2016-04-17	11
2016-04-18	23
2016-04-19	12
2016-04-20	6
2016-04-21	14
2016-04-22	19
2016-04-23	17
2016-04-24	7
2016-04-25	12
2016-04-26	22
2016-04-27	16
2016-04-28	14
2016-04-29	13
2016-04-30	5
2016-05-01	7
2016-05-02	15
2016-05-03	4
2016-05-04	11
2016-05-05	11
2016-05-06	24
2016-05-07	4
2016-05-08	12
2016-05-09	5
2016-05-10	18
2016-05-11	33
2016-05-12	23
2016-05-13	12
2016-05-14	8
2016-05-15	9
2016-05-16	16
2016-05-17	14
2016-05-18	21
2016-05-19	17
2016-05-20	16
2016-05-21	6
