date	freq
2015-06-01	584
2015-06-02	629
2015-06-03	548
2015-06-04	619
2015-06-05	539
2015-06-06	462
2015-06-07	447
2015-06-08	563
2015-06-09	565
2015-06-10	572
2015-06-11	549
2015-06-12	528
2015-06-13	458
2015-06-14	455
2015-06-15	567
2015-06-16	533
2015-06-17	573
2015-06-18	608
2015-06-19	543
2015-06-20	517
2015-06-21	492
2015-06-22	559
2015-06-23	652
2015-06-24	691
2015-06-25	695
2015-06-26	741
2015-06-27	551
2015-06-28	525
2015-06-29	673
2015-06-30	657
2015-07-01	591
2015-07-02	656
2015-07-03	641
2015-07-04	482
2015-07-05	564
2015-07-06	618
2015-07-07	644
2015-07-08	701
2015-07-09	651
2015-07-10	601
2015-07-11	537
2015-07-12	585
2015-07-13	613
2015-07-14	615
2015-07-15	746
2015-07-16	607
2015-07-17	580
2015-07-18	477
2015-07-19	478
2015-07-20	562
2015-07-21	589
2015-07-22	560
2015-07-23	557
2015-07-24	557
2015-07-25	491
2015-07-26	521
2015-07-27	558
2015-07-28	619
2015-07-29	624
2015-07-30	608
2015-07-31	603
2015-08-01	492
2015-08-02	570
2015-08-03	606
2015-08-04	564
2015-08-05	576
2015-08-06	544
2015-08-07	555
2015-08-08	458
2015-08-09	481
2015-08-10	534
2015-08-11	533
2015-08-12	509
2015-08-13	489
2015-08-14	461
2015-08-15	378
2015-08-16	472
2015-08-17	515
2015-08-18	563
2015-08-19	585
2015-08-20	536
2015-08-21	550
2015-08-22	489
2015-08-23	504
2015-08-24	547
2015-08-25	566
2015-08-26	570
2015-08-27	570
2015-08-28	576
2015-08-29	501
2015-08-30	490
2015-08-31	635
2015-09-01	550
2015-09-02	613
2015-09-03	616
2015-09-04	586
2015-09-05	524
2015-09-06	498
2015-09-07	537
2015-09-08	493
2015-09-09	555
2015-09-10	496
2015-09-11	512
2015-09-12	406
2015-09-13	472
2015-09-14	535
2015-09-15	535
2015-09-16	530
2015-09-17	520
2015-09-18	501
2015-09-19	399
2015-09-20	357
2015-09-21	426
2015-09-22	435
2015-09-23	435
2015-09-24	459
2015-09-25	449
2015-09-26	421
2015-09-27	386
2015-09-28	455
2015-09-29	449
2015-09-30	438
2015-10-01	489
2015-10-02	440
2015-10-03	381
2015-10-04	387
2015-10-05	475
2015-10-06	476
2015-10-07	431
2015-10-08	442
2015-10-09	407
2015-10-10	347
2015-10-11	366
2015-10-12	389
2015-10-13	439
2015-10-14	440
2015-10-15	464
2015-10-16	458
2015-10-17	348
2015-10-18	335
2015-10-19	441
2015-10-20	438
2015-10-21	451
2015-10-22	440
2015-10-23	373
2015-10-24	354
2015-10-25	354
2015-10-26	394
2015-10-27	421
2015-10-28	429
2015-10-29	400
2015-10-30	417
2015-10-31	416
2015-11-01	342
2015-11-02	393
2015-11-03	350
2015-11-04	408
2015-11-05	402
2015-11-06	378
2015-11-07	380
2015-11-08	346
2015-11-09	436
2015-11-10	432
2015-11-11	383
2015-11-12	387
2015-11-13	376
2015-11-14	328
2015-11-15	327
2015-11-16	395
2015-11-17	410
2015-11-18	413
2015-11-19	377
2015-11-20	429
2015-11-21	308
2015-11-22	320
2015-11-23	340
2015-11-24	427
2015-11-25	380
2015-11-26	409
2015-11-27	369
2015-11-28	314
2015-11-29	297
2015-11-30	388
2015-12-01	388
2015-12-02	375
2015-12-03	415
2015-12-04	380
2015-12-05	299
2015-12-06	302
2015-12-07	363
2015-12-08	344
2015-12-09	330
2015-12-10	353
2015-12-11	323
2015-12-12	262
2015-12-13	254
2015-12-14	344
2015-12-15	355
2015-12-16	325
2015-12-17	308
2015-12-18	321
2015-12-19	229
2015-12-20	275
2015-12-21	291
2015-12-22	299
2015-12-23	313
2015-12-24	476
2015-12-25	538
2015-12-26	363
2015-12-27	327
2015-12-28	264
2015-12-29	266
2015-12-30	222
2015-12-31	195
2016-01-01	84
2016-01-02	115
2016-01-03	150
2016-01-04	219
2016-01-05	213
2016-01-06	205
2016-01-07	255
2016-01-08	226
2016-01-09	246
2016-01-10	194
2016-01-11	228
2016-01-12	252
2016-01-13	272
2016-01-14	280
2016-01-15	261
2016-01-16	216
2016-01-17	236
2016-01-18	238
2016-01-19	236
2016-01-20	252
2016-01-21	283
2016-01-22	276
2016-01-23	212
2016-01-24	250
2016-01-25	239
2016-01-26	234
2016-01-27	227
2016-01-28	307
2016-01-29	283
2016-01-30	242
2016-01-31	227
2016-02-01	263
2016-02-02	238
2016-02-03	199
2016-02-04	228
2016-02-05	202
2016-02-06	194
2016-02-07	229
2016-02-08	248
2016-02-09	237
2016-02-10	222
2016-02-11	191
2016-02-12	196
2016-02-13	198
2016-02-14	212
2016-02-15	237
2016-02-16	218
2016-02-17	240
2016-02-18	220
2016-02-19	203
2016-02-20	199
2016-02-21	196
2016-02-22	265
2016-02-23	224
2016-02-24	254
2016-02-25	251
2016-02-26	236
2016-02-27	207
2016-02-28	195
2016-02-29	248
2016-03-01	222
2016-03-02	271
2016-03-03	258
2016-03-04	227
2016-03-05	236
2016-03-06	220
2016-03-07	272
2016-03-08	255
2016-03-09	256
2016-03-10	265
2016-03-11	234
2016-03-12	192
2016-03-13	257
2016-03-14	302
2016-03-15	305
2016-03-16	285
2016-03-17	253
2016-03-18	242
2016-03-19	231
2016-03-20	211
2016-03-21	237
2016-03-22	260
2016-03-23	276
2016-03-24	284
2016-03-25	251
2016-03-26	227
2016-03-27	237
2016-03-28	281
2016-03-29	280
2016-03-30	308
2016-03-31	274
2016-04-01	314
2016-04-02	245
2016-04-03	271
2016-04-04	307
2016-04-05	317
2016-04-06	325
2016-04-07	314
2016-04-08	338
2016-04-09	319
2016-04-10	308
2016-04-11	374
2016-04-12	379
2016-04-13	401
2016-04-14	392
2016-04-15	366
2016-04-16	250
2016-04-17	286
2016-04-18	350
2016-04-19	382
2016-04-20	345
2016-04-21	347
2016-04-22	351
2016-04-23	352
2016-04-24	372
2016-04-25	399
2016-04-26	387
2016-04-27	357
2016-04-28	394
2016-04-29	297
2016-04-30	327
2016-05-01	363
2016-05-02	389
2016-05-03	298
2016-05-04	320
2016-05-05	358
2016-05-06	396
2016-05-07	349
2016-05-08	433
2016-05-09	418
2016-05-10	421
2016-05-11	450
2016-05-12	473
2016-05-13	423
2016-05-14	382
2016-05-15	440
2016-05-16	451
2016-05-17	492
2016-05-18	502
2016-05-19	457
2016-05-20	465
2016-05-21	419
2016-05-22	412
2016-05-23	479
2016-05-24	489
2016-05-25	529
2016-05-26	501
2016-05-27	476
2016-05-28	404
2016-05-29	435
2016-05-30	538
2016-05-31	546
