date	freq
2015-06-01	136
2015-06-02	190
2015-06-03	160
2015-06-04	159
2015-06-05	147
2015-06-06	141
2015-06-07	155
2015-06-08	128
2015-06-09	70
2015-06-10	90
2015-06-11	199
2015-06-12	151
2015-06-13	156
2015-06-14	141
2015-06-15	179
2015-06-16	183
2015-06-17	163
2015-06-18	134
2015-06-19	129
2015-06-20	176
2015-06-21	156
2015-06-22	150
2015-06-23	194
2015-06-24	255
2015-06-25	167
2015-06-26	175
2015-06-27	169
2015-06-28	161
2015-06-29	134
2015-06-30	173
2015-07-01	154
2015-07-02	146
2015-07-03	176
2015-07-04	188
2015-07-05	174
2015-07-06	149
2015-07-07	139
2015-07-08	161
2015-07-09	146
2015-07-10	200
2015-07-11	189
2015-07-12	316
2015-07-13	150
2015-07-14	157
2015-07-15	158
2015-07-16	130
2015-07-17	186
2015-07-18	163
2015-07-19	171
2015-07-20	147
2015-07-21	132
2015-07-22	185
2015-07-23	166
2015-07-24	162
2015-07-25	175
2015-07-26	177
2015-07-27	165
2015-07-28	135
2015-07-29	160
2015-07-30	171
2015-07-31	142
2015-08-01	413
2015-08-02	172
2015-08-03	151
2015-08-04	148
2015-08-05	163
2015-08-06	154
2015-08-07	181
2015-08-08	191
2015-08-09	131
2015-08-10	163
2015-08-11	159
2015-08-12	145
2015-08-13	167
2015-08-14	133
2015-08-15	169
2015-08-16	135
2015-08-17	149
2015-08-18	178
2015-08-19	171
2015-08-20	147
2015-08-21	153
2015-08-22	180
2015-08-23	137
2015-08-24	204
2015-08-25	166
2015-08-26	411
2015-08-27	232
2015-08-28	233
2015-08-29	165
2015-08-30	201
2015-08-31	313
2015-09-01	183
2015-09-02	145
2015-09-03	194
2015-09-04	196
2015-09-05	146
2015-09-06	163
2015-09-07	142
2015-09-08	163
2015-09-09	161
2015-09-10	161
2015-09-11	155
2015-09-12	133
2015-09-13	273
2015-09-14	152
2015-09-15	197
2015-09-16	135
2015-09-17	219
2015-09-18	166
2015-09-19	141
2015-09-20	107
2015-09-21	144
2015-09-22	138
2015-09-23	138
2015-09-24	112
2015-09-25	151
2015-09-26	185
2015-09-27	166
2015-09-28	178
2015-09-29	153
2015-09-30	206
2015-10-01	145
2015-10-02	144
2015-10-03	140
2015-10-04	151
2015-10-05	162
2015-10-06	140
2015-10-07	107
2015-10-08	124
2015-10-09	143
2015-10-10	106
2015-10-11	158
2015-10-12	135
2015-10-13	118
2015-10-14	176
2015-10-15	104
2015-10-16	132
2015-10-17	108
2015-10-18	134
2015-10-19	137
2015-10-20	138
2015-10-21	110
2015-10-22	192
2015-10-23	120
2015-10-24	164
2015-10-25	130
2015-10-26	146
2015-10-27	140
2015-10-28	187
2015-10-29	172
2015-10-30	138
2015-10-31	202
2015-11-01	143
2015-11-02	155
2015-11-03	124
2015-11-04	133
2015-11-05	129
2015-11-06	121
2015-11-07	353
2015-11-08	274
2015-11-09	210
2015-11-10	139
2015-11-11	194
2015-11-12	267
2015-11-13	157
2015-11-14	130
2015-11-15	119
2015-11-16	121
2015-11-17	143
2015-11-18	125
2015-11-19	148
2015-11-20	114
2015-11-21	105
2015-11-22	144
2015-11-23	218
2015-11-24	139
2015-11-25	149
2015-11-26	107
2015-11-27	114
2015-11-28	113
2015-11-29	137
2015-11-30	129
2015-12-01	146
2015-12-02	135
2015-12-03	147
2015-12-04	167
2015-12-05	140
2015-12-06	108
2015-12-07	156
2015-12-08	119
2015-12-09	125
2015-12-10	130
2015-12-11	121
2015-12-12	135
2015-12-13	114
2015-12-14	119
2015-12-15	103
2015-12-16	107
2015-12-17	120
2015-12-18	105
2015-12-19	95
2015-12-20	137
2015-12-21	172
2015-12-22	135
2015-12-23	124
2015-12-24	151
2015-12-25	124
2015-12-26	159
2015-12-27	141
2015-12-28	119
2015-12-29	177
2015-12-30	123
2015-12-31	100
2016-01-01	95
2016-01-02	108
2016-01-03	119
2016-01-04	170
2016-01-05	118
2016-01-06	129
2016-01-07	131
2016-01-08	138
2016-01-09	137
2016-01-10	151
2016-01-11	120
2016-01-12	106
2016-01-13	115
2016-01-14	101
2016-01-15	112
2016-01-16	114
2016-01-17	122
2016-01-18	93
2016-01-19	97
2016-01-20	135
2016-01-21	144
2016-01-22	130
2016-01-23	81
2016-01-24	140
2016-01-25	114
2016-01-26	133
2016-01-27	285
2016-01-28	558
2016-01-29	139
2016-01-30	144
2016-01-31	190
2016-02-01	116
2016-02-02	110
2016-02-03	85
2016-02-04	111
2016-02-05	111
2016-02-06	127
2016-02-07	99
2016-02-08	126
2016-02-09	167
2016-02-10	308
2016-02-11	152
2016-02-12	113
2016-02-13	120
2016-02-14	126
2016-02-15	128
2016-02-16	125
2016-02-17	110
2016-02-18	104
2016-02-19	90
2016-02-20	123
2016-02-21	146
2016-02-22	115
2016-02-23	153
2016-02-24	114
2016-02-25	149
2016-02-26	115
2016-02-27	99
2016-02-28	145
2016-02-29	114
2016-03-01	128
2016-03-02	116
2016-03-03	125
2016-03-04	108
2016-03-05	138
2016-03-06	122
2016-03-07	144
2016-03-08	123
2016-03-09	153
2016-03-10	195
2016-03-11	121
2016-03-12	126
2016-03-13	155
2016-03-14	145
2016-03-15	133
2016-03-16	132
2016-03-17	151
2016-03-18	120
2016-03-19	116
2016-03-20	111
2016-03-21	124
2016-03-22	184
2016-03-23	151
2016-03-24	101
2016-03-25	107
2016-03-26	119
2016-03-27	129
2016-03-28	143
2016-03-29	134
2016-03-30	113
2016-03-31	137
2016-04-01	134
2016-04-02	118
2016-04-03	150
2016-04-04	134
2016-04-05	141
2016-04-06	129
2016-04-07	122
2016-04-08	150
2016-04-09	147
2016-04-10	187
2016-04-11	124
2016-04-12	107
2016-04-13	114
2016-04-14	112
2016-04-15	112
2016-04-16	122
2016-04-17	143
2016-04-18	122
2016-04-19	161
2016-04-20	132
2016-04-21	130
2016-04-22	102
2016-04-23	113
2016-04-24	228
2016-04-25	129
2016-04-26	118
2016-04-27	118
2016-04-28	130
2016-04-29	151
2016-04-30	182
2016-05-01	167
2016-05-02	139
2016-05-03	153
2016-05-04	160
2016-05-05	138
2016-05-06	169
2016-05-07	154
2016-05-08	186
2016-05-09	118
2016-05-10	133
2016-05-11	167
2016-05-12	158
2016-05-13	122
2016-05-14	144
2016-05-15	188
2016-05-16	148
2016-05-17	149
2016-05-18	164
2016-05-19	126
2016-05-20	167
2016-05-21	164
2016-05-22	159
2016-05-23	152
2016-05-24	130
2016-05-25	151
2016-05-26	179
2016-05-27	127
2016-05-28	135
2016-05-29	207
2016-05-30	143
2016-05-31	185
