date	freq
2015-06-01	226
2015-06-02	222
2015-06-03	268
2015-06-04	261
2015-06-05	237
2015-06-06	257
2015-06-07	309
2015-06-08	237
2015-06-09	276
2015-06-10	285
2015-06-11	271
2015-06-12	270
2015-06-13	268
2015-06-14	280
2015-06-15	250
2015-06-16	249
2015-06-17	263
2015-06-18	247
2015-06-19	219
2015-06-20	235
2015-06-21	259
2015-06-22	258
2015-06-23	205
2015-06-24	258
2015-06-25	261
2015-06-26	266
2015-06-27	189
2015-06-28	264
2015-06-29	240
2015-06-30	238
2015-07-01	243
2015-07-02	244
2015-07-03	214
2015-07-04	258
2015-07-05	268
2015-07-06	262
2015-07-07	233
2015-07-08	270
2015-07-09	224
2015-07-10	241
2015-07-11	286
2015-07-12	219
2015-07-13	279
2015-07-14	258
2015-07-15	231
2015-07-16	214
2015-07-17	208
2015-07-18	258
2015-07-19	241
2015-07-20	207
2015-07-21	229
2015-07-22	263
2015-07-23	231
2015-07-24	240
2015-07-25	244
2015-07-26	253
2015-07-27	251
2015-07-28	233
2015-07-29	240
2015-07-30	264
2015-07-31	210
2015-08-01	214
2015-08-02	239
2015-08-03	229
2015-08-04	237
2015-08-05	228
2015-08-06	249
2015-08-07	237
2015-08-08	226
2015-08-09	199
2015-08-10	196
2015-08-11	236
2015-08-12	230
2015-08-13	255
2015-08-14	235
2015-08-15	211
2015-08-16	223
2015-08-17	219
2015-08-18	252
2015-08-19	252
2015-08-20	244
2015-08-21	236
2015-08-22	235
2015-08-23	233
2015-08-24	287
2015-08-25	253
2015-08-26	244
2015-08-27	241
2015-08-28	272
2015-08-29	224
2015-08-30	241
2015-08-31	237
2015-09-01	263
2015-09-02	251
2015-09-03	246
2015-09-04	224
2015-09-05	262
2015-09-06	298
2015-09-07	282
2015-09-08	267
2015-09-09	228
2015-09-10	282
2015-09-11	195
2015-09-12	269
2015-09-13	210
2015-09-14	207
2015-09-15	150
2015-09-16	187
2015-09-17	183
2015-09-18	189
2015-09-19	169
2015-09-20	172
2015-09-21	215
2015-09-22	208
2015-09-23	195
2015-09-24	185
2015-09-25	153
2015-09-26	195
2015-09-27	195
2015-09-28	199
2015-09-29	177
2015-09-30	202
2015-10-01	218
2015-10-02	151
2015-10-03	187
2015-10-04	192
2015-10-05	190
2015-10-06	160
2015-10-07	185
2015-10-08	160
2015-10-09	154
2015-10-10	197
2015-10-11	192
2015-10-12	188
2015-10-13	173
2015-10-14	188
2015-10-15	173
2015-10-16	189
2015-10-17	180
2015-10-18	200
2015-10-19	179
2015-10-20	163
2015-10-21	195
2015-10-22	212
2015-10-23	184
2015-10-24	169
2015-10-25	180
2015-10-26	197
2015-10-27	155
2015-10-28	172
2015-10-29	192
2015-10-30	156
2015-10-31	156
2015-11-01	172
2015-11-02	169
2015-11-03	225
2015-11-04	195
2015-11-05	189
2015-11-06	157
2015-11-07	187
2015-11-08	232
2015-11-09	201
2015-11-10	292
2015-11-11	318
2015-11-12	379
2015-11-13	331
2015-11-14	338
2015-11-15	394
2015-11-16	389
2015-11-17	334
2015-11-18	313
2015-11-19	269
2015-11-20	212
2015-11-21	223
2015-11-22	284
2015-11-23	314
2015-11-24	268
2015-11-25	252
2015-11-26	264
2015-11-27	289
2015-11-28	283
2015-11-29	288
2015-11-30	253
2015-12-01	219
2015-12-02	249
2015-12-03	238
2015-12-04	217
2015-12-05	197
2015-12-06	247
2015-12-07	266
2015-12-08	283
2015-12-09	251
2015-12-10	257
2015-12-11	238
2015-12-12	270
2015-12-13	245
2015-12-14	315
2015-12-15	236
2015-12-16	207
2015-12-17	190
2015-12-18	249
2015-12-19	204
2015-12-20	217
2015-12-21	222
2015-12-22	244
2015-12-23	233
2015-12-24	193
2015-12-25	206
2015-12-26	176
2015-12-27	216
2015-12-28	195
2015-12-29	234
2015-12-30	214
2015-12-31	193
2016-01-01	179
2016-01-02	216
2016-01-03	235
2016-01-04	255
2016-01-05	238
2016-01-06	258
2016-01-07	275
2016-01-08	287
2016-01-09	240
2016-01-10	282
2016-01-11	254
2016-01-12	255
2016-01-13	293
2016-01-14	268
2016-01-15	246
