date	freq
2015-06-01	10628
2015-06-02	9789
2015-06-03	9972
2015-06-04	10263
2015-06-05	10002
2015-06-06	14221
2015-06-07	12616
2015-06-08	10953
2015-06-09	5030
2015-06-10	12361
2015-06-11	11564
2015-06-12	11570
2015-06-13	21985
2015-06-14	16963
2015-06-15	11549
2015-06-16	9917
2015-06-17	10636
2015-06-18	10304
2015-06-19	9691
2015-06-20	10564
2015-06-21	10636
2015-06-22	10372
2015-06-23	10029
2015-06-24	9775
2015-06-25	9482
2015-06-26	10112
2015-06-27	10138
2015-06-28	11327
2015-06-29	10780
2015-06-30	10503
2015-07-01	11303
2015-07-02	10162
2015-07-03	9939
2015-07-04	11914
2015-07-05	11116
2015-07-06	10431
2015-07-07	10657
2015-07-08	10344
2015-07-09	10385
2015-07-10	10335
2015-07-11	11369
2015-07-12	11666
2015-07-13	11687
2015-07-14	11365
2015-07-15	11400
2015-07-16	10746
2015-07-17	10363
2015-07-18	11263
2015-07-19	10517
2015-07-20	11605
2015-07-21	11043
2015-07-22	11468
2015-07-23	11338
2015-07-24	11555
2015-07-25	11254
2015-07-26	11304
2015-07-27	10929
2015-07-28	10651
2015-07-29	11627
2015-07-30	10709
2015-07-31	10695
2015-08-01	10951
2015-08-02	12684
2015-08-03	12517
2015-08-04	11064
2015-08-05	11244
2015-08-06	10832
2015-08-07	10994
2015-08-08	11026
2015-08-09	10364
2015-08-10	10938
2015-08-11	10904
2015-08-12	10539
2015-08-13	10747
2015-08-14	10532
2015-08-15	10630
2015-08-16	10510
2015-08-17	11274
2015-08-18	10712
2015-08-19	10579
2015-08-20	11508
2015-08-21	11251
2015-08-22	10830
2015-08-23	10711
2015-08-24	10378
2015-08-25	10289
2015-08-26	11193
2015-08-27	10453
2015-08-28	10546
2015-08-29	11590
2015-08-30	11522
2015-08-31	10684
2015-09-01	9961
2015-09-02	10466
2015-09-03	11057
2015-09-04	11163
2015-09-05	11851
2015-09-06	11961
2015-09-07	10358
2015-09-08	11486
2015-09-09	11452
2015-09-10	12183
2015-09-11	11039
2015-09-12	11736
2015-09-13	10870
2015-09-14	11734
2015-09-15	13008
2015-09-16	10782
2015-09-17	10295
2015-09-18	10718
2015-09-19	10670
2015-09-20	14726
2015-09-21	12129
2015-09-22	10496
2015-09-23	11053
2015-09-24	9152
2015-09-25	9311
2015-09-26	10516
2015-09-27	11165
2015-09-28	9929
2015-09-29	9416
2015-09-30	9863
2015-10-01	9552
2015-10-02	10256
2015-10-03	11362
2015-10-04	11240
2015-10-05	10820
2015-10-06	9933
2015-10-07	9027
2015-10-08	9678
2015-10-09	9353
2015-10-10	10347
2015-10-11	10684
2015-10-12	11725
2015-10-13	10645
2015-10-14	9833
2015-10-15	11080
2015-10-16	10236
2015-10-17	9407
2015-10-18	10988
2015-10-19	10193
2015-10-20	10108
2015-10-21	9924
2015-10-22	9906
2015-10-23	11131
2015-10-24	11462
2015-10-25	11084
2015-10-26	9958
2015-10-27	10171
2015-10-28	12249
2015-10-29	10686
2015-10-30	10286
2015-10-31	10125
2015-11-01	12545
2015-11-02	9684
2015-11-03	11460
2015-11-04	10319
2015-11-05	10243
2015-11-06	10584
2015-11-07	11894
2015-11-08	12210
2015-11-09	11126
2015-11-10	11325
2015-11-11	10429
2015-11-12	10855
2015-11-13	9916
2015-11-14	10445
2015-11-15	12376
2015-11-16	11356
2015-11-17	11589
2015-11-18	11755
2015-11-19	11842
2015-11-20	11956
2015-11-21	14790
2015-11-22	16860
2015-11-23	15014
2015-11-24	13520
2015-11-25	13504
2015-11-26	12846
2015-11-27	13078
2015-11-28	14750
2015-11-29	14661
2015-11-30	12858
2015-12-01	11868
2015-12-02	11846
2015-12-03	11577
2015-12-04	11302
2015-12-05	12573
2015-12-06	13922
2015-12-07	13425
2015-12-08	11836
2015-12-09	11885
2015-12-10	10472
2015-12-11	11217
2015-12-12	13230
2015-12-13	13303
2015-12-14	14757
2015-12-15	13596
2015-12-16	14419
2015-12-17	12310
2015-12-18	11889
2015-12-19	13265
2015-12-20	13047
2015-12-21	14137
2015-12-22	13304
2015-12-23	13615
2015-12-24	15839
2015-12-25	14656
2015-12-26	14723
2015-12-27	13746
2015-12-28	13380
2015-12-29	14109
2015-12-30	13546
2015-12-31	14794
2016-01-01	12483
2016-01-02	13126
2016-01-03	16536
2016-01-04	17258
2016-01-05	14946
2016-01-06	14636
2016-01-07	14841
2016-01-08	15435
2016-01-09	15774
2016-01-10	15563
2016-01-11	16401
2016-01-12	15855
2016-01-13	14648
2016-01-14	12907
2016-01-15	15914
2016-01-16	16934
2016-01-17	15750
2016-01-18	20426
2016-01-19	12129
2016-01-20	12711
2016-01-21	12830
2016-01-22	20105
2016-01-23	14993
2016-01-24	18743
2016-01-25	15725
2016-01-26	13892
2016-01-27	13188
2016-01-28	19477
2016-01-29	16212
2016-01-30	17347
2016-01-31	14869
2016-02-01	13158
2016-02-02	15468
2016-02-03	13150
2016-02-04	13177
2016-02-05	13940
2016-02-06	15849
2016-02-07	14076
2016-02-08	13003
2016-02-09	12913
2016-02-10	12516
2016-02-11	14110
2016-02-12	14922
2016-02-13	14059
2016-02-14	13518
2016-02-15	11898
2016-02-16	11865
2016-02-17	13555
2016-02-18	17536
2016-02-19	13746
2016-02-20	17883
2016-02-21	18653
2016-02-22	13807
2016-02-23	12747
2016-02-24	14643
2016-02-25	13977
2016-02-26	12624
2016-02-27	13998
2016-02-28	14509
2016-02-29	12890
2016-03-01	12302
2016-03-02	11938
2016-03-03	11730
2016-03-04	12302
2016-03-05	13728
2016-03-06	16244
2016-03-07	13510
2016-03-08	14090
2016-03-09	12707
2016-03-10	13319
2016-03-11	13786
2016-03-12	14938
2016-03-13	15798
2016-03-14	11893
2016-03-15	12266
2016-03-16	12873
2016-03-17	13279
2016-03-18	12856
2016-03-19	13010
2016-03-20	15045
2016-03-21	14584
2016-03-22	14006
2016-03-23	13432
2016-03-24	13212
2016-03-25	13959
2016-03-26	12804
2016-03-27	12603
2016-03-28	11427
2016-03-29	12674
2016-03-30	11884
2016-03-31	12977
2016-04-01	13452
2016-04-02	11855
2016-04-03	13383
2016-04-04	12437
2016-04-05	12529
2016-04-06	12718
2016-04-07	12206
2016-04-08	12805
2016-04-09	11918
2016-04-10	14556
2016-04-11	11045
2016-04-12	15091
2016-04-13	11360
2016-04-14	11724
2016-04-15	12183
2016-04-16	14991
2016-04-17	16357
2016-04-18	16937
2016-04-19	14054
2016-04-20	11137
2016-04-21	12851
2016-04-22	14039
2016-04-23	14140
2016-04-24	14313
2016-04-25	13658
2016-04-26	15878
2016-04-27	13944
2016-04-28	11548
2016-04-29	12285
2016-04-30	12336
2016-05-01	12240
2016-05-02	12353
2016-05-03	11833
2016-05-04	12103
2016-05-05	13048
2016-05-06	12327
2016-05-07	12479
2016-05-08	12125
2016-05-09	10209
2016-05-10	11375
2016-05-11	11055
2016-05-12	11102
2016-05-13	13508
2016-05-14	14824
2016-05-15	13576
2016-05-16	12332
2016-05-17	11847
2016-05-18	11367
2016-05-19	11407
2016-05-20	12626
2016-05-21	13491
2016-05-22	13071
2016-05-23	13374
2016-05-24	13817
2016-05-25	13465
2016-05-26	17464
2016-05-27	18529
2016-05-28	18191
2016-05-29	18638
2016-05-30	16137
