date	freq
2015-06-01	1
2015-06-02	7
2015-06-03	3
2015-06-04	2
2015-06-05	2
2015-06-06	4
2015-06-07	3
2015-06-08	3
2015-06-09	2
2015-06-10	9
2015-06-11	2
2015-06-12	5
2015-06-13	4
2015-06-14	4
2015-06-15	2
2015-06-16	5
2015-06-17	1
2015-06-18	1
2015-06-19	2
2015-06-20	2
2015-06-21	4
2015-06-22	2
2015-06-23	3
2015-06-24	3
2015-06-25	9
2015-06-26	2
2015-06-27	6
2015-06-28	4
2015-06-29	8
2015-06-30	2
2015-07-01	3
2015-07-02	4
2015-07-03	5
2015-07-04	2
2015-07-05	7
2015-07-06	15
2015-07-07	6
2015-07-08	5
2015-07-09	2
2015-07-10	11
2015-07-11	2
2015-07-12	3
2015-07-13	5
2015-07-14	2
2015-07-15	3
2015-07-16	1
2015-07-17	4
2015-07-18	3
2015-07-19	2
2015-07-20	4
2015-07-21	5
2015-07-22	5
2015-07-23	1
2015-07-24	8
2015-07-25	3
2015-07-26	2
2015-07-27	5
2015-07-28	3
2015-07-29	3
2015-07-30	7
2015-07-31	3
2015-08-01	3
2015-08-02	2
2015-08-03	2
2015-08-04	4
2015-08-05	3
2015-08-06	2
2015-08-07	4
2015-08-08	1
2015-08-09	6
2015-08-10	2
2015-08-11	1
2015-08-12	6
2015-08-13	4
2015-08-14	4
2015-08-15	1
2015-08-16	1
2015-08-17	2
2015-08-18	3
2015-08-19	3
2015-08-20	1
2015-08-21	3
2015-08-22	5
2015-08-23	3
2015-08-24	5
2015-08-25	2
2015-08-26	2
2015-08-27	6
2015-08-28	4
2015-08-29	4
2015-08-30	7
2015-08-31	16
2015-09-01	9
2015-09-02	2
2015-09-03	3
2015-09-04	3
2015-09-05	3
2015-09-06	1
2015-09-07	6
2015-09-08	1
2015-09-09	3
2015-09-10	3
2015-09-11	3
2015-09-12	4
2015-09-13	4
2015-09-14	0
2015-09-15	5
2015-09-16	2
2015-09-17	4
2015-09-18	3
2015-09-19	3
2015-09-20	3
2015-09-21	1
2015-09-22	3
2015-09-23	3
2015-09-24	1
2015-09-25	5
2015-09-26	4
2015-09-27	1
2015-09-28	2
2015-09-29	1
2015-09-30	1
2015-10-01	6
2015-10-02	1
2015-10-03	5
2015-10-04	7
2015-10-05	8
2015-10-06	1
2015-10-07	1
2015-10-08	2
2015-10-09	2
2015-10-10	1
2015-10-11	3
2015-10-12	3
2015-10-13	0
2015-10-14	4
2015-10-15	3
2015-10-16	5
2015-10-17	1
2015-10-18	3
2015-10-19	4
2015-10-20	3
2015-10-21	6
2015-10-22	2
2015-10-23	5
2015-10-24	5
2015-10-25	1
2015-10-26	2
2015-10-27	3
2015-10-28	2
2015-10-29	4
2015-10-30	6
2015-10-31	3
2015-11-01	1
2015-11-02	3
2015-11-03	2
2015-11-04	4
2015-11-05	9
2015-11-06	3
2015-11-07	1
2015-11-08	2
2015-11-09	2
2015-11-10	5
2015-11-11	3
2015-11-12	6
2015-11-13	11
2015-11-14	3
2015-11-15	2
2015-11-16	5
2015-11-17	1
2015-11-18	4
2015-11-19	4
2015-11-20	7
2015-11-21	4
2015-11-22	1
2015-11-23	2
2015-11-24	4
2015-11-25	4
2015-11-26	4
2015-11-27	2
2015-11-28	2
2015-11-29	4
2015-11-30	3
2015-12-01	6
2015-12-02	4
2015-12-03	3
2015-12-04	2
2015-12-05	7
2015-12-06	2
2015-12-07	4
2015-12-08	1
2015-12-09	4
2015-12-10	0
2015-12-11	6
2015-12-12	3
2015-12-13	7
2015-12-14	9
2015-12-15	3
2015-12-16	5
2015-12-17	9
2015-12-18	7
2015-12-19	3
2015-12-20	2
2015-12-21	1
2015-12-22	5
2015-12-23	6
2015-12-24	5
2015-12-25	7
2015-12-26	3
2015-12-27	6
2015-12-28	6
2015-12-29	3
2015-12-30	4
2015-12-31	1
2016-01-01	8
2016-01-02	1
2016-01-03	6
2016-01-04	9
2016-01-05	4
2016-01-06	3
2016-01-07	6
2016-01-08	11
2016-01-09	7
2016-01-10	0
2016-01-11	5
2016-01-12	3
2016-01-13	9
2016-01-14	5
2016-01-15	5
2016-01-16	6
2016-01-17	10
2016-01-18	1
2016-01-19	3
2016-01-20	5
2016-01-21	12
2016-01-22	7
2016-01-23	2
2016-01-24	1
2016-01-25	2
2016-01-26	10
2016-01-27	3
2016-01-28	5
2016-01-29	8
2016-01-30	1
2016-01-31	2
2016-02-01	1
2016-02-02	10
2016-02-03	6
2016-02-04	8
2016-02-05	7
2016-02-06	10
2016-02-07	2
2016-02-08	7
2016-02-09	2
2016-02-10	4
2016-02-11	6
2016-02-12	5
2016-02-13	7
2016-02-14	3
2016-02-15	4
2016-02-16	3
2016-02-17	9
2016-02-18	6
2016-02-19	6
2016-02-20	10
2016-02-21	7
2016-02-22	4
2016-02-23	3
2016-02-24	7
2016-02-25	7
2016-02-26	3
2016-02-27	4
2016-02-28	2
2016-02-29	3
2016-03-01	7
2016-03-02	3
2016-03-03	10
2016-03-04	8
2016-03-05	5
2016-03-06	2
2016-03-07	9
2016-03-08	4
2016-03-09	3
2016-03-10	1
2016-03-11	3
2016-03-12	10
2016-03-13	2
2016-03-14	6
2016-03-15	4
2016-03-16	3
2016-03-17	6
2016-03-18	11
2016-03-19	11
2016-03-20	5
2016-03-21	3
2016-03-22	6
2016-03-23	14
2016-03-24	8
2016-03-25	2
2016-03-26	2
2016-03-27	5
2016-03-28	0
2016-03-29	1
2016-03-30	1
2016-03-31	2
2016-04-01	1
2016-04-02	8
2016-04-03	9
2016-04-04	5
2016-04-05	1
2016-04-06	2
2016-04-07	1
2016-04-08	3
2016-04-09	3
2016-04-10	4
2016-04-11	6
2016-04-12	3
2016-04-13	3
2016-04-14	3
2016-04-15	1
2016-04-16	3
2016-04-17	3
2016-04-18	10
2016-04-19	1
2016-04-20	5
2016-04-21	6
2016-04-22	4
2016-04-23	0
2016-04-24	0
2016-04-25	3
2016-04-26	1
