date	freq
2015-06-01	255
2015-06-02	228
2015-06-03	256
2015-06-04	269
2015-06-05	232
2015-06-06	195
2015-06-07	200
2015-06-08	233
2015-06-09	236
2015-06-10	240
2015-06-11	244
2015-06-12	218
2015-06-13	192
2015-06-14	229
2015-06-15	256
2015-06-16	236
2015-06-17	241
2015-06-18	250
2015-06-19	224
2015-06-20	206
2015-06-21	200
2015-06-22	205
2015-06-23	213
2015-06-24	236
2015-06-25	229
2015-06-26	223
2015-06-27	207
2015-06-28	173
2015-06-29	210
2015-06-30	203
2015-07-01	232
2015-07-02	233
2015-07-03	225
2015-07-04	216
2015-07-05	213
2015-07-06	222
2015-07-07	224
2015-07-08	219
2015-07-09	241
2015-07-10	215
2015-07-11	182
2015-07-12	169
2015-07-13	166
2015-07-14	183
2015-07-15	189
2015-07-16	201
2015-07-17	219
2015-07-18	155
2015-07-19	148
2015-07-20	168
2015-07-21	189
2015-07-22	190
2015-07-23	181
2015-07-24	169
2015-07-25	133
2015-07-26	162
2015-07-27	167
2015-07-28	206
2015-07-29	192
2015-07-30	172
2015-07-31	170
2015-08-01	130
2015-08-02	125
2015-08-03	168
2015-08-04	170
2015-08-05	187
2015-08-06	184
2015-08-07	154
2015-08-08	142
2015-08-09	134
2015-08-10	161
2015-08-11	134
2015-08-12	148
2015-08-13	129
2015-08-14	140
2015-08-15	120
2015-08-16	160
2015-08-17	148
2015-08-18	152
2015-08-19	175
2015-08-20	178
2015-08-21	186
2015-08-22	155
2015-08-23	153
2015-08-24	168
2015-08-25	156
2015-08-26	193
2015-08-27	195
2015-08-28	189
2015-08-29	143
2015-08-30	209
2015-08-31	208
2015-09-01	246
2015-09-02	214
2015-09-03	218
2015-09-04	212
2015-09-05	174
2015-09-06	190
2015-09-07	215
2015-09-08	214
2015-09-09	231
2015-09-10	214
2015-09-11	203
2015-09-12	178
2015-09-13	216
2015-09-14	216
2015-09-15	246
2015-09-16	222
2015-09-17	263
2015-09-18	202
2015-09-19	162
