date	freq
2015-06-01	8
2015-06-02	11
2015-06-03	5
2015-06-04	10
2015-06-05	9
2015-06-06	5
2015-06-07	9
2015-06-08	6
2015-06-09	8
2015-06-10	2
2015-06-11	12
2015-06-12	12
2015-06-13	7
2015-06-14	9
2015-06-15	4
2015-06-16	7
2015-06-17	9
2015-06-18	8
2015-06-19	9
2015-06-20	4
2015-06-21	15
2015-06-22	10
2015-06-23	9
2015-06-24	11
2015-06-25	4
2015-06-26	8
2015-06-27	3
2015-06-28	5
2015-06-29	7
2015-06-30	7
2015-07-01	8
2015-07-02	8
2015-07-03	8
2015-07-04	6
2015-07-05	4
2015-07-06	5
2015-07-07	8
2015-07-08	6
2015-07-09	9
2015-07-10	3
2015-07-11	4
2015-07-12	5
2015-07-13	11
2015-07-14	5
2015-07-15	4
2015-07-16	5
2015-07-17	4
2015-07-18	6
2015-07-19	6
2015-07-20	11
2015-07-21	8
2015-07-22	4
2015-07-23	5
2015-07-24	3
2015-07-25	5
2015-07-26	5
2015-07-27	5
2015-07-28	11
2015-07-29	6
2015-07-30	8
2015-07-31	5
2015-08-01	5
2015-08-02	5
2015-08-03	4
2015-08-04	11
2015-08-05	7
2015-08-06	4
2015-08-07	5
2015-08-08	5
2015-08-09	10
2015-08-10	3
2015-08-11	6
2015-08-12	5
2015-08-13	3
2015-08-14	4
2015-08-15	6
2015-08-16	5
2015-08-17	6
2015-08-18	5
2015-08-19	3
2015-08-20	8
2015-08-21	28
2015-08-22	2
2015-08-23	4
2015-08-24	4
2015-08-25	9
2015-08-26	8
2015-08-27	11
2015-08-28	5
2015-08-29	5
2015-08-30	17
2015-08-31	7
2015-09-01	7
2015-09-02	8
2015-09-03	7
2015-09-04	15
2015-09-05	7
2015-09-06	8
2015-09-07	4
2015-09-08	5
2015-09-09	7
2015-09-10	8
2015-09-11	5
2015-09-12	4
2015-09-13	3
2015-09-14	5
2015-09-15	6
2015-09-16	4
2015-09-17	19
2015-09-18	4
2015-09-19	5
2015-09-20	4
2015-09-21	6
2015-09-22	7
2015-09-23	11
2015-09-24	6
2015-09-25	7
2015-09-26	2
2015-09-27	5
2015-09-28	8
2015-09-29	7
2015-09-30	6
2015-10-01	4
2015-10-02	3
2015-10-03	5
2015-10-04	4
2015-10-05	9
2015-10-06	7
2015-10-07	9
2015-10-08	16
2015-10-09	5
2015-10-10	4
2015-10-11	2
2015-10-12	12
2015-10-13	9
2015-10-14	8
2015-10-15	7
2015-10-16	8
