date	freq
2015-06-01	23
2015-06-02	28
2015-06-03	22
2015-06-04	23
2015-06-05	26
2015-06-06	36
2015-06-07	23
2015-06-08	21
2015-06-09	25
2015-06-10	29
2015-06-11	29
2015-06-12	30
2015-06-13	24
2015-06-14	16
2015-06-15	35
2015-06-16	33
2015-06-17	28
2015-06-18	27
2015-06-19	15
2015-06-20	12
2015-06-21	16
2015-06-22	22
2015-06-23	21
2015-06-24	27
2015-06-25	25
2015-06-26	23
2015-06-27	33
2015-06-28	22
2015-06-29	36
2015-06-30	29
2015-07-01	22
2015-07-02	21
2015-07-03	23
2015-07-04	24
2015-07-05	24
2015-07-06	11
2015-07-07	28
2015-07-08	24
2015-07-09	25
2015-07-10	20
2015-07-11	21
2015-07-12	26
2015-07-13	24
2015-07-14	19
2015-07-15	25
2015-07-16	16
2015-07-17	27
2015-07-18	18
2015-07-19	26
2015-07-20	28
2015-07-21	32
2015-07-22	17
2015-07-23	20
2015-07-24	21
2015-07-25	16
2015-07-26	28
2015-07-27	25
2015-07-28	18
2015-07-29	24
2015-07-30	13
2015-07-31	30
2015-08-01	16
2015-08-02	17
2015-08-03	19
2015-08-04	34
2015-08-05	17
2015-08-06	28
2015-08-07	25
2015-08-08	19
2015-08-09	13
2015-08-10	30
2015-08-11	24
2015-08-12	22
2015-08-13	16
2015-08-14	17
2015-08-15	19
2015-08-16	31
2015-08-17	38
2015-08-18	36
2015-08-19	20
2015-08-20	26
2015-08-21	17
2015-08-22	33
2015-08-23	26
2015-08-24	21
2015-08-25	26
2015-08-26	16
2015-08-27	12
2015-08-28	23
2015-08-29	24
2015-08-30	20
2015-08-31	33
2015-09-01	17
2015-09-02	26
2015-09-03	25
2015-09-04	16
2015-09-05	25
2015-09-06	24
2015-09-07	24
2015-09-08	21
2015-09-09	21
2015-09-10	25
2015-09-11	17
2015-09-12	18
2015-09-13	12
2015-09-14	19
2015-09-15	18
2015-09-16	13
2015-09-17	21
2015-09-18	15
2015-09-19	9
2015-09-20	16
2015-09-21	13
2015-09-22	13
2015-09-23	8
2015-09-24	7
2015-09-25	7
2015-09-26	9
2015-09-27	18
2015-09-28	13
2015-09-29	21
2015-09-30	14
2015-10-01	7
2015-10-02	10
2015-10-03	11
2015-10-04	9
2015-10-05	7
2015-10-06	11
2015-10-07	16
2015-10-08	15
2015-10-09	9
2015-10-10	14
2015-10-11	10
2015-10-12	8
2015-10-13	12
2015-10-14	7
2015-10-15	6
2015-10-16	10
2015-10-17	17
2015-10-18	10
2015-10-19	4
2015-10-20	13
2015-10-21	13
2015-10-22	10
2015-10-23	9
2015-10-24	12
2015-10-25	12
2015-10-26	13
2015-10-27	11
2015-10-28	14
2015-10-29	10
2015-10-30	12
2015-10-31	15
2015-11-01	16
2015-11-02	16
2015-11-03	13
2015-11-04	8
2015-11-05	5
2015-11-06	14
2015-11-07	14
2015-11-08	7
2015-11-09	13
2015-11-10	28
2015-11-11	23
2015-11-12	22
2015-11-13	21
2015-11-14	35
2015-11-15	40
2015-11-16	25
2015-11-17	30
2015-11-18	17
2015-11-19	15
2015-11-20	17
2015-11-21	28
2015-11-22	14
2015-11-23	32
2015-11-24	20
2015-11-25	21
2015-11-26	24
2015-11-27	19
2015-11-28	12
2015-11-29	9
2015-11-30	20
2015-12-01	18
2015-12-02	12
2015-12-03	15
2015-12-04	17
2015-12-05	19
2015-12-06	7
2015-12-07	14
2015-12-08	12
2015-12-09	12
2015-12-10	16
2015-12-11	19
2015-12-12	9
2015-12-13	11
2015-12-14	16
2015-12-15	11
2015-12-16	8
2015-12-17	9
2015-12-18	13
2015-12-19	12
2015-12-20	22
2015-12-21	4
2015-12-22	7
2015-12-23	18
2015-12-24	20
2015-12-25	8
2015-12-26	12
2015-12-27	5
2015-12-28	16
2015-12-29	5
2015-12-30	8
2015-12-31	4
2016-01-01	3
2016-01-02	5
2016-01-03	8
2016-01-04	11
2016-01-05	10
2016-01-06	21
2016-01-07	14
2016-01-08	23
2016-01-09	10
2016-01-10	15
2016-01-11	16
2016-01-12	8
2016-01-13	11
2016-01-14	17
2016-01-15	16
2016-01-16	9
2016-01-17	16
2016-01-18	10
2016-01-19	9
2016-01-20	17
2016-01-21	10
2016-01-22	10
2016-01-23	15
2016-01-24	3
2016-01-25	12
2016-01-26	10
2016-01-27	6
2016-01-28	11
2016-01-29	6
2016-01-30	7
2016-01-31	14
2016-02-01	11
2016-02-02	19
2016-02-03	18
2016-02-04	11
2016-02-05	16
2016-02-06	6
2016-02-07	9
2016-02-08	14
2016-02-09	13
2016-02-10	17
2016-02-11	14
2016-02-12	15
2016-02-13	14
2016-02-14	11
2016-02-15	19
2016-02-16	16
2016-02-17	10
2016-02-18	17
2016-02-19	5
2016-02-20	8
2016-02-21	21
2016-02-22	11
2016-02-23	6
2016-02-24	16
2016-02-25	16
2016-02-26	12
2016-02-27	11
2016-02-28	8
2016-02-29	15
2016-03-01	13
2016-03-02	13
2016-03-03	15
2016-03-04	9
2016-03-05	6
2016-03-06	18
2016-03-07	9
2016-03-08	14
2016-03-09	9
2016-03-10	16
2016-03-11	25
2016-03-12	14
2016-03-13	22
2016-03-14	15
2016-03-15	9
2016-03-16	16
2016-03-17	25
2016-03-18	30
2016-03-19	10
2016-03-20	14
2016-03-21	5
2016-03-22	10
2016-03-23	11
2016-03-24	19
2016-03-25	16
2016-03-26	15
2016-03-27	14
2016-03-28	10
2016-03-29	14
2016-03-30	22
2016-03-31	20
2016-04-01	10
2016-04-02	17
2016-04-03	18
2016-04-04	16
2016-04-05	16
2016-04-06	18
2016-04-07	17
2016-04-08	6
2016-04-09	18
2016-04-10	21
2016-04-11	38
2016-04-12	16
2016-04-13	22
2016-04-14	21
2016-04-15	18
2016-04-16	18
2016-04-17	11
2016-04-18	16
2016-04-19	22
2016-04-20	20
2016-04-21	14
2016-04-22	20
2016-04-23	24
2016-04-24	18
2016-04-25	24
2016-04-26	25
2016-04-27	54
2016-04-28	42
2016-04-29	26
2016-04-30	21
2016-05-01	29
2016-05-02	34
2016-05-03	28
2016-05-04	31
2016-05-05	23
2016-05-06	61
2016-05-07	21
2016-05-08	20
2016-05-09	16
2016-05-10	33
2016-05-11	25
2016-05-12	19
2016-05-13	29
2016-05-14	22
2016-05-15	25
2016-05-16	23
2016-05-17	15
2016-05-18	34
2016-05-19	34
2016-05-20	31
2016-05-21	35
2016-05-22	17
2016-05-23	29
2016-05-24	32
2016-05-25	28
2016-05-26	32
2016-05-27	20
2016-05-28	36
2016-05-29	28
2016-05-30	27
2016-05-31	33
