date	freq
2015-06-01	1482
2015-06-02	1552
2015-06-03	1448
2015-06-04	1602
2015-06-05	1475
2015-06-06	1282
2015-06-07	1346
2015-06-08	1515
2015-06-09	1550
2015-06-10	1639
2015-06-11	1726
2015-06-12	1490
2015-06-13	1328
2015-06-14	1361
2015-06-15	1602
2015-06-16	1603
2015-06-17	1621
2015-06-18	1579
2015-06-19	1535
2015-06-20	1356
2015-06-21	1404
2015-06-22	1674
2015-06-23	1772
2015-06-24	1738
2015-06-25	1723
2015-06-26	1648
2015-06-27	1326
2015-06-28	1439
2015-06-29	1697
2015-06-30	1709
2015-07-01	1682
2015-07-02	1761
2015-07-03	1664
2015-07-04	1407
2015-07-05	1406
2015-07-06	1748
2015-07-07	1679
2015-07-08	1716
2015-07-09	1746
2015-07-10	1701
2015-07-11	1451
2015-07-12	1398
2015-07-13	1621
2015-07-14	1772
2015-07-15	1715
2015-07-16	1667
2015-07-17	1528
2015-07-18	1329
2015-07-19	1303
2015-07-20	1480
2015-07-21	1541
2015-07-22	1651
2015-07-23	1679
2015-07-24	1473
2015-07-25	1261
2015-07-26	1380
2015-07-27	1606
2015-07-28	1685
2015-07-29	1607
2015-07-30	1552
2015-07-31	1473
2015-08-01	1296
2015-08-02	1350
2015-08-03	1545
2015-08-04	1623
2015-08-05	1561
2015-08-06	1503
2015-08-07	1458
2015-08-08	1222
2015-08-09	1200
2015-08-10	1398
2015-08-11	1329
2015-08-12	1313
2015-08-13	1167
2015-08-14	1120
2015-08-15	1037
2015-08-16	1147
2015-08-17	1375
2015-08-18	1551
2015-08-19	1535
2015-08-20	1486
2015-08-21	1451
2015-08-22	1228
2015-08-23	1332
2015-08-24	1541
2015-08-25	1597
2015-08-26	1563
2015-08-27	1539
2015-08-28	1495
2015-08-29	1281
2015-08-30	1223
2015-08-31	1537
2015-09-01	1558
2015-09-02	1625
2015-09-03	1626
2015-09-04	1523
2015-09-05	1192
2015-09-06	1275
2015-09-07	1562
2015-09-08	1556
