date	freq
2015-06-01	3
2015-06-02	4
2015-06-03	1
2015-06-04	1
2015-06-05	5
2015-06-06	8
2015-06-07	9
2015-06-08	4
2015-06-09	2
2015-06-10	5
2015-06-11	11
2015-06-12	5
2015-06-13	9
2015-06-14	3
2015-06-15	6
2015-06-16	2
2015-06-17	7
2015-06-18	9
2015-06-19	8
2015-06-20	15
2015-06-21	6
2015-06-22	4
2015-06-23	5
2015-06-24	6
2015-06-25	8
2015-06-26	10
2015-06-27	5
2015-06-28	3
2015-06-29	10
2015-06-30	9
2015-07-01	12
2015-07-02	3
2015-07-03	5
2015-07-04	7
2015-07-05	8
2015-07-06	6
2015-07-07	10
2015-07-08	8
2015-07-09	11
2015-07-10	10
2015-07-11	2
2015-07-12	7
2015-07-13	11
2015-07-14	5
2015-07-15	6
2015-07-16	6
2015-07-17	3
2015-07-18	6
2015-07-19	6
2015-07-20	6
2015-07-21	10
2015-07-22	5
2015-07-23	8
2015-07-24	9
2015-07-25	4
2015-07-26	7
2015-07-27	3
2015-07-28	8
2015-07-29	5
2015-07-30	10
2015-07-31	7
2015-08-01	8
2015-08-02	3
2015-08-03	4
2015-08-04	4
2015-08-05	4
2015-08-06	6
2015-08-07	4
2015-08-08	5
2015-08-09	12
2015-08-10	4
2015-08-11	5
2015-08-12	8
2015-08-13	2
2015-08-14	5
2015-08-15	6
2015-08-16	7
2015-08-17	2
2015-08-18	15
2015-08-19	6
2015-08-20	8
2015-08-21	2
2015-08-22	3
2015-08-23	4
2015-08-24	6
2015-08-25	10
2015-08-26	4
2015-08-27	10
2015-08-28	5
2015-08-29	2
2015-08-30	14
2015-08-31	3
2015-09-01	1
2015-09-02	4
2015-09-03	8
2015-09-04	14
2015-09-05	7
2015-09-06	10
2015-09-07	10
2015-09-08	5
2015-09-09	7
2015-09-10	7
2015-09-11	15
2015-09-12	5
2015-09-13	8
2015-09-14	7
2015-09-15	2
2015-09-16	3
2015-09-17	12
2015-09-18	4
2015-09-19	4
2015-09-20	3
2015-09-21	6
2015-09-22	4
2015-09-23	9
2015-09-24	6
2015-09-25	2
2015-09-26	0
2015-09-27	1
2015-09-28	9
2015-09-29	7
2015-09-30	3
2015-10-01	5
2015-10-02	10
2015-10-03	9
2015-10-04	6
2015-10-05	3
2015-10-06	6
2015-10-07	8
2015-10-08	4
2015-10-09	9
2015-10-10	12
2015-10-11	6
2015-10-12	4
2015-10-13	6
2015-10-14	7
2015-10-15	9
2015-10-16	5
2015-10-17	2
2015-10-18	7
2015-10-19	4
2015-10-20	2
2015-10-21	7
2015-10-22	7
2015-10-23	4
2015-10-24	5
2015-10-25	4
2015-10-26	4
2015-10-27	5
2015-10-28	7
2015-10-29	4
2015-10-30	2
2015-10-31	3
2015-11-01	3
2015-11-02	3
2015-11-03	2
2015-11-04	2
2015-11-05	8
2015-11-06	3
2015-11-07	6
2015-11-08	8
2015-11-09	2
2015-11-10	5
2015-11-11	6
2015-11-12	6
2015-11-13	10
2015-11-14	8
2015-11-15	12
2015-11-16	9
2015-11-17	13
2015-11-18	11
2015-11-19	7
2015-11-20	7
2015-11-21	3
2015-11-22	4
2015-11-23	4
2015-11-24	6
2015-11-25	8
2015-11-26	11
2015-11-27	5
2015-11-28	6
2015-11-29	11
2015-11-30	6
2015-12-01	9
2015-12-02	10
2015-12-03	8
2015-12-04	9
2015-12-05	13
2015-12-06	10
2015-12-07	9
2015-12-08	7
2015-12-09	4
2015-12-10	10
2015-12-11	8
2015-12-12	4
2015-12-13	8
2015-12-14	3
2015-12-15	2
2015-12-16	8
2015-12-17	6
2015-12-18	7
2015-12-19	4
2015-12-20	15
2015-12-21	11
2015-12-22	6
2015-12-23	7
2015-12-24	3
2015-12-25	5
2015-12-26	4
2015-12-27	10
2015-12-28	0
2015-12-29	6
2015-12-30	9
2015-12-31	2
2016-01-01	6
2016-01-02	4
2016-01-03	2
2016-01-04	6
2016-01-05	7
2016-01-06	7
2016-01-07	5
2016-01-08	5
2016-01-09	3
