date	freq
2015-06-01	205
2015-06-02	217
2015-06-03	200
2015-06-04	201
2015-06-05	216
2015-06-06	215
2015-06-07	221
2015-06-08	217
2015-06-09	253
2015-06-10	242
2015-06-11	263
2015-06-12	200
2015-06-13	217
2015-06-14	198
2015-06-15	181
2015-06-16	196
2015-06-17	468
2015-06-18	1179
2015-06-19	406
2015-06-20	309
2015-06-21	294
2015-06-22	280
2015-06-23	259
2015-06-24	242
2015-06-25	232
2015-06-26	212
2015-06-27	196
2015-06-28	208
2015-06-29	225
2015-06-30	226
2015-07-01	234
2015-07-02	207
2015-07-03	230
2015-07-04	229
2015-07-05	251
2015-07-06	232
2015-07-07	177
2015-07-08	210
2015-07-09	203
2015-07-10	221
2015-07-11	187
2015-07-12	167
2015-07-13	161
2015-07-14	184
2015-07-15	164
2015-07-16	187
2015-07-17	163
2015-07-18	159
2015-07-19	142
2015-07-20	164
2015-07-21	161
2015-07-22	179
2015-07-23	181
2015-07-24	183
2015-07-25	145
2015-07-26	166
2015-07-27	146
2015-07-28	197
2015-07-29	168
2015-07-30	166
2015-07-31	151
2015-08-01	155
2015-08-02	167
2015-08-03	171
2015-08-04	171
2015-08-05	156
2015-08-06	128
2015-08-07	149
2015-08-08	158
2015-08-09	151
2015-08-10	151
2015-08-11	160
2015-08-12	152
2015-08-13	168
2015-08-14	129
2015-08-15	124
2015-08-16	138
2015-08-17	162
2015-08-18	163
2015-08-19	175
2015-08-20	157
2015-08-21	200
2015-08-22	131
2015-08-23	166
2015-08-24	155
2015-08-25	181
2015-08-26	183
2015-08-27	178
2015-08-28	205
2015-08-29	176
2015-08-30	178
2015-08-31	172
2015-09-01	212
2015-09-02	211
2015-09-03	212
2015-09-04	183
2015-09-05	172
2015-09-06	202
2015-09-07	194
2015-09-08	232
2015-09-09	231
2015-09-10	202
2015-09-11	215
2015-09-12	211
2015-09-13	202
2015-09-14	217
2015-09-15	197
2015-09-16	184
2015-09-17	207
2015-09-18	192
2015-09-19	157
2015-09-20	162
2015-09-21	199
2015-09-22	185
2015-09-23	193
2015-09-24	192
2015-09-25	203
2015-09-26	188
2015-09-27	167
2015-09-28	184
2015-09-29	186
2015-09-30	201
2015-10-01	206
2015-10-02	201
2015-10-03	214
2015-10-04	206
2015-10-05	166
2015-10-06	196
2015-10-07	208
2015-10-08	176
2015-10-09	234
2015-10-10	214
2015-10-11	201
2015-10-12	227
2015-10-13	221
2015-10-14	217
2015-10-15	240
2015-10-16	210
2015-10-17	182
2015-10-18	227
2015-10-19	192
2015-10-20	183
2015-10-21	198
2015-10-22	210
2015-10-23	203
2015-10-24	224
2015-10-25	210
2015-10-26	198
2015-10-27	183
2015-10-28	203
2015-10-29	198
2015-10-30	179
2015-10-31	152
2015-11-01	157
2015-11-02	167
2015-11-03	201
2015-11-04	183
2015-11-05	194
2015-11-06	196
2015-11-07	198
2015-11-08	220
2015-11-09	223
2015-11-10	205
2015-11-11	195
2015-11-12	202
2015-11-13	196
2015-11-14	147
2015-11-15	165
2015-11-16	184
2015-11-17	201
2015-11-18	224
2015-11-19	201
2015-11-20	179
2015-11-21	168
2015-11-22	171
2015-11-23	196
2015-11-24	149
2015-11-25	187
2015-11-26	180
2015-11-27	163
2015-11-28	165
2015-11-29	173
2015-11-30	177
2015-12-01	145
2015-12-02	172
2015-12-03	175
2015-12-04	174
2015-12-05	159
2015-12-06	145
2015-12-07	167
2015-12-08	172
2015-12-09	163
2015-12-10	170
2015-12-11	166
2015-12-12	182
2015-12-13	143
2015-12-14	174
2015-12-15	173
2015-12-16	150
2015-12-17	148
2015-12-18	137
2015-12-19	155
2015-12-20	154
2015-12-21	175
2015-12-22	140
2015-12-23	158
2015-12-24	139
2015-12-25	117
2015-12-26	144
2015-12-27	105
2015-12-28	127
2015-12-29	134
2015-12-30	136
2015-12-31	95
2016-01-01	74
2016-01-02	100
2016-01-03	111
2016-01-04	133
2016-01-05	132
2016-01-06	142
2016-01-07	135
2016-01-08	156
2016-01-09	155
2016-01-10	150
2016-01-11	154
2016-01-12	128
2016-01-13	142
2016-01-14	137
2016-01-15	131
2016-01-16	133
2016-01-17	165
2016-01-18	147
2016-01-19	141
2016-01-20	172
2016-01-21	153
2016-01-22	136
2016-01-23	167
2016-01-24	165
2016-01-25	159
2016-01-26	150
2016-01-27	160
2016-01-28	175
2016-01-29	198
2016-01-30	173
2016-01-31	187
2016-02-01	179
2016-02-02	188
2016-02-03	163
2016-02-04	170
2016-02-05	161
2016-02-06	181
2016-02-07	162
2016-02-08	163
2016-02-09	158
2016-02-10	161
2016-02-11	181
2016-02-12	160
2016-02-13	207
2016-02-14	205
2016-02-15	172
2016-02-16	164
2016-02-17	162
2016-02-18	165
2016-02-19	150
2016-02-20	181
2016-02-21	160
2016-02-22	165
2016-02-23	164
2016-02-24	187
2016-02-25	152
2016-02-26	146
2016-02-27	160
2016-02-28	185
2016-02-29	144
2016-03-01	147
2016-03-02	149
2016-03-03	134
2016-03-04	137
2016-03-05	148
2016-03-06	137
2016-03-07	145
2016-03-08	180
2016-03-09	150
2016-03-10	209
2016-03-11	133
2016-03-12	129
2016-03-13	171
2016-03-14	184
2016-03-15	158
2016-03-16	163
2016-03-17	152
2016-03-18	145
2016-03-19	126
2016-03-20	136
2016-03-21	135
2016-03-22	150
2016-03-23	153
2016-03-24	145
2016-03-25	141
2016-03-26	133
2016-03-27	137
2016-03-28	161
2016-03-29	144
2016-03-30	157
2016-03-31	130
2016-04-01	160
2016-04-02	135
2016-04-03	161
2016-04-04	203
2016-04-05	165
2016-04-06	176
2016-04-07	166
2016-04-08	150
2016-04-09	151
2016-04-10	178
2016-04-11	163
2016-04-12	160
2016-04-13	166
2016-04-14	197
2016-04-15	126
2016-04-16	146
2016-04-17	119
2016-04-18	163
2016-04-19	161
2016-04-20	136
2016-04-21	144
2016-04-22	169
2016-04-23	172
2016-04-24	144
2016-04-25	134
2016-04-26	134
2016-04-27	171
2016-04-28	140
2016-04-29	152
2016-04-30	157
2016-05-01	156
2016-05-02	140
2016-05-03	130
2016-05-04	144
2016-05-05	174
2016-05-06	156
2016-05-07	143
2016-05-08	146
2016-05-09	119
2016-05-10	132
2016-05-11	129
2016-05-12	117
2016-05-13	160
2016-05-14	142
2016-05-15	172
2016-05-16	156
2016-05-17	150
2016-05-18	170
2016-05-19	148
2016-05-20	152
2016-05-21	158
2016-05-22	146
2016-05-23	128
2016-05-24	161
2016-05-25	138
2016-05-26	161
2016-05-27	148
2016-05-28	157
2016-05-29	168
2016-05-30	164
2016-05-31	171
