date	freq
2015-06-01	172
2015-06-02	130
2015-06-03	156
2015-06-04	128
2015-06-05	98
2015-06-06	90
2015-06-07	111
2015-06-08	118
2015-06-09	176
2015-06-10	140
2015-06-11	109
2015-06-12	119
2015-06-13	119
2015-06-14	130
2015-06-15	137
2015-06-16	157
2015-06-17	742
2015-06-18	399
2015-06-19	154
2015-06-20	153
2015-06-21	151
2015-06-22	139
2015-06-23	153
2015-06-24	113
2015-06-25	133
2015-06-26	123
2015-06-27	108
2015-06-28	136
2015-06-29	115
2015-06-30	107
2015-07-01	113
2015-07-02	113
2015-07-03	159
2015-07-04	115
2015-07-05	124
2015-07-06	119
2015-07-07	115
2015-07-08	139
2015-07-09	113
2015-07-10	117
2015-07-11	161
2015-07-12	112
2015-07-13	103
2015-07-14	108
2015-07-15	90
2015-07-16	104
2015-07-17	91
2015-07-18	105
2015-07-19	98
2015-07-20	130
2015-07-21	136
2015-07-22	106
2015-07-23	119
2015-07-24	128
2015-07-25	89
2015-07-26	95
2015-07-27	120
2015-07-28	114
2015-07-29	122
2015-07-30	124
2015-07-31	133
2015-08-01	110
2015-08-02	112
2015-08-03	171
2015-08-04	123
2015-08-05	136
2015-08-06	92
2015-08-07	98
2015-08-08	102
2015-08-09	108
2015-08-10	99
2015-08-11	108
2015-08-12	118
2015-08-13	113
2015-08-14	93
2015-08-15	85
2015-08-16	124
2015-08-17	118
2015-08-18	110
2015-08-19	124
2015-08-20	119
2015-08-21	134
2015-08-22	124
2015-08-23	113
2015-08-24	136
2015-08-25	120
2015-08-26	111
2015-08-27	127
2015-08-28	111
2015-08-29	119
2015-08-30	117
2015-08-31	83
2015-09-01	125
2015-09-02	111
2015-09-03	110
2015-09-04	113
2015-09-05	122
2015-09-06	107
2015-09-07	126
2015-09-08	138
2015-09-09	139
2015-09-10	110
2015-09-11	118
2015-09-12	128
2015-09-13	143
2015-09-14	116
2015-09-15	175
2015-09-16	116
2015-09-17	136
2015-09-18	95
2015-09-19	105
2015-09-20	91
2015-09-21	81
2015-09-22	112
2015-09-23	100
2015-09-24	95
2015-09-25	103
2015-09-26	94
2015-09-27	96
2015-09-28	132
2015-09-29	102
2015-09-30	87
2015-10-01	122
2015-10-02	89
2015-10-03	95
2015-10-04	94
2015-10-05	97
2015-10-06	100
2015-10-07	104
2015-10-08	107
2015-10-09	140
2015-10-10	130
2015-10-11	187
2015-10-12	233
2015-10-13	143
2015-10-14	135
2015-10-15	93
2015-10-16	104
2015-10-17	102
2015-10-18	156
2015-10-19	125
