date	freq
2015-06-01	45
2015-06-02	54
2015-06-03	49
2015-06-04	39
2015-06-05	48
2015-06-06	45
2015-06-07	42
2015-06-08	55
2015-06-09	21
2015-06-10	49
2015-06-11	58
2015-06-12	47
2015-06-13	56
2015-06-14	69
2015-06-15	56
2015-06-16	63
2015-06-17	74
2015-06-18	57
2015-06-19	51
2015-06-20	63
2015-06-21	48
2015-06-22	52
2015-06-23	61
2015-06-24	54
2015-06-25	52
2015-06-26	46
2015-06-27	43
2015-06-28	56
2015-06-29	50
2015-06-30	37
2015-07-01	45
2015-07-02	77
2015-07-03	50
2015-07-04	55
2015-07-05	44
2015-07-06	43
2015-07-07	47
2015-07-08	42
2015-07-09	27
2015-07-10	49
2015-07-11	40
2015-07-12	54
2015-07-13	44
2015-07-14	42
2015-07-15	44
2015-07-16	85
2015-07-17	63
2015-07-18	57
2015-07-19	28
2015-07-20	44
2015-07-21	47
2015-07-22	44
2015-07-23	57
2015-07-24	54
2015-07-25	45
2015-07-26	57
2015-07-27	65
2015-07-28	54
2015-07-29	58
2015-07-30	56
2015-07-31	56
2015-08-01	58
2015-08-02	68
2015-08-03	40
2015-08-04	42
2015-08-05	58
2015-08-06	68
2015-08-07	56
2015-08-08	51
2015-08-09	57
2015-08-10	50
2015-08-11	45
2015-08-12	42
2015-08-13	51
2015-08-14	45
2015-08-15	56
2015-08-16	50
2015-08-17	50
2015-08-18	62
2015-08-19	46
2015-08-20	61
2015-08-21	44
2015-08-22	40
2015-08-23	51
2015-08-24	73
2015-08-25	52
2015-08-26	62
2015-08-27	102
2015-08-28	79
2015-08-29	60
2015-08-30	55
2015-08-31	57
2015-09-01	63
2015-09-02	53
2015-09-03	189
2015-09-04	50
2015-09-05	53
2015-09-06	64
2015-09-07	58
2015-09-08	50
2015-09-09	81
2015-09-10	49
2015-09-11	62
2015-09-12	43
2015-09-13	64
2015-09-14	53
2015-09-15	48
2015-09-16	62
2015-09-17	77
2015-09-18	48
2015-09-19	48
2015-09-20	44
2015-09-21	59
2015-09-22	66
2015-09-23	65
2015-09-24	54
2015-09-25	42
2015-09-26	55
2015-09-27	59
2015-09-28	41
2015-09-29	186
2015-09-30	75
2015-10-01	70
2015-10-02	55
2015-10-03	67
2015-10-04	87
2015-10-05	56
2015-10-06	66
2015-10-07	41
2015-10-08	50
2015-10-09	41
2015-10-10	50
2015-10-11	66
2015-10-12	61
2015-10-13	46
2015-10-14	49
2015-10-15	65
2015-10-16	48
2015-10-17	43
2015-10-18	51
2015-10-19	51
2015-10-20	55
2015-10-21	52
2015-10-22	49
2015-10-23	35
2015-10-24	99
2015-10-25	49
2015-10-26	62
2015-10-27	58
2015-10-28	184
2015-10-29	55
2015-10-30	56
2015-10-31	45
2015-11-01	53
2015-11-02	70
2015-11-03	70
2015-11-04	48
2015-11-05	54
2015-11-06	52
2015-11-07	565
2015-11-08	1917
2015-11-09	2090
2015-11-10	517
2015-11-11	182
2015-11-12	109
2015-11-13	100
2015-11-14	90
2015-11-15	54
2015-11-16	73
2015-11-17	95
2015-11-18	77
2015-11-19	59
2015-11-20	55
2015-11-21	77
2015-11-22	79
2015-11-23	57
2015-11-24	66
2015-11-25	50
2015-11-26	68
2015-11-27	65
2015-11-28	65
2015-11-29	68
2015-11-30	79
2015-12-01	55
2015-12-02	68
2015-12-03	52
2015-12-04	63
2015-12-05	68
2015-12-06	85
2015-12-07	56
2015-12-08	68
2015-12-09	78
2015-12-10	105
2015-12-11	105
2015-12-12	88
2015-12-13	60
2015-12-14	56
2015-12-15	42
2015-12-16	82
2015-12-17	67
2015-12-18	78
2015-12-19	78
2015-12-20	66
2015-12-21	75
2015-12-22	59
2015-12-23	78
2015-12-24	76
2015-12-25	74
2015-12-26	44
2015-12-27	61
2015-12-28	49
2015-12-29	45
2015-12-30	66
2015-12-31	63
2016-01-01	44
2016-01-02	46
2016-01-03	57
2016-01-04	54
2016-01-05	123
2016-01-06	416
2016-01-07	268
2016-01-08	130
2016-01-09	71
2016-01-10	82
2016-01-11	64
2016-01-12	51
2016-01-13	53
2016-01-14	50
2016-01-15	57
2016-01-16	181
2016-01-17	92
2016-01-18	45
2016-01-19	45
2016-01-20	79
2016-01-21	62
2016-01-22	47
2016-01-23	54
2016-01-24	64
2016-01-25	48
2016-01-26	48
2016-01-27	90
2016-01-28	89
2016-01-29	61
2016-01-30	75
2016-01-31	62
2016-02-01	62
2016-02-02	64
2016-02-03	76
2016-02-04	57
2016-02-05	82
2016-02-06	61
2016-02-07	73
2016-02-08	59
2016-02-09	40
2016-02-10	79
2016-02-11	127
2016-02-12	74
2016-02-13	108
2016-02-14	139
2016-02-15	100
2016-02-16	58
2016-02-17	56
2016-02-18	48
2016-02-19	48
2016-02-20	56
2016-02-21	56
2016-02-22	44
2016-02-23	47
2016-02-24	46
2016-02-25	43
2016-02-26	64
2016-02-27	53
2016-02-28	41
2016-02-29	39
2016-03-01	34
2016-03-02	40
2016-03-03	48
2016-03-04	40
2016-03-05	36
2016-03-06	44
2016-03-07	50
2016-03-08	38
2016-03-09	44
2016-03-10	93
2016-03-11	175
2016-03-12	155
2016-03-13	81
2016-03-14	66
2016-03-15	144
2016-03-16	123
