date	freq
2015-06-01	125
2015-06-02	120
2015-06-03	125
2015-06-04	118
2015-06-05	109
2015-06-06	154
2015-06-07	122
2015-06-08	100
2015-06-09	97
2015-06-10	146
2015-06-11	114
2015-06-12	106
2015-06-13	124
2015-06-14	128
2015-06-15	130
2015-06-16	122
2015-06-17	102
2015-06-18	122
2015-06-19	103
2015-06-20	129
2015-06-21	128
2015-06-22	144
2015-06-23	122
2015-06-24	123
2015-06-25	110
2015-06-26	92
2015-06-27	117
2015-06-28	121
2015-06-29	128
2015-06-30	107
2015-07-01	111
2015-07-02	110
2015-07-03	128
2015-07-04	113
2015-07-05	113
2015-07-06	119
2015-07-07	106
2015-07-08	136
2015-07-09	102
2015-07-10	99
2015-07-11	105
2015-07-12	91
2015-07-13	120
2015-07-14	109
2015-07-15	117
2015-07-16	107
2015-07-17	94
2015-07-18	114
2015-07-19	99
2015-07-20	105
2015-07-21	83
2015-07-22	101
2015-07-23	167
2015-07-24	126
2015-07-25	111
2015-07-26	134
2015-07-27	105
2015-07-28	121
2015-07-29	114
2015-07-30	141
2015-07-31	130
2015-08-01	128
2015-08-02	112
2015-08-03	96
2015-08-04	106
2015-08-05	113
2015-08-06	105
2015-08-07	91
2015-08-08	113
2015-08-09	99
2015-08-10	99
2015-08-11	105
2015-08-12	115
2015-08-13	105
2015-08-14	97
2015-08-15	101
2015-08-16	89
2015-08-17	109
2015-08-18	91
2015-08-19	100
2015-08-20	105
2015-08-21	98
2015-08-22	92
2015-08-23	99
2015-08-24	81
2015-08-25	89
2015-08-26	135
2015-08-27	99
2015-08-28	102
2015-08-29	73
2015-08-30	114
2015-08-31	99
2015-09-01	101
2015-09-02	74
2015-09-03	98
2015-09-04	87
2015-09-05	93
2015-09-06	110
2015-09-07	85
2015-09-08	98
2015-09-09	103
2015-09-10	99
2015-09-11	91
2015-09-12	79
2015-09-13	83
2015-09-14	78
2015-09-15	80
2015-09-16	84
2015-09-17	70
2015-09-18	99
2015-09-19	92
2015-09-20	93
2015-09-21	93
2015-09-22	94
2015-09-23	115
2015-09-24	84
2015-09-25	98
2015-09-26	106
2015-09-27	95
2015-09-28	84
2015-09-29	68
2015-09-30	92
2015-10-01	100
2015-10-02	107
2015-10-03	126
2015-10-04	98
2015-10-05	120
2015-10-06	70
2015-10-07	93
2015-10-08	103
2015-10-09	107
2015-10-10	106
2015-10-11	100
2015-10-12	93
2015-10-13	98
2015-10-14	68
2015-10-15	86
2015-10-16	82
2015-10-17	104
2015-10-18	111
2015-10-19	102
2015-10-20	94
2015-10-21	83
2015-10-22	97
2015-10-23	109
2015-10-24	91
2015-10-25	77
2015-10-26	89
2015-10-27	128
2015-10-28	115
2015-10-29	79
2015-10-30	86
2015-10-31	81
2015-11-01	99
2015-11-02	110
2015-11-03	97
2015-11-04	116
2015-11-05	112
2015-11-06	98
2015-11-07	126
2015-11-08	153
2015-11-09	134
2015-11-10	132
2015-11-11	109
2015-11-12	94
2015-11-13	92
2015-11-14	81
2015-11-15	119
2015-11-16	76
2015-11-17	102
2015-11-18	108
2015-11-19	93
2015-11-20	100
2015-11-21	99
2015-11-22	88
2015-11-23	95
2015-11-24	79
2015-11-25	85
2015-11-26	112
2015-11-27	98
2015-11-28	82
2015-11-29	104
2015-11-30	105
2015-12-01	83
2015-12-02	73
2015-12-03	99
2015-12-04	75
2015-12-05	90
2015-12-06	84
2015-12-07	81
2015-12-08	98
2015-12-09	90
2015-12-10	104
2015-12-11	105
2015-12-12	77
2015-12-13	110
2015-12-14	96
2015-12-15	75
2015-12-16	88
2015-12-17	87
2015-12-18	86
2015-12-19	105
2015-12-20	108
2015-12-21	94
2015-12-22	94
2015-12-23	117
2015-12-24	119
2015-12-25	132
2015-12-26	108
2015-12-27	89
2015-12-28	100
2015-12-29	79
2015-12-30	82
2015-12-31	66
2016-01-01	57
2016-01-02	68
2016-01-03	81
2016-01-04	84
2016-01-05	92
2016-01-06	99
2016-01-07	117
2016-01-08	102
2016-01-09	100
2016-01-10	89
2016-01-11	96
2016-01-12	79
2016-01-13	93
2016-01-14	106
2016-01-15	66
2016-01-16	78
2016-01-17	98
2016-01-18	94
2016-01-19	93
2016-01-20	123
2016-01-21	131
2016-01-22	103
2016-01-23	80
2016-01-24	101
2016-01-25	95
2016-01-26	83
2016-01-27	75
2016-01-28	102
2016-01-29	112
2016-01-30	96
2016-01-31	102
2016-02-01	117
2016-02-02	98
2016-02-03	104
2016-02-04	101
2016-02-05	121
2016-02-06	121
2016-02-07	130
