date	freq
2015-06-01	90
2015-06-02	116
2015-06-03	103
2015-06-04	101
2015-06-05	103
2015-06-06	84
2015-06-07	96
2015-06-08	40
2015-06-09	46
2015-06-10	53
2015-06-11	218
2015-06-12	102
2015-06-13	127
2015-06-14	103
2015-06-15	125
2015-06-16	115
2015-06-17	131
2015-06-18	84
2015-06-19	99
2015-06-20	144
2015-06-21	110
2015-06-22	117
2015-06-23	96
2015-06-24	95
2015-06-25	90
2015-06-26	104
2015-06-27	134
2015-06-28	128
2015-06-29	105
2015-06-30	228
2015-07-01	120
2015-07-02	115
2015-07-03	147
2015-07-04	123
2015-07-05	139
2015-07-06	330
2015-07-07	196
2015-07-08	136
2015-07-09	129
2015-07-10	141
2015-07-11	104
2015-07-12	116
2015-07-13	109
2015-07-14	93
2015-07-15	109
2015-07-16	106
2015-07-17	99
2015-07-18	144
2015-07-19	116
2015-07-20	149
2015-07-21	94
2015-07-22	104
2015-07-23	92
2015-07-24	97
2015-07-25	112
2015-07-26	104
2015-07-27	167
2015-07-28	143
2015-07-29	112
2015-07-30	104
2015-07-31	120
2015-08-01	128
2015-08-02	118
2015-08-03	100
2015-08-04	120
2015-08-05	112
2015-08-06	116
2015-08-07	91
2015-08-08	105
2015-08-09	104
2015-08-10	98
2015-08-11	96
2015-08-12	133
2015-08-13	110
2015-08-14	85
2015-08-15	93
2015-08-16	136
2015-08-17	86
2015-08-18	86
2015-08-19	112
2015-08-20	105
2015-08-21	82
2015-08-22	118
2015-08-23	112
2015-08-24	74
2015-08-25	178
2015-08-26	125
2015-08-27	137
2015-08-28	101
2015-08-29	154
2015-08-30	111
2015-08-31	86
2015-09-01	149
2015-09-02	82
2015-09-03	85
2015-09-04	95
2015-09-05	107
2015-09-06	106
2015-09-07	88
2015-09-08	94
2015-09-09	87
2015-09-10	113
2015-09-11	91
2015-09-12	128
2015-09-13	137
2015-09-14	111
2015-09-15	106
2015-09-16	97
2015-09-17	96
2015-09-18	87
2015-09-19	76
2015-09-20	84
2015-09-21	128
2015-09-22	109
2015-09-23	84
2015-09-24	91
2015-09-25	77
2015-09-26	109
2015-09-27	114
2015-09-28	77
2015-09-29	79
2015-09-30	81
2015-10-01	112
2015-10-02	85
2015-10-03	119
2015-10-04	97
2015-10-05	179
2015-10-06	95
2015-10-07	124
2015-10-08	182
2015-10-09	123
2015-10-10	87
2015-10-11	110
2015-10-12	162
2015-10-13	99
2015-10-14	80
2015-10-15	100
2015-10-16	162
2015-10-17	108
2015-10-18	83
2015-10-19	94
2015-10-20	142
2015-10-21	184
2015-10-22	97
2015-10-23	93
2015-10-24	161
2015-10-25	106
2015-10-26	92
2015-10-27	86
2015-10-28	100
2015-10-29	120
2015-10-30	78
2015-10-31	97
2015-11-01	97
2015-11-02	146
2015-11-03	122
2015-11-04	108
2015-11-05	129
2015-11-06	223
2015-11-07	591
2015-11-08	1924
2015-11-09	2322
2015-11-10	571
2015-11-11	246
2015-11-12	128
2015-11-13	144
2015-11-14	129
2015-11-15	129
2015-11-16	122
2015-11-17	136
2015-11-18	104
2015-11-19	111
2015-11-20	127
2015-11-21	185
2015-11-22	120
2015-11-23	94
2015-11-24	105
2015-11-25	83
2015-11-26	86
2015-11-27	119
2015-11-28	100
2015-11-29	124
2015-11-30	89
2015-12-01	93
2015-12-02	265
2015-12-03	290
2015-12-04	158
2015-12-05	194
2015-12-06	145
2015-12-07	100
2015-12-08	87
2015-12-09	129
2015-12-10	105
2015-12-11	112
2015-12-12	95
2015-12-13	89
2015-12-14	83
2015-12-15	76
2015-12-16	93
2015-12-17	89
2015-12-18	86
2015-12-19	367
2015-12-20	520
2015-12-21	176
2015-12-22	264
2015-12-23	124
2015-12-24	157
2015-12-25	95
2015-12-26	105
2015-12-27	108
2015-12-28	121
2015-12-29	128
2015-12-30	111
2015-12-31	120
2016-01-01	86
2016-01-02	90
2016-01-03	106
2016-01-04	106
2016-01-05	158
2016-01-06	477
2016-01-07	290
2016-01-08	156
2016-01-09	96
2016-01-10	82
2016-01-11	106
2016-01-12	74
2016-01-13	76
2016-01-14	74
2016-01-15	82
2016-01-16	85
2016-01-17	88
2016-01-18	67
2016-01-19	66
2016-01-20	90
2016-01-21	85
2016-01-22	86
2016-01-23	113
2016-01-24	92
2016-01-25	80
2016-01-26	93
2016-01-27	89
2016-01-28	117
2016-01-29	127
2016-01-30	117
2016-01-31	92
2016-02-01	89
2016-02-02	104
2016-02-03	115
2016-02-04	91
2016-02-05	153
2016-02-06	132
2016-02-07	108
2016-02-08	113
2016-02-09	96
2016-02-10	122
2016-02-11	168
2016-02-12	133
2016-02-13	166
2016-02-14	331
2016-02-15	391
2016-02-16	294
2016-02-17	132
2016-02-18	123
2016-02-19	155
2016-02-20	124
2016-02-21	118
2016-02-22	96
2016-02-23	98
2016-02-24	76
2016-02-25	69
2016-02-26	78
2016-02-27	88
2016-02-28	96
2016-02-29	76
2016-03-01	124
2016-03-02	94
2016-03-03	100
2016-03-04	265
2016-03-05	306
2016-03-06	124
2016-03-07	113
2016-03-08	95
2016-03-09	88
2016-03-10	113
2016-03-11	121
2016-03-12	138
2016-03-13	181
2016-03-14	130
2016-03-15	164
2016-03-16	148
2016-03-17	130
2016-03-18	105
2016-03-19	131
2016-03-20	103
2016-03-21	97
2016-03-22	92
2016-03-23	87
2016-03-24	128
2016-03-25	127
2016-03-26	152
2016-03-27	125
2016-03-28	108
2016-03-29	88
2016-03-30	82
2016-03-31	129
2016-04-01	95
2016-04-02	117
2016-04-03	126
2016-04-04	75
2016-04-05	99
2016-04-06	74
2016-04-07	67
