date	freq
2015-06-01	117
2015-06-02	140
2015-06-03	134
2015-06-04	156
2015-06-05	133
2015-06-06	173
2015-06-07	136
2015-06-08	65
2015-06-09	84
2015-06-10	146
2015-06-11	151
2015-06-12	149
2015-06-13	240
2015-06-14	209
2015-06-15	136
2015-06-16	142
2015-06-17	132
2015-06-18	136
2015-06-19	133
2015-06-20	204
2015-06-21	122
2015-06-22	117
2015-06-23	149
2015-06-24	150
2015-06-25	132
2015-06-26	146
2015-06-27	113
2015-06-28	134
2015-06-29	111
2015-06-30	131
2015-07-01	125
2015-07-02	129
2015-07-03	105
2015-07-04	154
2015-07-05	139
2015-07-06	140
2015-07-07	134
2015-07-08	164
2015-07-09	154
2015-07-10	128
2015-07-11	474
2015-07-12	284
2015-07-13	168
2015-07-14	146
2015-07-15	113
2015-07-16	110
2015-07-17	121
2015-07-18	157
2015-07-19	147
2015-07-20	123
2015-07-21	124
2015-07-22	130
2015-07-23	138
2015-07-24	154
2015-07-25	116
2015-07-26	147
2015-07-27	143
2015-07-28	134
2015-07-29	125
2015-07-30	393
2015-07-31	113
2015-08-01	141
2015-08-02	163
2015-08-03	128
2015-08-04	104
2015-08-05	161
2015-08-06	176
2015-08-07	109
2015-08-08	187
2015-08-09	179
2015-08-10	173
2015-08-11	157
2015-08-12	151
2015-08-13	153
2015-08-14	117
2015-08-15	110
2015-08-16	144
2015-08-17	113
2015-08-18	134
2015-08-19	116
2015-08-20	122
2015-08-21	126
2015-08-22	147
2015-08-23	123
2015-08-24	162
2015-08-25	110
2015-08-26	128
2015-08-27	121
2015-08-28	192
2015-08-29	147
2015-08-30	171
2015-08-31	131
2015-09-01	136
2015-09-02	144
2015-09-03	129
2015-09-04	131
2015-09-05	139
2015-09-06	256
2015-09-07	419
2015-09-08	279
2015-09-09	406
2015-09-10	548
2015-09-11	437
2015-09-12	499
2015-09-13	553
2015-09-14	637
2015-09-15	501
2015-09-16	526
2015-09-17	440
2015-09-18	538
2015-09-19	489
2015-09-20	564
2015-09-21	474
2015-09-22	455
2015-09-23	459
2015-09-24	626
2015-09-25	449
2015-09-26	280
2015-09-27	351
2015-09-28	308
2015-09-29	519
2015-09-30	264
2015-10-01	196
2015-10-02	232
2015-10-03	226
2015-10-04	284
2015-10-05	246
2015-10-06	301
2015-10-07	283
2015-10-08	230
2015-10-09	238
2015-10-10	182
2015-10-11	182
2015-10-12	257
2015-10-13	290
2015-10-14	226
2015-10-15	203
2015-10-16	223
2015-10-17	198
2015-10-18	241
2015-10-19	206
2015-10-20	252
2015-10-21	220
2015-10-22	200
2015-10-23	192
2015-10-24	252
2015-10-25	177
2015-10-26	220
2015-10-27	225
2015-10-28	370
2015-10-29	191
2015-10-30	206
2015-10-31	203
2015-11-01	239
2015-11-02	208
2015-11-03	195
2015-11-04	261
2015-11-05	292
2015-11-06	269
2015-11-07	280
2015-11-08	239
2015-11-09	189
2015-11-10	225
2015-11-11	203
2015-11-12	177
2015-11-13	189
2015-11-14	140
2015-11-15	174
2015-11-16	150
2015-11-17	217
2015-11-18	165
2015-11-19	198
2015-11-20	179
2015-11-21	196
2015-11-22	184
2015-11-23	164
2015-11-24	206
2015-11-25	162
2015-11-26	152
2015-11-27	175
2015-11-28	144
2015-11-29	219
2015-11-30	167
2015-12-01	184
2015-12-02	169
2015-12-03	194
2015-12-04	137
2015-12-05	202
2015-12-06	156
2015-12-07	207
2015-12-08	193
2015-12-09	948
2015-12-10	366
2015-12-11	446
2015-12-12	414
2015-12-13	425
2015-12-14	462
2015-12-15	524
2015-12-16	468
2015-12-17	462
2015-12-18	421
2015-12-19	440
2015-12-20	479
2015-12-21	426
2015-12-22	452
2015-12-23	441
2015-12-24	424
2015-12-25	419
2015-12-26	165
2015-12-27	260
2015-12-28	334
2015-12-29	370
2015-12-30	403
2015-12-31	395
2016-01-01	363
2016-01-02	416
2016-01-03	315
2016-01-04	389
2016-01-05	215
2016-01-06	221
2016-01-07	180
2016-01-08	202
2016-01-09	159
2016-01-10	196
2016-01-11	175
2016-01-12	150
2016-01-13	155
2016-01-14	161
2016-01-15	165
2016-01-16	152
2016-01-17	191
2016-01-18	169
2016-01-19	201
2016-01-20	133
2016-01-21	197
2016-01-22	207
2016-01-23	188
2016-01-24	171
2016-01-25	147
2016-01-26	163
2016-01-27	195
2016-01-28	195
2016-01-29	196
2016-01-30	261
2016-01-31	185
2016-02-01	173
2016-02-02	161
2016-02-03	183
2016-02-04	211
2016-02-05	150
2016-02-06	151
2016-02-07	186
2016-02-08	513
2016-02-09	386
2016-02-10	258
2016-02-11	231
2016-02-12	190
2016-02-13	174
2016-02-14	233
2016-02-15	198
2016-02-16	153
2016-02-17	178
2016-02-18	133
2016-02-19	147
2016-02-20	164
2016-02-21	199
2016-02-22	167
2016-02-23	158
2016-02-24	162
2016-02-25	129
2016-02-26	123
2016-02-27	149
2016-02-28	200
2016-02-29	164
2016-03-01	218
2016-03-02	164
2016-03-03	179
2016-03-04	152
2016-03-05	167
2016-03-06	144
2016-03-07	148
2016-03-08	164
2016-03-09	178
2016-03-10	170
2016-03-11	209
2016-03-12	174
2016-03-13	190
2016-03-14	161
2016-03-15	191
2016-03-16	223
2016-03-17	178
2016-03-18	144
2016-03-19	182
2016-03-20	176
2016-03-21	215
2016-03-22	249
2016-03-23	185
2016-03-24	162
2016-03-25	116
2016-03-26	143
2016-03-27	194
2016-03-28	722
2016-03-29	198
2016-03-30	165
2016-03-31	159
2016-04-01	163
2016-04-02	158
2016-04-03	135
2016-04-04	187
2016-04-05	188
2016-04-06	180
2016-04-07	158
2016-04-08	169
2016-04-09	142
2016-04-10	171
2016-04-11	145
2016-04-12	159
2016-04-13	162
2016-04-14	122
2016-04-15	115
2016-04-16	149
2016-04-17	206
2016-04-18	149
2016-04-19	137
2016-04-20	151
2016-04-21	134
2016-04-22	140
2016-04-23	159
2016-04-24	165
2016-04-25	129
2016-04-26	169
2016-04-27	154
2016-04-28	124
2016-04-29	115
2016-04-30	148
2016-05-01	134
2016-05-02	157
2016-05-03	158
2016-05-04	184
2016-05-05	167
2016-05-06	138
2016-05-07	143
2016-05-08	176
2016-05-09	238
2016-05-10	131
2016-05-11	130
2016-05-12	147
2016-05-13	152
2016-05-14	133
2016-05-15	142
2016-05-16	124
2016-05-17	139
2016-05-18	131
2016-05-19	138
2016-05-20	163
2016-05-21	159
2016-05-22	161
2016-05-23	163
2016-05-24	131
2016-05-25	113
2016-05-26	124
2016-05-27	125
2016-05-28	128
2016-05-29	130
2016-05-30	135
2016-05-31	162
