date	freq
2015-06-01	118
2015-06-02	116
2015-06-03	103
2015-06-04	112
2015-06-05	109
2015-06-06	129
2015-06-07	94
2015-06-08	114
2015-06-09	111
2015-06-10	126
2015-06-11	83
2015-06-12	135
2015-06-13	94
2015-06-14	89
2015-06-15	105
2015-06-16	89
2015-06-17	112
2015-06-18	80
2015-06-19	98
2015-06-20	93
2015-06-21	78
2015-06-22	90
2015-06-23	112
2015-06-24	89
2015-06-25	100
2015-06-26	101
2015-06-27	90
2015-06-28	85
2015-06-29	107
2015-06-30	80
2015-07-01	85
2015-07-02	92
2015-07-03	75
2015-07-04	63
2015-07-05	78
2015-07-06	81
2015-07-07	76
2015-07-08	107
2015-07-09	103
2015-07-10	128
2015-07-11	72
2015-07-12	89
2015-07-13	78
2015-07-14	103
2015-07-15	103
2015-07-16	106
2015-07-17	95
2015-07-18	89
2015-07-19	114
2015-07-20	117
2015-07-21	108
2015-07-22	96
2015-07-23	154
2015-07-24	125
2015-07-25	75
2015-07-26	77
2015-07-27	102
2015-07-28	98
2015-07-29	122
2015-07-30	119
2015-07-31	100
2015-08-01	138
2015-08-02	97
2015-08-03	126
2015-08-04	111
2015-08-05	91
2015-08-06	128
2015-08-07	111
2015-08-08	85
2015-08-09	120
2015-08-10	95
2015-08-11	99
2015-08-12	82
2015-08-13	92
2015-08-14	95
2015-08-15	127
2015-08-16	80
2015-08-17	100
2015-08-18	111
2015-08-19	120
2015-08-20	149
2015-08-21	91
2015-08-22	86
2015-08-23	79
2015-08-24	78
2015-08-25	105
2015-08-26	85
2015-08-27	100
2015-08-28	83
2015-08-29	72
2015-08-30	102
2015-08-31	93
2015-09-01	87
2015-09-02	117
2015-09-03	99
2015-09-04	133
2015-09-05	152
2015-09-06	83
2015-09-07	102
2015-09-08	114
2015-09-09	84
2015-09-10	90
2015-09-11	129
2015-09-12	85
2015-09-13	129
2015-09-14	100
2015-09-15	109
2015-09-16	110
2015-09-17	134
2015-09-18	124
2015-09-19	120
2015-09-20	102
2015-09-21	101
2015-09-22	101
2015-09-23	146
2015-09-24	144
2015-09-25	168
2015-09-26	137
2015-09-27	141
2015-09-28	159
2015-09-29	138
2015-09-30	100
2015-10-01	127
2015-10-02	113
2015-10-03	110
2015-10-04	109
2015-10-05	153
2015-10-06	154
2015-10-07	152
2015-10-08	112
2015-10-09	136
2015-10-10	107
2015-10-11	127
2015-10-12	82
2015-10-13	125
2015-10-14	86
2015-10-15	105
2015-10-16	88
2015-10-17	126
2015-10-18	95
2015-10-19	137
2015-10-20	82
2015-10-21	88
2015-10-22	118
2015-10-23	154
2015-10-24	108
2015-10-25	122
2015-10-26	183
2015-10-27	161
2015-10-28	131
2015-10-29	150
2015-10-30	98
2015-10-31	118
2015-11-01	157
2015-11-02	173
2015-11-03	114
2015-11-04	111
2015-11-05	126
2015-11-06	176
2015-11-07	225
2015-11-08	133
2015-11-09	153
2015-11-10	172
2015-11-11	134
2015-11-12	114
2015-11-13	132
2015-11-14	122
2015-11-15	161
2015-11-16	177
2015-11-17	264
2015-11-18	132
2015-11-19	177
2015-11-20	181
2015-11-21	117
2015-11-22	144
2015-11-23	194
2015-11-24	186
2015-11-25	108
2015-11-26	146
2015-11-27	142
2015-11-28	116
2015-11-29	111
2015-11-30	140
2015-12-01	278
2015-12-02	93
2015-12-03	105
2015-12-04	94
2015-12-05	105
2015-12-06	114
2015-12-07	91
2015-12-08	122
2015-12-09	190
2015-12-10	211
2015-12-11	99
2015-12-12	155
2015-12-13	163
2015-12-14	146
2015-12-15	100
2015-12-16	164
2015-12-17	88
2015-12-18	90
2015-12-19	185
2015-12-20	77
2015-12-21	94
2015-12-22	86
2015-12-23	86
2015-12-24	96
2015-12-25	100
2015-12-26	132
2015-12-27	111
2015-12-28	96
2015-12-29	154
2015-12-30	84
2015-12-31	88
2016-01-01	89
2016-01-02	131
2016-01-03	116
2016-01-04	91
2016-01-05	135
2016-01-06	137
2016-01-07	189
2016-01-08	154
2016-01-09	162
2016-01-10	153
2016-01-11	119
2016-01-12	115
2016-01-13	124
2016-01-14	109
2016-01-15	120
2016-01-16	91
