date	freq
2015-06-01	3219
2015-06-02	3071
2015-06-03	2891
2015-06-04	3025
2015-06-05	3006
2015-06-06	3102
2015-06-07	3283
2015-06-08	3285
2015-06-09	2943
2015-06-10	3012
2015-06-11	3166
2015-06-12	3217
2015-06-13	3235
2015-06-14	3491
2015-06-15	3151
2015-06-16	2934
2015-06-17	2991
2015-06-18	2968
2015-06-19	2890
2015-06-20	3118
2015-06-21	3598
2015-06-22	3383
2015-06-23	2934
2015-06-24	2874
2015-06-25	2805
2015-06-26	3015
2015-06-27	3155
2015-06-28	3291
2015-06-29	3091
2015-06-30	3081
2015-07-01	2988
2015-07-02	2941
2015-07-03	2945
2015-07-04	3141
2015-07-05	3336
2015-07-06	3153
2015-07-07	2908
2015-07-08	3020
2015-07-09	2919
2015-07-10	2866
2015-07-11	2945
2015-07-12	3177
2015-07-13	3062
2015-07-14	2723
2015-07-15	2734
2015-07-16	2808
2015-07-17	2724
2015-07-18	2836
2015-07-19	2858
2015-07-20	3041
2015-07-21	2809
2015-07-22	2815
2015-07-23	2772
2015-07-24	2609
2015-07-25	2807
2015-07-26	2876
2015-07-27	2812
2015-07-28	2627
2015-07-29	2785
2015-07-30	2684
2015-07-31	2665
2015-08-01	2823
2015-08-02	2928
2015-08-03	2822
2015-08-04	2704
2015-08-05	2759
2015-08-06	2708
2015-08-07	2560
2015-08-08	2796
2015-08-09	2946
2015-08-10	2946
2015-08-11	2757
2015-08-12	2713
2015-08-13	2848
2015-08-14	2708
2015-08-15	2805
2015-08-16	3007
2015-08-17	2802
2015-08-18	2713
2015-08-19	2815
2015-08-20	2831
2015-08-21	2843
2015-08-22	2922
2015-08-23	3065
2015-08-24	3005
2015-08-25	2770
2015-08-26	2795
2015-08-27	2982
2015-08-28	2922
2015-08-29	3000
2015-08-30	3299
2015-08-31	3044
2015-09-01	2963
2015-09-02	2913
2015-09-03	3047
2015-09-04	3064
2015-09-05	3222
2015-09-06	3270
2015-09-07	3134
2015-09-08	3293
2015-09-09	3155
2015-09-10	2984
2015-09-11	2916
2015-09-12	3215
2015-09-13	3374
2015-09-14	3265
2015-09-15	3150
2015-09-16	3110
2015-09-17	3106
2015-09-18	3193
2015-09-19	3176
2015-09-20	3284
2015-09-21	3460
2015-09-22	3524
2015-09-23	3544
2015-09-24	3368
2015-09-25	4856
2015-09-26	3978
2015-09-27	3598
2015-09-28	3473
2015-09-29	3302
2015-09-30	3308
2015-10-01	3330
2015-10-02	3378
2015-10-03	3433
2015-10-04	3491
2015-10-05	3322
2015-10-06	3302
2015-10-07	3186
2015-10-08	3077
2015-10-09	3101
2015-10-10	3221
2015-10-11	3505
2015-10-12	3707
2015-10-13	3322
2015-10-14	3214
2015-10-15	3031
2015-10-16	3276
2015-10-17	3271
2015-10-18	3364
2015-10-19	3304
2015-10-20	3119
2015-10-21	3124
2015-10-22	3086
2015-10-23	3017
2015-10-24	3249
2015-10-25	3457
2015-10-26	3349
2015-10-27	3300
2015-10-28	3114
2015-10-29	3236
2015-10-30	3299
2015-10-31	3452
2015-11-01	3527
2015-11-02	3541
2015-11-03	3528
2015-11-04	3286
2015-11-05	3252
2015-11-06	3305
2015-11-07	3545
2015-11-08	3610
2015-11-09	3560
2015-11-10	3275
2015-11-11	3417
2015-11-12	3337
2015-11-13	3424
2015-11-14	3336
2015-11-15	3480
2015-11-16	3584
2015-11-17	3471
2015-11-18	3877
2015-11-19	6109
2015-11-20	5377
2015-11-21	4340
2015-11-22	4416
2015-11-23	4363
2015-11-24	3875
2015-11-25	3522
2015-11-26	3628
2015-11-27	3484
2015-11-28	3538
2015-11-29	3815
2015-11-30	3648
2015-12-01	3390
2015-12-02	3300
2015-12-03	3338
2015-12-04	3484
2015-12-05	3389
2015-12-06	3629
2015-12-07	3419
2015-12-08	3339
2015-12-09	3238
2015-12-10	3325
2015-12-11	3160
2015-12-12	3496
2015-12-13	3771
2015-12-14	3401
2015-12-15	3217
2015-12-16	3159
2015-12-17	3148
2015-12-18	3319
2015-12-19	3466
2015-12-20	3785
2015-12-21	3586
2015-12-22	3276
2015-12-23	4077
2015-12-24	5437
2015-12-25	5504
2015-12-26	4195
2015-12-27	3570
2015-12-28	3231
2015-12-29	3096
2015-12-30	3279
2015-12-31	3654
2016-01-01	2666
2016-01-02	2921
2016-01-03	3094
2016-01-04	2860
2016-01-05	2756
2016-01-06	2701
2016-01-07	2671
2016-01-08	2642
2016-01-09	2779
2016-01-10	2844
2016-01-11	2888
2016-01-12	2693
2016-01-13	2610
2016-01-14	2648
2016-01-15	2639
2016-01-16	2868
2016-01-17	2959
2016-01-18	2753
2016-01-19	2491
2016-01-20	2695
2016-01-21	2647
2016-01-22	2753
2016-01-23	2848
2016-01-24	2963
2016-01-25	2681
2016-01-26	2717
2016-01-27	2724
2016-01-28	2831
2016-01-29	2801
2016-01-30	2869
2016-01-31	3073
2016-02-01	2938
2016-02-02	2689
2016-02-03	2569
2016-02-04	2541
2016-02-05	2719
2016-02-06	2806
2016-02-07	3065
2016-02-08	2905
2016-02-09	2693
2016-02-10	2659
2016-02-11	2842
2016-02-12	2670
2016-02-13	2898
2016-02-14	3404
2016-02-15	2959
2016-02-16	2735
2016-02-17	2577
2016-02-18	2687
2016-02-19	2596
2016-02-20	2857
2016-02-21	2893
2016-02-22	2651
2016-02-23	2580
2016-02-24	2546
2016-02-25	2563
2016-02-26	2689
2016-02-27	2816
2016-02-28	3190
2016-02-29	2727
2016-03-01	2588
2016-03-02	2488
2016-03-03	2431
2016-03-04	2347
2016-03-05	2399
