date	freq
2015-06-01	10
2015-06-02	7
2015-06-03	11
2015-06-04	10
2015-06-05	13
2015-06-06	3
2015-06-07	7
2015-06-08	12
2015-06-09	9
2015-06-10	9
2015-06-11	12
2015-06-12	7
2015-06-13	9
2015-06-14	13
2015-06-15	7
2015-06-16	9
2015-06-17	15
2015-06-18	10
2015-06-19	10
2015-06-20	12
2015-06-21	11
2015-06-22	14
2015-06-23	11
2015-06-24	8
2015-06-25	10
2015-06-26	11
2015-06-27	10
2015-06-28	8
2015-06-29	14
2015-06-30	19
2015-07-01	14
2015-07-02	6
2015-07-03	8
2015-07-04	9
2015-07-05	8
2015-07-06	9
2015-07-07	8
2015-07-08	3
2015-07-09	7
2015-07-10	14
2015-07-11	6
2015-07-12	9
2015-07-13	8
2015-07-14	5
2015-07-15	5
2015-07-16	7
2015-07-17	5
2015-07-18	7
2015-07-19	3
2015-07-20	4
2015-07-21	6
2015-07-22	10
2015-07-23	8
2015-07-24	9
2015-07-25	4
2015-07-26	8
2015-07-27	9
2015-07-28	6
2015-07-29	7
2015-07-30	8
2015-07-31	7
2015-08-01	4
2015-08-02	2
2015-08-03	9
2015-08-04	6
2015-08-05	7
2015-08-06	5
2015-08-07	2
2015-08-08	11
2015-08-09	6
2015-08-10	8
2015-08-11	3
2015-08-12	12
2015-08-13	8
2015-08-14	8
2015-08-15	7
2015-08-16	7
2015-08-17	6
2015-08-18	7
2015-08-19	9
2015-08-20	9
2015-08-21	9
2015-08-22	5
2015-08-23	13
2015-08-24	8
2015-08-25	6
2015-08-26	6
2015-08-27	11
2015-08-28	13
2015-08-29	6
2015-08-30	8
2015-08-31	8
2015-09-01	8
2015-09-02	9
2015-09-03	8
2015-09-04	14
2015-09-05	10
2015-09-06	11
2015-09-07	15
2015-09-08	6
2015-09-09	6
2015-09-10	7
2015-09-11	6
2015-09-12	12
2015-09-13	8
2015-09-14	10
2015-09-15	17
2015-09-16	8
2015-09-17	9
2015-09-18	8
2015-09-19	11
2015-09-20	14
2015-09-21	13
2015-09-22	12
2015-09-23	16
2015-09-24	12
2015-09-25	16
2015-09-26	28
2015-09-27	124
2015-09-28	83
2015-09-29	31
2015-09-30	17
2015-10-01	12
2015-10-02	12
2015-10-03	16
2015-10-04	12
2015-10-05	4
2015-10-06	10
2015-10-07	7
2015-10-08	9
2015-10-09	12
2015-10-10	4
2015-10-11	7
2015-10-12	2
2015-10-13	5
2015-10-14	4
2015-10-15	9
2015-10-16	12
2015-10-17	4
2015-10-18	14
2015-10-19	8
2015-10-20	8
2015-10-21	6
2015-10-22	9
2015-10-23	13
2015-10-24	9
2015-10-25	18
2015-10-26	8
2015-10-27	11
2015-10-28	8
2015-10-29	12
2015-10-30	4
2015-10-31	11
2015-11-01	5
2015-11-02	2
2015-11-03	7
2015-11-04	6
2015-11-05	11
2015-11-06	7
2015-11-07	6
2015-11-08	15
2015-11-09	12
2015-11-10	6
2015-11-11	8
2015-11-12	6
2015-11-13	4
2015-11-14	6
2015-11-15	9
2015-11-16	8
2015-11-17	11
2015-11-18	7
2015-11-19	7
2015-11-20	4
2015-11-21	9
2015-11-22	11
2015-11-23	8
2015-11-24	12
2015-11-25	9
2015-11-26	7
2015-11-27	6
2015-11-28	3
2015-11-29	6
2015-11-30	10
2015-12-01	7
2015-12-02	7
2015-12-03	5
2015-12-04	12
2015-12-05	10
2015-12-06	11
2015-12-07	12
2015-12-08	10
2015-12-09	8
2015-12-10	6
2015-12-11	10
2015-12-12	7
2015-12-13	14
2015-12-14	7
2015-12-15	6
2015-12-16	5
2015-12-17	4
2015-12-18	8
2015-12-19	9
2015-12-20	10
2015-12-21	4
2015-12-22	8
2015-12-23	10
2015-12-24	8
2015-12-25	11
2015-12-26	5
2015-12-27	3
2015-12-28	7
2015-12-29	6
2015-12-30	7
2015-12-31	11
2016-01-01	10
2016-01-02	7
2016-01-03	2
2016-01-04	2
2016-01-05	9
2016-01-06	12
2016-01-07	10
2016-01-08	21
2016-01-09	16
2016-01-10	11
2016-01-11	19
2016-01-12	12
2016-01-13	12
2016-01-14	19
2016-01-15	9
2016-01-16	5
2016-01-17	21
2016-01-18	17
2016-01-19	14
2016-01-20	9
2016-01-21	8
2016-01-22	6
2016-01-23	12
2016-01-24	13
2016-01-25	14
2016-01-26	11
2016-01-27	10
2016-01-28	10
2016-01-29	5
2016-01-30	6
2016-01-31	10
2016-02-01	16
2016-02-02	8
2016-02-03	6
2016-02-04	8
2016-02-05	12
2016-02-06	9
2016-02-07	14
2016-02-08	14
2016-02-09	10
2016-02-10	11
2016-02-11	7
2016-02-12	8
2016-02-13	10
2016-02-14	11
2016-02-15	12
2016-02-16	12
2016-02-17	8
2016-02-18	9
2016-02-19	7
2016-02-20	15
2016-02-21	18
2016-02-22	9
2016-02-23	10
2016-02-24	5
2016-02-25	10
2016-02-26	6
2016-02-27	9
2016-02-28	4
2016-02-29	14
2016-03-01	11
2016-03-02	18
2016-03-03	13
2016-03-04	13
2016-03-05	15
2016-03-06	10
2016-03-07	13
2016-03-08	10
2016-03-09	19
2016-03-10	12
2016-03-11	9
2016-03-12	5
2016-03-13	12
2016-03-14	12
2016-03-15	10
2016-03-16	14
2016-03-17	4
2016-03-18	8
2016-03-19	13
2016-03-20	11
2016-03-21	19
2016-03-22	13
2016-03-23	10
2016-03-24	7
2016-03-25	9
2016-03-26	7
2016-03-27	11
2016-03-28	8
2016-03-29	13
2016-03-30	7
2016-03-31	12
2016-04-01	12
2016-04-02	12
2016-04-03	11
2016-04-04	12
2016-04-05	19
2016-04-06	16
2016-04-07	10
2016-04-08	9
2016-04-09	10
2016-04-10	14
2016-04-11	11
2016-04-12	14
2016-04-13	23
2016-04-14	8
2016-04-15	10
2016-04-16	9
2016-04-17	8
2016-04-18	12
2016-04-19	8
2016-04-20	12
2016-04-21	10
2016-04-22	10
2016-04-23	12
2016-04-24	12
2016-04-25	17
2016-04-26	9
2016-04-27	11
2016-04-28	16
2016-04-29	9
2016-04-30	15
2016-05-01	18
2016-05-02	13
2016-05-03	19
2016-05-04	21
2016-05-05	62
2016-05-06	33
2016-05-07	15
2016-05-08	21
2016-05-09	20
2016-05-10	11
2016-05-11	8
2016-05-12	12
2016-05-13	12
2016-05-14	10
2016-05-15	13
2016-05-16	13
2016-05-17	7
2016-05-18	7
2016-05-19	12
2016-05-20	8
2016-05-21	5
2016-05-22	12
2016-05-23	15
2016-05-24	8
2016-05-25	6
2016-05-26	14
2016-05-27	12
2016-05-28	10
2016-05-29	11
2016-05-30	7
2016-05-31	5
