date	freq
2015-06-01	13
2015-06-02	14
2015-06-03	22
2015-06-04	17
2015-06-05	21
2015-06-06	19
2015-06-07	18
2015-06-08	24
2015-06-09	20
2015-06-10	17
2015-06-11	29
2015-06-12	26
2015-06-13	19
2015-06-14	22
2015-06-15	27
2015-06-16	16
2015-06-17	20
2015-06-18	19
2015-06-19	23
2015-06-20	21
2015-06-21	15
2015-06-22	19
2015-06-23	14
2015-06-24	16
2015-06-25	26
2015-06-26	27
2015-06-27	15
2015-06-28	20
2015-06-29	20
2015-06-30	16
2015-07-01	13
2015-07-02	15
2015-07-03	17
2015-07-04	22
2015-07-05	14
2015-07-06	28
2015-07-07	16
2015-07-08	16
2015-07-09	19
2015-07-10	14
2015-07-11	16
2015-07-12	14
2015-07-13	23
2015-07-14	28
2015-07-15	14
2015-07-16	18
2015-07-17	16
2015-07-18	20
2015-07-19	21
2015-07-20	23
2015-07-21	23
2015-07-22	23
2015-07-23	14
2015-07-24	84
2015-07-25	19
2015-07-26	19
2015-07-27	20
2015-07-28	21
2015-07-29	23
2015-07-30	18
2015-07-31	20
2015-08-01	13
2015-08-02	18
2015-08-03	14
2015-08-04	13
2015-08-05	27
2015-08-06	30
2015-08-07	130
2015-08-08	30
2015-08-09	17
2015-08-10	14
2015-08-11	20
2015-08-12	111
2015-08-13	15
2015-08-14	13
2015-08-15	21
2015-08-16	27
2015-08-17	18
2015-08-18	15
2015-08-19	19
2015-08-20	18
2015-08-21	28
2015-08-22	28
2015-08-23	23
2015-08-24	18
2015-08-25	46
2015-08-26	22
2015-08-27	112
2015-08-28	50
2015-08-29	22
2015-08-30	41
2015-08-31	17
2015-09-01	29
2015-09-02	31
2015-09-03	17
2015-09-04	34
2015-09-05	27
2015-09-06	104
2015-09-07	66
2015-09-08	14
2015-09-09	16
2015-09-10	25
2015-09-11	18
2015-09-12	19
2015-09-13	26
2015-09-14	94
2015-09-15	150
2015-09-16	64
2015-09-17	22
2015-09-18	16
2015-09-19	25
2015-09-20	22
2015-09-21	24
2015-09-22	20
2015-09-23	52
2015-09-24	16
2015-09-25	20
2015-09-26	45
2015-09-27	90
2015-09-28	19
2015-09-29	85
2015-09-30	29
2015-10-01	32
2015-10-02	24
2015-10-03	20
2015-10-04	21
2015-10-05	23
2015-10-06	22
2015-10-07	29
2015-10-08	19
2015-10-09	19
2015-10-10	31
2015-10-11	26
2015-10-12	25
2015-10-13	179
2015-10-14	21
2015-10-15	205
2015-10-16	179
2015-10-17	180
2015-10-18	19
2015-10-19	27
