date	freq
2015-06-01	334
2015-06-02	251
2015-06-03	225
2015-06-04	175
2015-06-05	198
2015-06-06	177
2015-06-07	204
2015-06-08	197
2015-06-09	202
2015-06-10	172
2015-06-11	176
2015-06-12	168
2015-06-13	185
2015-06-14	164
2015-06-15	167
2015-06-16	158
2015-06-17	171
2015-06-18	179
2015-06-19	330
2015-06-20	274
2015-06-21	174
2015-06-22	310
2015-06-23	327
2015-06-24	378
2015-06-25	270
2015-06-26	193
2015-06-27	388
2015-06-28	178
2015-06-29	435
2015-06-30	171
2015-07-01	176
2015-07-02	263
2015-07-03	184
2015-07-04	224
2015-07-05	270
2015-07-06	186
2015-07-07	198
2015-07-08	172
2015-07-09	171
2015-07-10	164
2015-07-11	212
2015-07-12	127
2015-07-13	190
2015-07-14	146
2015-07-15	158
2015-07-16	187
2015-07-17	199
2015-07-18	197
2015-07-19	143
2015-07-20	132
2015-07-21	137
2015-07-22	211
2015-07-23	161
2015-07-24	215
2015-07-25	148
2015-07-26	146
2015-07-27	147
2015-07-28	158
2015-07-29	155
2015-07-30	172
2015-07-31	155
2015-08-01	130
2015-08-02	124
2015-08-03	270
2015-08-04	146
2015-08-05	297
2015-08-06	145
2015-08-07	280
2015-08-08	157
2015-08-09	147
2015-08-10	154
2015-08-11	151
2015-08-12	231
2015-08-13	217
2015-08-14	156
2015-08-15	121
2015-08-16	144
2015-08-17	175
2015-08-18	184
2015-08-19	190
2015-08-20	220
2015-08-21	176
2015-08-22	120
2015-08-23	139
2015-08-24	176
2015-08-25	215
2015-08-26	188
2015-08-27	307
2015-08-28	182
2015-08-29	168
2015-08-30	217
2015-08-31	228
2015-09-01	158
2015-09-02	168
2015-09-03	196
2015-09-04	196
2015-09-05	183
2015-09-06	265
2015-09-07	216
2015-09-08	170
2015-09-09	167
2015-09-10	169
2015-09-11	155
2015-09-12	150
2015-09-13	153
2015-09-14	239
2015-09-15	422
2015-09-16	220
2015-09-17	169
2015-09-18	221
2015-09-19	145
2015-09-20	161
2015-09-21	162
2015-09-22	164
2015-09-23	192
2015-09-24	207
2015-09-25	208
2015-09-26	382
2015-09-27	294
2015-09-28	208
2015-09-29	234
2015-09-30	185
2015-10-01	194
2015-10-02	154
2015-10-03	164
2015-10-04	169
2015-10-05	156
2015-10-06	175
2015-10-07	181
2015-10-08	170
2015-10-09	201
2015-10-10	173
2015-10-11	175
2015-10-12	152
2015-10-13	325
2015-10-14	168
2015-10-15	361
2015-10-16	333
2015-10-17	309
2015-10-18	281
2015-10-19	215
2015-10-20	309
2015-10-21	349
2015-10-22	463
2015-10-23	169
2015-10-24	161
2015-10-25	161
2015-10-26	147
2015-10-27	178
2015-10-28	150
2015-10-29	296
2015-10-30	170
2015-10-31	266
2015-11-01	126
2015-11-02	154
2015-11-03	274
2015-11-04	264
2015-11-05	160
2015-11-06	171
2015-11-07	276
2015-11-08	166
2015-11-09	393
2015-11-10	253
2015-11-11	223
2015-11-12	159
2015-11-13	156
2015-11-14	159
2015-11-15	173
2015-11-16	178
2015-11-17	164
2015-11-18	162
2015-11-19	197
2015-11-20	192
2015-11-21	163
2015-11-22	148
2015-11-23	159
2015-11-24	214
2015-11-25	217
2015-11-26	186
2015-11-27	162
2015-11-28	136
2015-11-29	163
2015-11-30	160
2015-12-01	145
2015-12-02	163
2015-12-03	194
2015-12-04	183
2015-12-05	153
2015-12-06	154
2015-12-07	152
2015-12-08	152
2015-12-09	168
2015-12-10	175
2015-12-11	129
2015-12-12	140
2015-12-13	155
2015-12-14	132
2015-12-15	151
2015-12-16	146
2015-12-17	174
2015-12-18	166
2015-12-19	141
2015-12-20	157
2015-12-21	163
2015-12-22	149
2015-12-23	142
2015-12-24	117
2015-12-25	121
2015-12-26	123
2015-12-27	159
2015-12-28	147
2015-12-29	144
2015-12-30	181
2015-12-31	151
2016-01-01	91
2016-01-02	103
2016-01-03	135
2016-01-04	150
2016-01-05	148
2016-01-06	134
2016-01-07	133
2016-01-08	182
2016-01-09	128
2016-01-10	117
2016-01-11	136
2016-01-12	164
2016-01-13	132
2016-01-14	135
2016-01-15	137
2016-01-16	123
2016-01-17	119
2016-01-18	160
2016-01-19	130
2016-01-20	144
2016-01-21	148
2016-01-22	136
2016-01-23	142
2016-01-24	141
2016-01-25	141
2016-01-26	165
2016-01-27	135
2016-01-28	130
2016-01-29	141
2016-01-30	127
2016-01-31	149
2016-02-01	143
2016-02-02	157
2016-02-03	183
2016-02-04	175
2016-02-05	175
2016-02-06	169
2016-02-07	178
2016-02-08	165
2016-02-09	192
2016-02-10	152
2016-02-11	135
2016-02-12	148
2016-02-13	123
2016-02-14	137
2016-02-15	133
2016-02-16	132
2016-02-17	146
2016-02-18	122
2016-02-19	151
2016-02-20	164
2016-02-21	128
2016-02-22	154
2016-02-23	153
2016-02-24	143
2016-02-25	140
2016-02-26	159
2016-02-27	123
2016-02-28	120
2016-02-29	156
2016-03-01	181
2016-03-02	156
2016-03-03	123
2016-03-04	124
2016-03-05	143
2016-03-06	126
2016-03-07	144
2016-03-08	138
2016-03-09	125
2016-03-10	151
2016-03-11	121
2016-03-12	111
2016-03-13	132
2016-03-14	135
2016-03-15	141
2016-03-16	165
2016-03-17	140
2016-03-18	127
2016-03-19	103
2016-03-20	104
2016-03-21	154
2016-03-22	137
2016-03-23	124
2016-03-24	134
2016-03-25	128
2016-03-26	99
2016-03-27	133
2016-03-28	143
2016-03-29	164
2016-03-30	150
2016-03-31	149
2016-04-01	142
2016-04-02	143
2016-04-03	133
2016-04-04	149
2016-04-05	173
2016-04-06	156
2016-04-07	155
2016-04-08	172
2016-04-09	146
2016-04-10	151
2016-04-11	175
2016-04-12	145
2016-04-13	154
2016-04-14	174
2016-04-15	178
2016-04-16	155
2016-04-17	163
2016-04-18	163
2016-04-19	156
2016-04-20	172
2016-04-21	167
2016-04-22	181
2016-04-23	142
2016-04-24	147
2016-04-25	148
2016-04-26	147
2016-04-27	162
2016-04-28	165
2016-04-29	124
2016-04-30	137
2016-05-01	116
2016-05-02	235
2016-05-03	143
2016-05-04	127
2016-05-05	141
2016-05-06	157
