date	freq
2015-06-01	112
2015-06-02	114
2015-06-03	103
2015-06-04	361
2015-06-05	375
2015-06-06	184
2015-06-07	138
2015-06-08	188
2015-06-09	65
2015-06-10	114
2015-06-11	118
2015-06-12	87
2015-06-13	148
2015-06-14	113
2015-06-15	136
2015-06-16	144
2015-06-17	104
2015-06-18	123
2015-06-19	83
2015-06-20	111
2015-06-21	105
2015-06-22	117
2015-06-23	125
2015-06-24	122
2015-06-25	108
2015-06-26	86
2015-06-27	100
2015-06-28	103
2015-06-29	100
2015-06-30	96
2015-07-01	101
2015-07-02	100
2015-07-03	119
2015-07-04	461
2015-07-05	289
2015-07-06	151
2015-07-07	116
2015-07-08	183
2015-07-09	109
2015-07-10	103
2015-07-11	105
2015-07-12	112
2015-07-13	125
2015-07-14	129
2015-07-15	71
2015-07-16	94
2015-07-17	151
2015-07-18	120
2015-07-19	104
2015-07-20	109
2015-07-21	133
2015-07-22	133
2015-07-23	128
2015-07-24	114
2015-07-25	92
2015-07-26	97
2015-07-27	103
2015-07-28	116
2015-07-29	110
2015-07-30	140
2015-07-31	115
2015-08-01	104
2015-08-02	115
2015-08-03	115
2015-08-04	96
2015-08-05	114
2015-08-06	118
2015-08-07	112
2015-08-08	86
2015-08-09	93
2015-08-10	92
2015-08-11	130
2015-08-12	101
2015-08-13	110
2015-08-14	106
2015-08-15	116
2015-08-16	96
2015-08-17	125
2015-08-18	148
2015-08-19	125
2015-08-20	154
2015-08-21	146
2015-08-22	95
2015-08-23	113
2015-08-24	110
2015-08-25	92
2015-08-26	129
2015-08-27	123
2015-08-28	105
2015-08-29	123
2015-08-30	134
2015-08-31	133
2015-09-01	104
2015-09-02	107
2015-09-03	132
2015-09-04	123
2015-09-05	122
2015-09-06	126
2015-09-07	125
2015-09-08	120
2015-09-09	132
2015-09-10	125
2015-09-11	117
2015-09-12	123
2015-09-13	94
2015-09-14	133
2015-09-15	123
2015-09-16	115
2015-09-17	114
2015-09-18	112
2015-09-19	113
2015-09-20	106
2015-09-21	123
2015-09-22	104
2015-09-23	130
2015-09-24	160
2015-09-25	97
2015-09-26	154
2015-09-27	120
2015-09-28	113
2015-09-29	122
2015-09-30	118
2015-10-01	89
2015-10-02	93
2015-10-03	113
2015-10-04	106
2015-10-05	117
2015-10-06	99
2015-10-07	96
2015-10-08	118
2015-10-09	121
2015-10-10	105
2015-10-11	116
2015-10-12	99
2015-10-13	98
2015-10-14	110
2015-10-15	110
2015-10-16	159
2015-10-17	122
2015-10-18	107
2015-10-19	132
2015-10-20	113
2015-10-21	153
2015-10-22	155
2015-10-23	134
2015-10-24	120
2015-10-25	111
2015-10-26	113
2015-10-27	109
2015-10-28	119
2015-10-29	104
2015-10-30	76
2015-10-31	79
2015-11-01	104
2015-11-02	98
2015-11-03	121
2015-11-04	115
2015-11-05	98
2015-11-06	80
2015-11-07	110
2015-11-08	103
2015-11-09	118
2015-11-10	119
2015-11-11	90
2015-11-12	102
2015-11-13	99
2015-11-14	89
2015-11-15	96
2015-11-16	117
2015-11-17	117
2015-11-18	123
2015-11-19	122
2015-11-20	100
2015-11-21	110
2015-11-22	123
2015-11-23	131
2015-11-24	134
2015-11-25	109
2015-11-26	102
2015-11-27	121
2015-11-28	89
2015-11-29	106
2015-11-30	101
2015-12-01	109
2015-12-02	99
2015-12-03	112
2015-12-04	84
2015-12-05	84
2015-12-06	98
2015-12-07	122
2015-12-08	82
2015-12-09	110
2015-12-10	98
2015-12-11	83
2015-12-12	101
2015-12-13	104
2015-12-14	113
2015-12-15	140
2015-12-16	116
2015-12-17	107
2015-12-18	101
2015-12-19	85
2015-12-20	106
2015-12-21	114
2015-12-22	119
2015-12-23	92
2015-12-24	97
2015-12-25	104
2015-12-26	92
2015-12-27	95
2015-12-28	111
2015-12-29	130
2015-12-30	128
2015-12-31	117
2016-01-01	81
2016-01-02	95
2016-01-03	99
2016-01-04	104
2016-01-05	110
2016-01-06	99
2016-01-07	108
2016-01-08	90
2016-01-09	106
2016-01-10	85
2016-01-11	116
2016-01-12	117
2016-01-13	96
2016-01-14	104
2016-01-15	112
2016-01-16	97
2016-01-17	110
2016-01-18	157
2016-01-19	84
2016-01-20	109
2016-01-21	98
2016-01-22	111
2016-01-23	107
2016-01-24	120
2016-01-25	133
2016-01-26	128
2016-01-27	107
2016-01-28	110
2016-01-29	91
2016-01-30	104
2016-01-31	141
2016-02-01	125
2016-02-02	114
2016-02-03	117
2016-02-04	127
2016-02-05	128
2016-02-06	154
2016-02-07	130
2016-02-08	126
2016-02-09	113
2016-02-10	149
2016-02-11	121
2016-02-12	127
2016-02-13	116
2016-02-14	125
2016-02-15	134
2016-02-16	122
2016-02-17	117
2016-02-18	95
2016-02-19	100
2016-02-20	117
2016-02-21	115
2016-02-22	142
2016-02-23	101
2016-02-24	140
2016-02-25	113
2016-02-26	116
2016-02-27	128
2016-02-28	134
2016-02-29	101
2016-03-01	108
2016-03-02	104
2016-03-03	95
2016-03-04	105
2016-03-05	104
2016-03-06	104
2016-03-07	98
2016-03-08	127
2016-03-09	145
2016-03-10	110
2016-03-11	122
2016-03-12	115
2016-03-13	132
2016-03-14	116
2016-03-15	133
2016-03-16	120
2016-03-17	107
2016-03-18	101
2016-03-19	83
2016-03-20	122
2016-03-21	105
2016-03-22	453
2016-03-23	198
2016-03-24	132
2016-03-25	135
2016-03-26	105
2016-03-27	114
2016-03-28	129
2016-03-29	126
2016-03-30	105
2016-03-31	123
2016-04-01	120
2016-04-02	99
2016-04-03	120
2016-04-04	99
2016-04-05	111
2016-04-06	105
2016-04-07	127
2016-04-08	111
2016-04-09	57
2016-04-10	128
2016-04-11	118
2016-04-12	111
2016-04-13	117
2016-04-14	145
2016-04-15	159
2016-04-16	202
2016-04-17	104
2016-04-18	152
2016-04-19	143
2016-04-20	120
2016-04-21	110
2016-04-22	113
2016-04-23	120
2016-04-24	148
2016-04-25	141
2016-04-26	133
2016-04-27	120
2016-04-28	115
2016-04-29	120
2016-04-30	101
2016-05-01	106
2016-05-02	97
2016-05-03	125
2016-05-04	107
2016-05-05	116
2016-05-06	146
2016-05-07	145
2016-05-08	112
2016-05-09	114
2016-05-10	125
2016-05-11	121
2016-05-12	114
2016-05-13	106
2016-05-14	104
2016-05-15	106
2016-05-16	153
2016-05-17	134
