date	freq
2015-06-01	10
2015-06-02	6
2015-06-03	7
2015-06-04	4
2015-06-05	8
2015-06-06	7
2015-06-07	12
2015-06-08	8
2015-06-09	1
2015-06-10	3
2015-06-11	6
2015-06-12	21
2015-06-13	13
2015-06-14	6
2015-06-15	6
2015-06-16	4
2015-06-17	7
2015-06-18	8
2015-06-19	6
2015-06-20	3
2015-06-21	4
2015-06-22	6
2015-06-23	8
2015-06-24	5
2015-06-25	10
2015-06-26	10
2015-06-27	8
2015-06-28	6
2015-06-29	12
2015-06-30	7
2015-07-01	4
2015-07-02	5
2015-07-03	7
2015-07-04	4
2015-07-05	11
2015-07-06	8
2015-07-07	5
2015-07-08	9
2015-07-09	6
2015-07-10	12
2015-07-11	7
2015-07-12	7
2015-07-13	6
2015-07-14	6
2015-07-15	6
2015-07-16	4
2015-07-17	6
2015-07-18	5
2015-07-19	6
2015-07-20	5
2015-07-21	5
2015-07-22	4
2015-07-23	13
2015-07-24	7
2015-07-25	7
2015-07-26	7
2015-07-27	10
2015-07-28	10
2015-07-29	7
2015-07-30	5
2015-07-31	3
2015-08-01	3
2015-08-02	6
2015-08-03	10
2015-08-04	5
2015-08-05	8
2015-08-06	9
2015-08-07	5
2015-08-08	10
2015-08-09	6
2015-08-10	6
2015-08-11	8
2015-08-12	14
2015-08-13	12
2015-08-14	7
2015-08-15	5
2015-08-16	8
2015-08-17	10
2015-08-18	8
2015-08-19	8
2015-08-20	11
2015-08-21	4
2015-08-22	5
2015-08-23	5
2015-08-24	3
2015-08-25	9
2015-08-26	5
2015-08-27	4
2015-08-28	10
2015-08-29	11
2015-08-30	10
2015-08-31	4
2015-09-01	8
2015-09-02	9
2015-09-03	10
2015-09-04	2
2015-09-05	5
2015-09-06	5
2015-09-07	1
2015-09-08	2
2015-09-09	3
2015-09-10	3
2015-09-11	0
2015-09-12	2
2015-09-13	2
2015-09-14	2
2015-09-15	5
2015-09-16	1
2015-09-17	1
2015-09-18	2
2015-09-19	6
2015-09-20	1
2015-09-21	2
