date	freq
2015-06-01	144
2015-06-02	143
2015-06-03	144
2015-06-04	163
2015-06-05	153
2015-06-06	167
2015-06-07	168
2015-06-08	120
2015-06-09	135
2015-06-10	69
2015-06-11	159
2015-06-12	123
2015-06-13	149
2015-06-14	164
2015-06-15	180
2015-06-16	188
2015-06-17	158
2015-06-18	133
2015-06-19	163
2015-06-20	161
2015-06-21	181
2015-06-22	162
2015-06-23	173
2015-06-24	175
2015-06-25	163
2015-06-26	145
2015-06-27	115
2015-06-28	147
2015-06-29	126
2015-06-30	132
2015-07-01	130
2015-07-02	156
2015-07-03	186
2015-07-04	170
2015-07-05	175
2015-07-06	148
2015-07-07	176
2015-07-08	140
2015-07-09	144
2015-07-10	153
2015-07-11	181
2015-07-12	182
2015-07-13	195
2015-07-14	167
2015-07-15	149
2015-07-16	163
2015-07-17	158
2015-07-18	157
2015-07-19	167
2015-07-20	172
2015-07-21	219
2015-07-22	207
2015-07-23	185
2015-07-24	178
2015-07-25	182
2015-07-26	186
2015-07-27	187
2015-07-28	174
2015-07-29	182
2015-07-30	173
2015-07-31	176
2015-08-01	213
2015-08-02	208
2015-08-03	208
2015-08-04	186
2015-08-05	154
2015-08-06	165
2015-08-07	157
2015-08-08	186
2015-08-09	170
2015-08-10	192
2015-08-11	177
2015-08-12	163
2015-08-13	176
2015-08-14	147
2015-08-15	156
2015-08-16	167
2015-08-17	241
2015-08-18	209
2015-08-19	167
2015-08-20	220
2015-08-21	192
2015-08-22	743
2015-08-23	446
2015-08-24	290
2015-08-25	187
2015-08-26	147
2015-08-27	164
2015-08-28	199
2015-08-29	159
2015-08-30	161
2015-08-31	122
2015-09-01	130
2015-09-02	203
2015-09-03	227
2015-09-04	220
2015-09-05	159
2015-09-06	141
2015-09-07	147
2015-09-08	153
2015-09-09	139
2015-09-10	133
2015-09-11	112
2015-09-12	121
2015-09-13	128
2015-09-14	158
2015-09-15	127
2015-09-16	116
2015-09-17	138
2015-09-18	116
2015-09-19	133
2015-09-20	113
2015-09-21	104
2015-09-22	119
2015-09-23	114
2015-09-24	107
2015-09-25	98
2015-09-26	121
2015-09-27	127
2015-09-28	96
2015-09-29	99
2015-09-30	111
2015-10-01	115
2015-10-02	126
2015-10-03	154
2015-10-04	125
2015-10-05	105
2015-10-06	111
2015-10-07	103
2015-10-08	114
2015-10-09	135
2015-10-10	88
2015-10-11	90
2015-10-12	121
2015-10-13	106
2015-10-14	94
2015-10-15	92
2015-10-16	103
2015-10-17	122
2015-10-18	168
2015-10-19	210
2015-10-20	121
2015-10-21	104
2015-10-22	148
2015-10-23	76
2015-10-24	96
2015-10-25	111
2015-10-26	90
2015-10-27	293
2015-10-28	131
2015-10-29	124
2015-10-30	229
2015-10-31	117
2015-11-01	90
2015-11-02	81
2015-11-03	116
2015-11-04	102
2015-11-05	109
2015-11-06	121
2015-11-07	118
2015-11-08	291
2015-11-09	125
2015-11-10	103
2015-11-11	101
2015-11-12	77
2015-11-13	97
2015-11-14	79
2015-11-15	90
2015-11-16	72
2015-11-17	113
2015-11-18	103
2015-11-19	90
2015-11-20	131
2015-11-21	95
2015-11-22	101
2015-11-23	86
2015-11-24	84
2015-11-25	85
2015-11-26	100
2015-11-27	93
2015-11-28	90
2015-11-29	89
2015-11-30	99
2015-12-01	94
2015-12-02	100
2015-12-03	84
2015-12-04	83
2015-12-05	149
2015-12-06	169
2015-12-07	94
2015-12-08	101
2015-12-09	96
2015-12-10	75
2015-12-11	64
2015-12-12	112
2015-12-13	71
2015-12-14	86
2015-12-15	91
2015-12-16	100
2015-12-17	93
2015-12-18	85
2015-12-19	366
2015-12-20	506
2015-12-21	180
2015-12-22	274
2015-12-23	144
2015-12-24	94
2015-12-25	85
2015-12-26	93
2015-12-27	127
2015-12-28	114
2015-12-29	95
2015-12-30	103
2015-12-31	102
2016-01-01	168
2016-01-02	115
2016-01-03	111
2016-01-04	149
2016-01-05	122
2016-01-06	106
2016-01-07	103
2016-01-08	91
2016-01-09	124
2016-01-10	109
2016-01-11	135
2016-01-12	153
2016-01-13	102
2016-01-14	105
2016-01-15	131
2016-01-16	96
2016-01-17	125
2016-01-18	137
2016-01-19	71
2016-01-20	106
2016-01-21	101
2016-01-22	210
2016-01-23	132
2016-01-24	110
2016-01-25	98
2016-01-26	110
2016-01-27	105
2016-01-28	104
2016-01-29	137
2016-01-30	114
2016-01-31	106
2016-02-01	87
2016-02-02	106
2016-02-03	95
2016-02-04	86
2016-02-05	383
2016-02-06	136
2016-02-07	196
2016-02-08	445
2016-02-09	447
2016-02-10	178
2016-02-11	438
2016-02-12	827
2016-02-13	377
2016-02-14	187
2016-02-15	147
2016-02-16	362
2016-02-17	106
2016-02-18	87
2016-02-19	131
2016-02-20	172
2016-02-21	115
2016-02-22	77
2016-02-23	105
2016-02-24	108
2016-02-25	107
2016-02-26	122
2016-02-27	173
2016-02-28	106
2016-02-29	161
2016-03-01	133
2016-03-02	139
2016-03-03	117
2016-03-04	118
2016-03-05	115
2016-03-06	121
2016-03-07	167
2016-03-08	148
2016-03-09	119
2016-03-10	103
2016-03-11	88
2016-03-12	97
2016-03-13	137
2016-03-14	121
2016-03-15	150
2016-03-16	110
2016-03-17	135
2016-03-18	268
2016-03-19	125
2016-03-20	102
2016-03-21	111
2016-03-22	137
2016-03-23	126
2016-03-24	146
2016-03-25	153
2016-03-26	105
2016-03-27	107
2016-03-28	118
2016-03-29	118
2016-03-30	110
2016-03-31	113
2016-04-01	143
2016-04-02	141
2016-04-03	142
2016-04-04	115
2016-04-05	143
2016-04-06	99
2016-04-07	103
2016-04-08	118
2016-04-09	132
2016-04-10	113
2016-04-11	98
2016-04-12	172
2016-04-13	137
2016-04-14	95
2016-04-15	102
2016-04-16	125
2016-04-17	148
2016-04-18	153
2016-04-19	109
2016-04-20	117
2016-04-21	98
2016-04-22	123
2016-04-23	152
2016-04-24	182
2016-04-25	133
2016-04-26	130
2016-04-27	160
2016-04-28	122
2016-04-29	107
2016-04-30	108
2016-05-01	152
2016-05-02	158
2016-05-03	136
2016-05-04	130
2016-05-05	137
2016-05-06	127
2016-05-07	117
2016-05-08	146
2016-05-09	119
2016-05-10	125
2016-05-11	138
2016-05-12	150
2016-05-13	131
2016-05-14	177
2016-05-15	175
2016-05-16	157
2016-05-17	131
2016-05-18	162
2016-05-19	178
2016-05-20	225
2016-05-21	164
2016-05-22	168
2016-05-23	136
2016-05-24	145
2016-05-25	174
2016-05-26	149
2016-05-27	127
2016-05-28	157
2016-05-29	148
2016-05-30	106
2016-05-31	164
