date	freq
2015-06-01	34
2015-06-02	32
2015-06-03	17
2015-06-04	18
2015-06-05	17
2015-06-06	18
2015-06-07	16
2015-06-08	17
2015-06-09	20
2015-06-10	12
2015-06-11	15
2015-06-12	14
2015-06-13	24
2015-06-14	11
2015-06-15	19
2015-06-16	10
2015-06-17	18
2015-06-18	22
2015-06-19	13
2015-06-20	9
2015-06-21	9
2015-06-22	11
2015-06-23	11
2015-06-24	18
2015-06-25	21
2015-06-26	20
2015-06-27	10
2015-06-28	16
2015-06-29	14
2015-06-30	14
2015-07-01	12
2015-07-02	10
2015-07-03	10
2015-07-04	11
2015-07-05	12
2015-07-06	15
2015-07-07	9
2015-07-08	18
2015-07-09	12
2015-07-10	13
2015-07-11	13
2015-07-12	15
2015-07-13	10
2015-07-14	22
2015-07-15	12
2015-07-16	9
2015-07-17	20
2015-07-18	12
2015-07-19	13
2015-07-20	20
2015-07-21	16
2015-07-22	27
2015-07-23	18
2015-07-24	15
2015-07-25	20
2015-07-26	9
2015-07-27	14
2015-07-28	15
2015-07-29	13
2015-07-30	21
2015-07-31	20
2015-08-01	16
2015-08-02	16
2015-08-03	8
2015-08-04	9
2015-08-05	7
2015-08-06	8
2015-08-07	14
2015-08-08	8
2015-08-09	6
2015-08-10	15
2015-08-11	7
2015-08-12	12
2015-08-13	13
2015-08-14	7
2015-08-15	12
2015-08-16	17
2015-08-17	12
2015-08-18	12
2015-08-19	7
2015-08-20	17
2015-08-21	15
2015-08-22	15
2015-08-23	23
2015-08-24	18
2015-08-25	18
2015-08-26	24
2015-08-27	20
2015-08-28	18
2015-08-29	14
2015-08-30	15
2015-08-31	20
2015-09-01	16
2015-09-02	22
2015-09-03	27
2015-09-04	9
2015-09-05	23
2015-09-06	7
2015-09-07	16
2015-09-08	11
2015-09-09	15
2015-09-10	10
2015-09-11	12
2015-09-12	11
2015-09-13	22
2015-09-14	17
2015-09-15	11
2015-09-16	10
2015-09-17	15
2015-09-18	17
2015-09-19	11
2015-09-20	9
2015-09-21	11
2015-09-22	11
2015-09-23	8
2015-09-24	16
2015-09-25	12
2015-09-26	16
2015-09-27	10
2015-09-28	7
2015-09-29	30
2015-09-30	13
2015-10-01	12
2015-10-02	9
2015-10-03	20
2015-10-04	13
2015-10-05	19
2015-10-06	19
2015-10-07	18
2015-10-08	11
2015-10-09	15
2015-10-10	15
2015-10-11	8
2015-10-12	12
2015-10-13	14
2015-10-14	10
2015-10-15	11
2015-10-16	14
2015-10-17	9
2015-10-18	6
2015-10-19	13
2015-10-20	12
2015-10-21	15
2015-10-22	9
2015-10-23	11
2015-10-24	7
2015-10-25	8
2015-10-26	10
2015-10-27	19
2015-10-28	19
2015-10-29	12
2015-10-30	14
2015-10-31	11
2015-11-01	10
2015-11-02	5
2015-11-03	12
2015-11-04	11
2015-11-05	9
2015-11-06	13
2015-11-07	18
2015-11-08	19
2015-11-09	10
2015-11-10	27
2015-11-11	16
2015-11-12	15
2015-11-13	18
2015-11-14	20
2015-11-15	23
2015-11-16	18
2015-11-17	17
2015-11-18	22
2015-11-19	21
2015-11-20	22
2015-11-21	9
2015-11-22	14
2015-11-23	12
2015-11-24	18
2015-11-25	8
2015-11-26	8
2015-11-27	10
2015-11-28	14
2015-11-29	14
2015-11-30	14
2015-12-01	16
2015-12-02	21
2015-12-03	11
2015-12-04	11
2015-12-05	25
2015-12-06	12
2015-12-07	21
2015-12-08	23
2015-12-09	8
2015-12-10	20
2015-12-11	28
2015-12-12	14
2015-12-13	12
2015-12-14	17
2015-12-15	16
2015-12-16	8
2015-12-17	13
2015-12-18	14
2015-12-19	10
2015-12-20	3
2015-12-21	12
2015-12-22	12
2015-12-23	11
2015-12-24	16
2015-12-25	8
2015-12-26	8
2015-12-27	19
2015-12-28	13
2015-12-29	12
2015-12-30	11
2015-12-31	8
2016-01-01	15
2016-01-02	10
2016-01-03	14
2016-01-04	10
2016-01-05	23
2016-01-06	19
2016-01-07	25
2016-01-08	18
2016-01-09	13
2016-01-10	30
2016-01-11	23
2016-01-12	24
2016-01-13	31
2016-01-14	17
2016-01-15	19
2016-01-16	19
2016-01-17	23
2016-01-18	18
2016-01-19	14
2016-01-20	19
2016-01-21	15
2016-01-22	19
2016-01-23	15
2016-01-24	15
2016-01-25	11
2016-01-26	28
2016-01-27	9
2016-01-28	19
2016-01-29	39
2016-01-30	22
2016-01-31	31
2016-02-01	14
2016-02-02	20
2016-02-03	20
2016-02-04	15
2016-02-05	40
2016-02-06	23
2016-02-07	20
2016-02-08	28
2016-02-09	42
2016-02-10	29
2016-02-11	31
2016-02-12	21
2016-02-13	25
2016-02-14	22
2016-02-15	16
2016-02-16	19
2016-02-17	25
2016-02-18	31
2016-02-19	33
2016-02-20	43
2016-02-21	26
2016-02-22	23
2016-02-23	28
2016-02-24	22
2016-02-25	28
2016-02-26	25
2016-02-27	21
2016-02-28	13
2016-02-29	20
2016-03-01	41
2016-03-02	26
2016-03-03	31
2016-03-04	38
2016-03-05	15
2016-03-06	25
2016-03-07	14
2016-03-08	18
2016-03-09	27
2016-03-10	30
2016-03-11	12
2016-03-12	24
2016-03-13	9
2016-03-14	11
2016-03-15	25
2016-03-16	10
2016-03-17	23
2016-03-18	26
2016-03-19	26
2016-03-20	18
2016-03-21	34
2016-03-22	43
2016-03-23	43
2016-03-24	44
2016-03-25	30
2016-03-26	13
2016-03-27	32
2016-03-28	18
2016-03-29	13
2016-03-30	29
2016-03-31	21
2016-04-01	32
2016-04-02	16
2016-04-03	12
2016-04-04	19
2016-04-05	19
2016-04-06	19
2016-04-07	20
2016-04-08	41
2016-04-09	33
2016-04-10	18
2016-04-11	20
2016-04-12	26
2016-04-13	33
2016-04-14	17
2016-04-15	24
2016-04-16	34
2016-04-17	28
2016-04-18	8
2016-04-19	49
2016-04-20	21
2016-04-21	26
2016-04-22	43
2016-04-23	25
2016-04-24	35
2016-04-25	17
2016-04-26	50
2016-04-27	40
2016-04-28	46
2016-04-29	37
2016-04-30	33
2016-05-01	25
2016-05-02	13
2016-05-03	34
2016-05-04	10
2016-05-05	16
2016-05-06	22
2016-05-07	13
2016-05-08	12
2016-05-09	13
2016-05-10	17
2016-05-11	19
2016-05-12	29
2016-05-13	23
2016-05-14	27
2016-05-15	17
2016-05-16	17
2016-05-17	12
2016-05-18	24
2016-05-19	35
2016-05-20	17
2016-05-21	25
2016-05-22	20
2016-05-23	22
2016-05-24	33
2016-05-25	13
2016-05-26	17
2016-05-27	15
2016-05-28	16
2016-05-29	14
2016-05-30	18
2016-05-31	39
