date	freq
2015-06-01	173
2015-06-02	203
2015-06-03	213
2015-06-04	180
2015-06-05	180
2015-06-06	189
2015-06-07	195
2015-06-08	100
2015-06-09	208
2015-06-10	490
2015-06-11	247
2015-06-12	188
2015-06-13	294
2015-06-14	294
2015-06-15	223
2015-06-16	236
2015-06-17	244
2015-06-18	208
2015-06-19	222
2015-06-20	249
2015-06-21	223
2015-06-22	245
2015-06-23	266
2015-06-24	220
2015-06-25	206
2015-06-26	202
2015-06-27	199
2015-06-28	305
2015-06-29	222
2015-06-30	244
2015-07-01	192
2015-07-02	239
2015-07-03	196
2015-07-04	273
2015-07-05	211
2015-07-06	213
2015-07-07	202
2015-07-08	205
2015-07-09	186
2015-07-10	175
2015-07-11	225
2015-07-12	194
2015-07-13	184
2015-07-14	199
2015-07-15	224
2015-07-16	188
2015-07-17	222
2015-07-18	188
2015-07-19	159
2015-07-20	180
2015-07-21	175
2015-07-22	228
2015-07-23	237
2015-07-24	200
2015-07-25	212
2015-07-26	232
2015-07-27	194
2015-07-28	226
2015-07-29	223
2015-07-30	289
2015-07-31	269
2015-08-01	206
2015-08-02	216
2015-08-03	207
2015-08-04	206
2015-08-05	220
2015-08-06	197
2015-08-07	209
2015-08-08	189
2015-08-09	151
2015-08-10	171
2015-08-11	165
2015-08-12	158
2015-08-13	188
2015-08-14	192
2015-08-15	219
2015-08-16	185
2015-08-17	385
2015-08-18	369
2015-08-19	227
2015-08-20	232
2015-08-21	199
2015-08-22	208
2015-08-23	188
2015-08-24	145
2015-08-25	179
2015-08-26	248
2015-08-27	525
2015-08-28	298
2015-08-29	197
2015-08-30	192
2015-08-31	222
2015-09-01	209
2015-09-02	165
2015-09-03	224
2015-09-04	164
2015-09-05	177
2015-09-06	236
2015-09-07	270
2015-09-08	239
2015-09-09	221
2015-09-10	196
2015-09-11	2902
2015-09-12	977
2015-09-13	332
2015-09-14	239
2015-09-15	217
2015-09-16	203
2015-09-17	370
2015-09-18	221
2015-09-19	198
2015-09-20	247
2015-09-21	428
2015-09-22	512
2015-09-23	310
2015-09-24	216
2015-09-25	223
2015-09-26	196
2015-09-27	204
2015-09-28	155
2015-09-29	192
2015-09-30	157
2015-10-01	174
2015-10-02	177
2015-10-03	203
2015-10-04	219
2015-10-05	249
2015-10-06	283
2015-10-07	348
2015-10-08	329
2015-10-09	258
2015-10-10	188
2015-10-11	196
2015-10-12	234
2015-10-13	205
2015-10-14	212
2015-10-15	221
2015-10-16	213
2015-10-17	201
2015-10-18	241
2015-10-19	204
2015-10-20	2726
2015-10-21	808
2015-10-22	305
2015-10-23	238
2015-10-24	266
2015-10-25	243
2015-10-26	201
2015-10-27	200
2015-10-28	213
2015-10-29	185
2015-10-30	160
2015-10-31	180
2015-11-01	293
2015-11-02	247
2015-11-03	220
2015-11-04	218
2015-11-05	251
2015-11-06	276
2015-11-07	208
2015-11-08	199
2015-11-09	188
2015-11-10	195
2015-11-11	209
2015-11-12	190
2015-11-13	153
2015-11-14	172
2015-11-15	185
2015-11-16	138
2015-11-17	133
2015-11-18	158
2015-11-19	180
2015-11-20	378
2015-11-21	229
2015-11-22	174
2015-11-23	166
2015-11-24	158
2015-11-25	174
2015-11-26	153
2015-11-27	523
2015-11-28	268
2015-11-29	203
2015-11-30	193
2015-12-01	184
2015-12-02	221
2015-12-03	177
2015-12-04	181
