date	freq
2015-06-01	670
2015-06-02	701
2015-06-03	748
2015-06-04	724
2015-06-05	721
2015-06-06	645
2015-06-07	673
2015-06-08	725
2015-06-09	720
2015-06-10	718
2015-06-11	693
2015-06-12	692
2015-06-13	688
2015-06-14	634
2015-06-15	643
2015-06-16	705
2015-06-17	740
2015-06-18	761
2015-06-19	727
2015-06-20	627
2015-06-21	648
2015-06-22	684
2015-06-23	692
2015-06-24	644
2015-06-25	713
2015-06-26	668
2015-06-27	606
2015-06-28	628
2015-06-29	804
2015-06-30	739
2015-07-01	808
2015-07-02	786
2015-07-03	699
2015-07-04	614
2015-07-05	697
2015-07-06	722
2015-07-07	703
2015-07-08	660
2015-07-09	653
2015-07-10	595
2015-07-11	577
2015-07-12	591
2015-07-13	599
2015-07-14	592
2015-07-15	554
2015-07-16	624
2015-07-17	560
2015-07-18	563
2015-07-19	478
2015-07-20	541
2015-07-21	593
2015-07-22	592
2015-07-23	619
2015-07-24	583
2015-07-25	508
2015-07-26	500
2015-07-27	554
2015-07-28	559
2015-07-29	552
2015-07-30	552
2015-07-31	539
2015-08-01	475
2015-08-02	515
2015-08-03	501
2015-08-04	531
2015-08-05	529
2015-08-06	550
2015-08-07	545
2015-08-08	497
2015-08-09	496
2015-08-10	498
2015-08-11	518
2015-08-12	501
2015-08-13	482
2015-08-14	470
2015-08-15	498
2015-08-16	510
2015-08-17	546
2015-08-18	590
2015-08-19	596
2015-08-20	600
2015-08-21	536
2015-08-22	547
2015-08-23	530
2015-08-24	545
2015-08-25	631
2015-08-26	614
2015-08-27	572
2015-08-28	626
2015-08-29	571
2015-08-30	612
2015-08-31	646
2015-09-01	712
2015-09-02	643
2015-09-03	668
2015-09-04	644
2015-09-05	593
2015-09-06	640
2015-09-07	681
2015-09-08	690
2015-09-09	727
2015-09-10	671
2015-09-11	632
2015-09-12	566
2015-09-13	649
2015-09-14	656
2015-09-15	725
2015-09-16	737
2015-09-17	708
2015-09-18	680
2015-09-19	539
2015-09-20	599
2015-09-21	572
2015-09-22	613
2015-09-23	624
2015-09-24	614
2015-09-25	672
2015-09-26	582
2015-09-27	632
2015-09-28	650
2015-09-29	621
2015-09-30	639
2015-10-01	664
2015-10-02	654
2015-10-03	580
2015-10-04	647
2015-10-05	640
2015-10-06	652
2015-10-07	636
2015-10-08	690
2015-10-09	655
2015-10-10	644
2015-10-11	646
2015-10-12	745
2015-10-13	648
2015-10-14	623
2015-10-15	776
2015-10-16	688
2015-10-17	654
2015-10-18	618
2015-10-19	688
2015-10-20	656
2015-10-21	641
2015-10-22	621
2015-10-23	657
2015-10-24	557
2015-10-25	591
2015-10-26	660
2015-10-27	654
2015-10-28	690
2015-10-29	698
2015-10-30	627
2015-10-31	598
2015-11-01	595
2015-11-02	657
2015-11-03	656
2015-11-04	626
2015-11-05	652
2015-11-06	616
2015-11-07	596
2015-11-08	676
2015-11-09	698
2015-11-10	712
2015-11-11	652
2015-11-12	628
2015-11-13	618
2015-11-14	606
2015-11-15	694
2015-11-16	614
2015-11-17	675
2015-11-18	719
2015-11-19	652
2015-11-20	602
2015-11-21	602
2015-11-22	623
2015-11-23	671
2015-11-24	699
2015-11-25	642
2015-11-26	687
2015-11-27	602
2015-11-28	596
2015-11-29	605
2015-11-30	621
2015-12-01	665
2015-12-02	611
2015-12-03	695
2015-12-04	640
2015-12-05	582
2015-12-06	670
2015-12-07	663
2015-12-08	626
2015-12-09	623
2015-12-10	611
2015-12-11	644
2015-12-12	554
2015-12-13	593
2015-12-14	699
2015-12-15	664
2015-12-16	619
2015-12-17	602
2015-12-18	606
2015-12-19	543
2015-12-20	556
2015-12-21	626
2015-12-22	596
2015-12-23	643
2015-12-24	631
2015-12-25	622
2015-12-26	549
2015-12-27	525
2015-12-28	486
2015-12-29	458
2015-12-30	442
2015-12-31	461
2016-01-01	246
2016-01-02	299
2016-01-03	367
2016-01-04	412
2016-01-05	500
2016-01-06	514
2016-01-07	546
2016-01-08	519
2016-01-09	530
2016-01-10	546
2016-01-11	608
2016-01-12	582
2016-01-13	556
2016-01-14	596
2016-01-15	561
2016-01-16	562
2016-01-17	643
2016-01-18	576
2016-01-19	633
2016-01-20	651
2016-01-21	572
2016-01-22	634
2016-01-23	610
2016-01-24	720
2016-01-25	687
2016-01-26	595
2016-01-27	632
2016-01-28	655
2016-01-29	645
2016-01-30	636
2016-01-31	670
2016-02-01	635
2016-02-02	713
2016-02-03	590
2016-02-04	628
2016-02-05	611
2016-02-06	632
2016-02-07	654
2016-02-08	644
2016-02-09	666
2016-02-10	669
2016-02-11	654
2016-02-12	672
2016-02-13	698
2016-02-14	914
2016-02-15	749
2016-02-16	659
2016-02-17	638
2016-02-18	640
2016-02-19	558
2016-02-20	612
2016-02-21	592
2016-02-22	621
2016-02-23	669
2016-02-24	632
2016-02-25	673
2016-02-26	622
2016-02-27	561
2016-02-28	587
2016-02-29	578
2016-03-01	608
2016-03-02	595
2016-03-03	565
2016-03-04	543
2016-03-05	500
2016-03-06	570
2016-03-07	568
2016-03-08	584
2016-03-09	589
2016-03-10	622
2016-03-11	521
2016-03-12	482
2016-03-13	542
2016-03-14	591
2016-03-15	538
2016-03-16	522
2016-03-17	577
2016-03-18	476
2016-03-19	442
2016-03-20	458
2016-03-21	510
2016-03-22	468
2016-03-23	532
2016-03-24	552
2016-03-25	512
2016-03-26	442
2016-03-27	502
2016-03-28	520
2016-03-29	602
2016-03-30	578
2016-03-31	537
2016-04-01	563
2016-04-02	505
2016-04-03	505
2016-04-04	571
2016-04-05	596
2016-04-06	556
2016-04-07	610
2016-04-08	568
2016-04-09	546
2016-04-10	608
2016-04-11	591
2016-04-12	603
2016-04-13	581
2016-04-14	584
2016-04-15	504
2016-04-16	440
2016-04-17	525
2016-04-18	499
2016-04-19	545
2016-04-20	609
2016-04-21	575
2016-04-22	594
2016-04-23	568
2016-04-24	553
2016-04-25	586
2016-04-26	547
2016-04-27	529
2016-04-28	594
2016-04-29	523
2016-04-30	529
2016-05-01	503
2016-05-02	508
2016-05-03	491
2016-05-04	496
2016-05-05	552
2016-05-06	572
2016-05-07	643
2016-05-08	572
2016-05-09	569
2016-05-10	586
2016-05-11	585
2016-05-12	574
2016-05-13	543
2016-05-14	505
2016-05-15	578
2016-05-16	567
2016-05-17	610
2016-05-18	542
2016-05-19	560
2016-05-20	602
2016-05-21	538
2016-05-22	515
2016-05-23	522
2016-05-24	520
2016-05-25	572
2016-05-26	579
2016-05-27	541
2016-05-28	523
2016-05-29	556
2016-05-30	575
2016-05-31	582
