date	freq
2015-06-01	252
2015-06-02	322
2015-06-03	496
2015-06-04	428
2015-06-05	296
2015-06-06	291
2015-06-07	282
2015-06-08	303
2015-06-09	293
2015-06-10	147
2015-06-11	281
2015-06-12	311
2015-06-13	304
2015-06-14	381
2015-06-15	340
2015-06-16	311
2015-06-17	282
2015-06-18	307
2015-06-19	336
2015-06-20	346
2015-06-21	289
2015-06-22	303
2015-06-23	255
2015-06-24	273
2015-06-25	303
2015-06-26	308
2015-06-27	284
2015-06-28	321
2015-06-29	339
2015-06-30	366
2015-07-01	334
2015-07-02	314
2015-07-03	295
2015-07-04	321
2015-07-05	306
2015-07-06	290
2015-07-07	313
2015-07-08	286
2015-07-09	299
2015-07-10	279
2015-07-11	307
2015-07-12	320
2015-07-13	270
2015-07-14	301
2015-07-15	311
2015-07-16	294
2015-07-17	284
2015-07-18	322
2015-07-19	245
2015-07-20	344
2015-07-21	361
2015-07-22	306
2015-07-23	299
2015-07-24	358
2015-07-25	295
2015-07-26	285
2015-07-27	340
2015-07-28	365
2015-07-29	340
2015-07-30	417
2015-07-31	380
2015-08-01	405
2015-08-02	373
2015-08-03	299
2015-08-04	304
2015-08-05	332
2015-08-06	342
2015-08-07	480
2015-08-08	282
2015-08-09	310
2015-08-10	271
2015-08-11	304
2015-08-12	269
2015-08-13	252
2015-08-14	259
2015-08-15	272
2015-08-16	293
2015-08-17	252
2015-08-18	296
2015-08-19	278
2015-08-20	282
2015-08-21	312
2015-08-22	310
2015-08-23	276
2015-08-24	310
2015-08-25	292
2015-08-26	265
2015-08-27	302
2015-08-28	314
2015-08-29	297
2015-08-30	506
2015-08-31	386
2015-09-01	418
2015-09-02	363
2015-09-03	367
2015-09-04	324
2015-09-05	329
2015-09-06	364
2015-09-07	276
2015-09-08	292
2015-09-09	357
2015-09-10	378
2015-09-11	372
2015-09-12	351
2015-09-13	368
2015-09-14	410
2015-09-15	315
2015-09-16	299
2015-09-17	268
2015-09-18	297
2015-09-19	259
2015-09-20	267
2015-09-21	231
2015-09-22	280
2015-09-23	338
2015-09-24	296
2015-09-25	284
2015-09-26	266
2015-09-27	310
2015-09-28	281
2015-09-29	274
2015-09-30	265
2015-10-01	233
2015-10-02	295
2015-10-03	289
2015-10-04	330
2015-10-05	285
2015-10-06	506
2015-10-07	615
2015-10-08	401
2015-10-09	302
2015-10-10	249
2015-10-11	298
2015-10-12	358
2015-10-13	266
2015-10-14	309
2015-10-15	904
2015-10-16	624
2015-10-17	354
2015-10-18	359
2015-10-19	290
2015-10-20	353
2015-10-21	331
2015-10-22	328
2015-10-23	302
2015-10-24	297
2015-10-25	301
2015-10-26	274
2015-10-27	478
2015-10-28	326
2015-10-29	325
2015-10-30	296
2015-10-31	280
2015-11-01	284
2015-11-02	718
2015-11-03	480
2015-11-04	331
2015-11-05	274
2015-11-06	255
2015-11-07	306
2015-11-08	312
2015-11-09	289
2015-11-10	254
2015-11-11	255
2015-11-12	329
2015-11-13	379
2015-11-14	304
2015-11-15	216
2015-11-16	284
2015-11-17	225
2015-11-18	262
2015-11-19	232
2015-11-20	238
2015-11-21	264
2015-11-22	219
2015-11-23	349
2015-11-24	279
2015-11-25	315
2015-11-26	271
2015-11-27	271
2015-11-28	315
2015-11-29	268
2015-11-30	283
2015-12-01	259
2015-12-02	312
2015-12-03	298
2015-12-04	248
2015-12-05	1632
2015-12-06	651
2015-12-07	504
2015-12-08	357
2015-12-09	263
2015-12-10	284
2015-12-11	411
2015-12-12	303
2015-12-13	386
2015-12-14	414
2015-12-15	539
2015-12-16	493
2015-12-17	363
2015-12-18	562
2015-12-19	489
2015-12-20	623
2015-12-21	387
2015-12-22	361
2015-12-23	311
2015-12-24	347
2015-12-25	268
2015-12-26	284
2015-12-27	260
2015-12-28	274
2015-12-29	253
2015-12-30	218
2015-12-31	248
2016-01-01	182
2016-01-02	218
2016-01-03	221
2016-01-04	230
2016-01-05	235
2016-01-06	239
2016-01-07	267
2016-01-08	245
2016-01-09	276
2016-01-10	265
2016-01-11	289
2016-01-12	264
2016-01-13	236
2016-01-14	230
2016-01-15	213
2016-01-16	275
2016-01-17	280
2016-01-18	251
2016-01-19	217
2016-01-20	315
2016-01-21	259
2016-01-22	327
2016-01-23	584
2016-01-24	381
2016-01-25	336
2016-01-26	295
2016-01-27	258
2016-01-28	305
2016-01-29	257
2016-01-30	815
2016-01-31	506
2016-02-01	364
2016-02-02	316
2016-02-03	433
2016-02-04	243
2016-02-05	280
2016-02-06	321
2016-02-07	329
2016-02-08	915
2016-02-09	799
2016-02-10	567
2016-02-11	383
2016-02-12	408
2016-02-13	475
2016-02-14	559
2016-02-15	374
2016-02-16	295
2016-02-17	290
2016-02-18	324
2016-02-19	282
2016-02-20	307
2016-02-21	342
2016-02-22	1550
2016-02-23	423
2016-02-24	434
2016-02-25	601
2016-02-26	326
2016-02-27	275
2016-02-28	277
2016-02-29	260
2016-03-01	899
2016-03-02	695
2016-03-03	335
2016-03-04	285
2016-03-05	367
2016-03-06	284
2016-03-07	929
2016-03-08	520
2016-03-09	345
2016-03-10	519
2016-03-11	315
2016-03-12	266
2016-03-13	308
2016-03-14	294
2016-03-15	284
2016-03-16	251
2016-03-17	322
2016-03-18	226
2016-03-19	286
2016-03-20	270
2016-03-21	283
2016-03-22	268
2016-03-23	357
2016-03-24	350
2016-03-25	309
2016-03-26	255
2016-03-27	278
2016-03-28	236
2016-03-29	409
2016-03-30	381
2016-03-31	256
2016-04-01	276
2016-04-02	299
2016-04-03	273
2016-04-04	312
2016-04-05	322
2016-04-06	403
2016-04-07	322
2016-04-08	259
2016-04-09	263
2016-04-10	244
2016-04-11	255
2016-04-12	270
2016-04-13	235
2016-04-14	223
2016-04-15	249
2016-04-16	298
2016-04-17	415
2016-04-18	290
2016-04-19	262
2016-04-20	737
2016-04-21	373
2016-04-22	370
2016-04-23	423
2016-04-24	372
2016-04-25	384
2016-04-26	289
2016-04-27	255
2016-04-28	290
2016-04-29	277
2016-04-30	286
2016-05-01	265
2016-05-02	231
2016-05-03	261
2016-05-04	283
2016-05-05	420
2016-05-06	272
2016-05-07	456
2016-05-08	332
2016-05-09	287
2016-05-10	272
2016-05-11	267
2016-05-12	274
2016-05-13	246
2016-05-14	264
2016-05-15	260
2016-05-16	263
2016-05-17	262
2016-05-18	270
2016-05-19	489
2016-05-20	876
2016-05-21	350
2016-05-22	258
2016-05-23	240
2016-05-24	672
2016-05-25	639
2016-05-26	381
2016-05-27	253
2016-05-28	334
2016-05-29	368
2016-05-30	311
2016-05-31	286
