date	freq
2015-06-01	10
2015-06-02	10
2015-06-03	8
2015-06-04	19
2015-06-05	12
2015-06-06	13
2015-06-07	10
2015-06-08	14
2015-06-09	13
2015-06-10	8
2015-06-11	10
2015-06-12	11
2015-06-13	13
2015-06-14	12
2015-06-15	11
2015-06-16	6
2015-06-17	18
2015-06-18	8
2015-06-19	9
2015-06-20	8
2015-06-21	11
2015-06-22	9
2015-06-23	18
2015-06-24	3
2015-06-25	7
2015-06-26	11
2015-06-27	11
2015-06-28	10
2015-06-29	6
2015-06-30	10
2015-07-01	9
2015-07-02	10
2015-07-03	12
2015-07-04	12
2015-07-05	12
2015-07-06	11
2015-07-07	12
2015-07-08	8
2015-07-09	8
2015-07-10	9
2015-07-11	9
2015-07-12	14
2015-07-13	6
2015-07-14	10
2015-07-15	12
2015-07-16	10
2015-07-17	10
2015-07-18	6
2015-07-19	7
2015-07-20	9
2015-07-21	11
2015-07-22	15
2015-07-23	16
2015-07-24	14
2015-07-25	9
2015-07-26	6
2015-07-27	4
2015-07-28	8
2015-07-29	14
2015-07-30	10
2015-07-31	6
2015-08-01	9
2015-08-02	5
2015-08-03	3
2015-08-04	10
2015-08-05	9
2015-08-06	12
2015-08-07	8
2015-08-08	7
2015-08-09	4
2015-08-10	12
2015-08-11	8
2015-08-12	7
2015-08-13	11
2015-08-14	8
2015-08-15	11
2015-08-16	4
2015-08-17	10
2015-08-18	7
2015-08-19	2
2015-08-20	2
2015-08-21	9
2015-08-22	5
2015-08-23	13
2015-08-24	13
2015-08-25	8
2015-08-26	8
2015-08-27	5
2015-08-28	9
2015-08-29	8
2015-08-30	8
2015-08-31	17
2015-09-01	18
2015-09-02	10
2015-09-03	12
2015-09-04	8
2015-09-05	8
2015-09-06	7
2015-09-07	6
2015-09-08	13
2015-09-09	2
2015-09-10	9
2015-09-11	9
2015-09-12	5
2015-09-13	4
2015-09-14	9
2015-09-15	12
2015-09-16	14
2015-09-17	6
2015-09-18	17
2015-09-19	9
2015-09-20	6
2015-09-21	7
2015-09-22	9
2015-09-23	11
2015-09-24	6
2015-09-25	12
2015-09-26	5
2015-09-27	14
2015-09-28	5
2015-09-29	6
2015-09-30	15
2015-10-01	11
2015-10-02	15
2015-10-03	10
2015-10-04	8
2015-10-05	8
2015-10-06	14
2015-10-07	14
2015-10-08	14
2015-10-09	12
2015-10-10	12
2015-10-11	10
2015-10-12	8
2015-10-13	11
2015-10-14	7
2015-10-15	7
2015-10-16	16
2015-10-17	6
2015-10-18	10
2015-10-19	8
2015-10-20	16
2015-10-21	3
2015-10-22	10
2015-10-23	12
2015-10-24	6
2015-10-25	5
2015-10-26	7
2015-10-27	14
2015-10-28	7
2015-10-29	6
2015-10-30	12
2015-10-31	5
2015-11-01	7
2015-11-02	10
2015-11-03	9
2015-11-04	9
2015-11-05	13
2015-11-06	8
2015-11-07	12
2015-11-08	13
2015-11-09	9
2015-11-10	13
2015-11-11	12
2015-11-12	8
2015-11-13	9
2015-11-14	5
2015-11-15	6
2015-11-16	5
2015-11-17	10
2015-11-18	7
2015-11-19	19
2015-11-20	10
2015-11-21	5
2015-11-22	6
2015-11-23	7
2015-11-24	14
2015-11-25	8
2015-11-26	12
2015-11-27	4
2015-11-28	12
2015-11-29	10
2015-11-30	14
2015-12-01	9
2015-12-02	6
2015-12-03	9
2015-12-04	8
2015-12-05	8
2015-12-06	11
2015-12-07	7
2015-12-08	14
2015-12-09	8
2015-12-10	10
2015-12-11	8
2015-12-12	10
2015-12-13	12
2015-12-14	11
2015-12-15	14
2015-12-16	7
2015-12-17	9
2015-12-18	11
2015-12-19	17
2015-12-20	10
2015-12-21	18
2015-12-22	11
2015-12-23	10
2015-12-24	4
2015-12-25	8
2015-12-26	11
2015-12-27	12
2015-12-28	14
2015-12-29	6
2015-12-30	3
2015-12-31	8
2016-01-01	2
