date	freq
2015-06-01	5
2015-06-02	5
2015-06-03	2
2015-06-04	2
2015-06-05	2
2015-06-06	4
2015-06-07	5
2015-06-08	1
2015-06-09	3
2015-06-10	2
2015-06-11	3
2015-06-12	1
2015-06-13	0
2015-06-14	1
2015-06-15	3
2015-06-16	4
2015-06-17	2
2015-06-18	0
2015-06-19	1
2015-06-20	1
2015-06-21	3
2015-06-22	9
2015-06-23	4
2015-06-24	1
2015-06-25	8
2015-06-26	4
2015-06-27	5
2015-06-28	3
2015-06-29	2
2015-06-30	2
2015-07-01	2
2015-07-02	3
2015-07-03	4
2015-07-04	3
2015-07-05	1
2015-07-06	2
2015-07-07	3
2015-07-08	2
2015-07-09	3
2015-07-10	0
2015-07-11	0
2015-07-12	3
2015-07-13	6
2015-07-14	1
2015-07-15	9
2015-07-16	3
2015-07-17	2
2015-07-18	4
2015-07-19	2
2015-07-20	1
2015-07-21	0
2015-07-22	4
2015-07-23	3
2015-07-24	0
2015-07-25	3
2015-07-26	2
2015-07-27	3
2015-07-28	1
2015-07-29	1
2015-07-30	1
2015-07-31	2
2015-08-01	2
2015-08-02	0
2015-08-03	4
2015-08-04	5
2015-08-05	4
2015-08-06	2
2015-08-07	0
2015-08-08	2
2015-08-09	1
2015-08-10	3
2015-08-11	1
2015-08-12	1
2015-08-13	6
2015-08-14	2
2015-08-15	3
2015-08-16	3
2015-08-17	5
2015-08-18	6
2015-08-19	5
2015-08-20	8
2015-08-21	8
2015-08-22	2
2015-08-23	6
2015-08-24	3
2015-08-25	3
2015-08-26	3
2015-08-27	6
2015-08-28	7
2015-08-29	3
2015-08-30	5
2015-08-31	1
2015-09-01	5
2015-09-02	5
2015-09-03	2
2015-09-04	3
2015-09-05	5
2015-09-06	3
2015-09-07	4
2015-09-08	1
2015-09-09	4
2015-09-10	6
2015-09-11	3
2015-09-12	3
2015-09-13	6
2015-09-14	5
2015-09-15	3
2015-09-16	4
2015-09-17	5
2015-09-18	7
2015-09-19	2
2015-09-20	3
2015-09-21	1
2015-09-22	2
2015-09-23	6
2015-09-24	4
2015-09-25	3
2015-09-26	3
2015-09-27	2
2015-09-28	2
2015-09-29	1
2015-09-30	0
2015-10-01	1
2015-10-02	3
2015-10-03	1
2015-10-04	3
2015-10-05	3
2015-10-06	4
2015-10-07	5
2015-10-08	5
2015-10-09	2
2015-10-10	1
2015-10-11	3
2015-10-12	0
2015-10-13	3
2015-10-14	3
2015-10-15	3
2015-10-16	4
2015-10-17	1
2015-10-18	0
2015-10-19	4
2015-10-20	4
2015-10-21	2
2015-10-22	5
2015-10-23	0
2015-10-24	5
2015-10-25	3
2015-10-26	4
2015-10-27	3
2015-10-28	3
2015-10-29	2
2015-10-30	3
2015-10-31	0
2015-11-01	3
2015-11-02	6
2015-11-03	4
2015-11-04	0
2015-11-05	2
2015-11-06	5
2015-11-07	3
2015-11-08	3
2015-11-09	3
2015-11-10	0
2015-11-11	3
2015-11-12	2
2015-11-13	1
2015-11-14	0
2015-11-15	2
2015-11-16	4
2015-11-17	1
2015-11-18	0
2015-11-19	1
2015-11-20	2
2015-11-21	3
2015-11-22	4
2015-11-23	0
2015-11-24	5
2015-11-25	2
2015-11-26	5
2015-11-27	4
2015-11-28	1
2015-11-29	2
2015-11-30	2
2015-12-01	0
2015-12-02	2
2015-12-03	2
2015-12-04	0
2015-12-05	3
2015-12-06	4
2015-12-07	4
2015-12-08	2
2015-12-09	1
2015-12-10	1
