date	freq
2015-06-01	63
2015-06-02	43
2015-06-03	55
2015-06-04	55
2015-06-05	55
2015-06-06	50
2015-06-07	22
2015-06-08	54
2015-06-09	49
2015-06-10	27
2015-06-11	40
2015-06-12	47
2015-06-13	48
2015-06-14	27
2015-06-15	39
2015-06-16	49
2015-06-17	50
2015-06-18	57
2015-06-19	38
2015-06-20	39
2015-06-21	44
2015-06-22	30
2015-06-23	61
2015-06-24	43
2015-06-25	41
2015-06-26	44
2015-06-27	25
2015-06-28	36
2015-06-29	43
2015-06-30	40
2015-07-01	34
2015-07-02	19
2015-07-03	34
2015-07-04	32
2015-07-05	26
2015-07-06	41
2015-07-07	17
2015-07-08	22
2015-07-09	40
2015-07-10	25
2015-07-11	18
2015-07-12	20
2015-07-13	31
2015-07-14	20
2015-07-15	38
2015-07-16	59
2015-07-17	39
2015-07-18	15
2015-07-19	28
2015-07-20	21
2015-07-21	22
2015-07-22	18
2015-07-23	9
2015-07-24	13
2015-07-25	26
2015-07-26	29
2015-07-27	19
2015-07-28	30
2015-07-29	31
2015-07-30	18
2015-07-31	31
2015-08-01	26
2015-08-02	20
2015-08-03	14
2015-08-04	24
2015-08-05	16
2015-08-06	17
2015-08-07	20
2015-08-08	12
2015-08-09	14
2015-08-10	21
2015-08-11	19
2015-08-12	15
2015-08-13	15
2015-08-14	15
2015-08-15	16
2015-08-16	27
2015-08-17	23
2015-08-18	13
2015-08-19	13
2015-08-20	22
2015-08-21	28
2015-08-22	9
2015-08-23	26
2015-08-24	25
2015-08-25	17
2015-08-26	20
2015-08-27	11
2015-08-28	12
2015-08-29	14
2015-08-30	21
2015-08-31	13
2015-09-01	15
2015-09-02	18
2015-09-03	9
2015-09-04	35
2015-09-05	14
2015-09-06	30
2015-09-07	22
2015-09-08	16
2015-09-09	21
2015-09-10	10
2015-09-11	7
2015-09-12	18
2015-09-13	14
2015-09-14	13
2015-09-15	15
2015-09-16	8
2015-09-17	13
2015-09-18	12
2015-09-19	18
2015-09-20	25
2015-09-21	16
2015-09-22	11
2015-09-23	20
2015-09-24	15
2015-09-25	8
2015-09-26	15
2015-09-27	11
2015-09-28	13
2015-09-29	18
2015-09-30	11
2015-10-01	10
2015-10-02	6
2015-10-03	19
2015-10-04	12
2015-10-05	16
2015-10-06	12
2015-10-07	11
2015-10-08	12
2015-10-09	14
2015-10-10	22
2015-10-11	6
2015-10-12	15
2015-10-13	12
2015-10-14	19
2015-10-15	18
2015-10-16	10
