date	freq
2015-06-01	4
2015-06-02	3
2015-06-03	7
2015-06-04	1
2015-06-05	4
2015-06-06	3
2015-06-07	2
2015-06-08	2
2015-06-09	1
2015-06-10	4
2015-06-11	1
2015-06-12	4
2015-06-13	2
2015-06-14	2
2015-06-15	4
2015-06-16	2
2015-06-17	6
2015-06-18	6
2015-06-19	1
2015-06-20	3
2015-06-21	2
2015-06-22	4
2015-06-23	2
2015-06-24	0
2015-06-25	3
2015-06-26	5
2015-06-27	8
2015-06-28	7
2015-06-29	4
2015-06-30	1
2015-07-01	4
2015-07-02	4
2015-07-03	2
2015-07-04	8
2015-07-05	2
2015-07-06	2
2015-07-07	5
2015-07-08	1
2015-07-09	4
2015-07-10	0
2015-07-11	4
2015-07-12	2
2015-07-13	3
2015-07-14	3
2015-07-15	2
2015-07-16	6
2015-07-17	1
2015-07-18	3
2015-07-19	8
2015-07-20	4
2015-07-21	0
2015-07-22	2
2015-07-23	4
2015-07-24	0
2015-07-25	8
2015-07-26	4
2015-07-27	2
2015-07-28	5
2015-07-29	1
2015-07-30	4
2015-07-31	1
2015-08-01	4
2015-08-02	3
2015-08-03	0
2015-08-04	5
2015-08-05	2
2015-08-06	2
2015-08-07	1
2015-08-08	1
2015-08-09	2
2015-08-10	0
2015-08-11	3
2015-08-12	1
2015-08-13	2
2015-08-14	4
2015-08-15	2
2015-08-16	2
2015-08-17	1
2015-08-18	0
2015-08-19	2
2015-08-20	2
2015-08-21	2
2015-08-22	5
2015-08-23	2
2015-08-24	2
2015-08-25	6
2015-08-26	5
2015-08-27	2
2015-08-28	0
2015-08-29	2
2015-08-30	0
2015-08-31	3
2015-09-01	11
2015-09-02	9
2015-09-03	4
2015-09-04	1
2015-09-05	5
2015-09-06	4
2015-09-07	7
2015-09-08	3
2015-09-09	1
2015-09-10	1
2015-09-11	3
2015-09-12	1
2015-09-13	3
2015-09-14	4
2015-09-15	2
2015-09-16	4
2015-09-17	2
2015-09-18	6
2015-09-19	0
2015-09-20	1
2015-09-21	3
2015-09-22	0
2015-09-23	7
2015-09-24	1
2015-09-25	6
2015-09-26	2
2015-09-27	3
2015-09-28	6
2015-09-29	8
2015-09-30	3
2015-10-01	4
2015-10-02	1
2015-10-03	4
2015-10-04	1
2015-10-05	22
2015-10-06	6
2015-10-07	3
2015-10-08	4
2015-10-09	7
2015-10-10	6
2015-10-11	6
2015-10-12	3
2015-10-13	6
2015-10-14	2
2015-10-15	1
2015-10-16	1
2015-10-17	8
2015-10-18	2
2015-10-19	5
2015-10-20	3
2015-10-21	3
2015-10-22	3
2015-10-23	2
2015-10-24	1
2015-10-25	1
2015-10-26	4
2015-10-27	3
2015-10-28	3
2015-10-29	9
2015-10-30	5
2015-10-31	3
2015-11-01	3
2015-11-02	1
2015-11-03	3
2015-11-04	1
2015-11-05	8
2015-11-06	5
2015-11-07	4
2015-11-08	2
2015-11-09	5
2015-11-10	4
2015-11-11	8
2015-11-12	10
2015-11-13	6
2015-11-14	3
2015-11-15	10
2015-11-16	17
2015-11-17	3
2015-11-18	9
2015-11-19	11
2015-11-20	0
2015-11-21	1
2015-11-22	5
2015-11-23	2
2015-11-24	24
2015-11-25	10
2015-11-26	23
2015-11-27	9
2015-11-28	16
2015-11-29	4
2015-11-30	5
2015-12-01	5
2015-12-02	10
2015-12-03	8
2015-12-04	9
2015-12-05	6
2015-12-06	2
2015-12-07	7
2015-12-08	5
2015-12-09	3
2015-12-10	8
2015-12-11	2
2015-12-12	14
2015-12-13	13
2015-12-14	7
2015-12-15	5
2015-12-16	7
2015-12-17	6
2015-12-18	5
2015-12-19	6
2015-12-20	4
2015-12-21	4
2015-12-22	11
2015-12-23	1
2015-12-24	6
2015-12-25	7
2015-12-26	6
2015-12-27	3
2015-12-28	4
2015-12-29	6
2015-12-30	4
2015-12-31	11
2016-01-01	4
2016-01-02	3
2016-01-03	10
2016-01-04	1
2016-01-05	4
2016-01-06	8
2016-01-07	5
2016-01-08	2
2016-01-09	7
2016-01-10	7
2016-01-11	4
2016-01-12	6
2016-01-13	6
2016-01-14	9
2016-01-15	4
2016-01-16	14
2016-01-17	4
2016-01-18	9
2016-01-19	19
2016-01-20	8
2016-01-21	5
2016-01-22	2
2016-01-23	7
2016-01-24	7
2016-01-25	4
2016-01-26	4
2016-01-27	3
