date	freq
2015-06-01	62
2015-06-02	53
2015-06-03	62
2015-06-04	78
2015-06-05	60
2015-06-06	47
2015-06-07	54
2015-06-08	77
2015-06-09	62
2015-06-10	59
2015-06-11	58
2015-06-12	43
2015-06-13	54
2015-06-14	50
2015-06-15	63
2015-06-16	54
2015-06-17	55
2015-06-18	72
2015-06-19	57
2015-06-20	47
2015-06-21	57
2015-06-22	59
2015-06-23	59
2015-06-24	45
2015-06-25	54
2015-06-26	45
2015-06-27	47
2015-06-28	57
2015-06-29	62
2015-06-30	49
2015-07-01	63
2015-07-02	56
2015-07-03	57
2015-07-04	56
2015-07-05	69
2015-07-06	64
2015-07-07	33
2015-07-08	54
2015-07-09	59
2015-07-10	87
2015-07-11	63
2015-07-12	68
2015-07-13	58
2015-07-14	68
2015-07-15	56
2015-07-16	55
2015-07-17	46
2015-07-18	54
2015-07-19	38
2015-07-20	44
2015-07-21	66
2015-07-22	76
2015-07-23	57
2015-07-24	62
2015-07-25	62
2015-07-26	69
2015-07-27	54
2015-07-28	71
2015-07-29	69
2015-07-30	63
2015-07-31	59
2015-08-01	62
2015-08-02	44
2015-08-03	82
2015-08-04	57
2015-08-05	90
2015-08-06	86
2015-08-07	60
2015-08-08	63
2015-08-09	58
2015-08-10	66
2015-08-11	60
2015-08-12	60
2015-08-13	48
2015-08-14	50
2015-08-15	39
2015-08-16	49
2015-08-17	52
2015-08-18	61
2015-08-19	56
2015-08-20	51
2015-08-21	56
2015-08-22	49
2015-08-23	58
2015-08-24	49
2015-08-25	54
2015-08-26	57
2015-08-27	63
2015-08-28	78
2015-08-29	44
2015-08-30	44
2015-08-31	55
2015-09-01	54
2015-09-02	82
2015-09-03	66
2015-09-04	54
2015-09-05	50
2015-09-06	54
2015-09-07	40
2015-09-08	60
2015-09-09	50
2015-09-10	47
2015-09-11	64
2015-09-12	41
2015-09-13	42
2015-09-14	56
2015-09-15	50
2015-09-16	66
2015-09-17	74
2015-09-18	51
2015-09-19	47
2015-09-20	40
2015-09-21	47
2015-09-22	45
2015-09-23	50
2015-09-24	47
2015-09-25	62
2015-09-26	43
2015-09-27	49
2015-09-28	50
2015-09-29	44
2015-09-30	40
2015-10-01	60
2015-10-02	66
2015-10-03	47
2015-10-04	46
2015-10-05	62
2015-10-06	52
2015-10-07	66
2015-10-08	53
2015-10-09	66
2015-10-10	83
2015-10-11	51
2015-10-12	42
2015-10-13	57
2015-10-14	51
2015-10-15	59
2015-10-16	69
2015-10-17	57
2015-10-18	47
2015-10-19	57
2015-10-20	46
2015-10-21	53
2015-10-22	70
2015-10-23	57
2015-10-24	41
2015-10-25	41
2015-10-26	63
2015-10-27	60
2015-10-28	46
2015-10-29	66
2015-10-30	75
2015-10-31	45
2015-11-01	53
2015-11-02	58
2015-11-03	45
2015-11-04	55
2015-11-05	48
2015-11-06	69
2015-11-07	60
2015-11-08	63
2015-11-09	58
2015-11-10	62
2015-11-11	63
2015-11-12	68
2015-11-13	41
2015-11-14	52
2015-11-15	60
2015-11-16	51
2015-11-17	50
2015-11-18	53
2015-11-19	66
2015-11-20	63
2015-11-21	46
2015-11-22	55
2015-11-23	44
2015-11-24	57
2015-11-25	51
2015-11-26	54
2015-11-27	45
2015-11-28	57
2015-11-29	36
2015-11-30	51
2015-12-01	42
2015-12-02	48
2015-12-03	61
2015-12-04	53
2015-12-05	31
2015-12-06	35
2015-12-07	52
2015-12-08	54
2015-12-09	42
2015-12-10	39
2015-12-11	57
2015-12-12	37
2015-12-13	39
2015-12-14	45
2015-12-15	55
2015-12-16	49
2015-12-17	49
2015-12-18	44
2015-12-19	45
2015-12-20	40
2015-12-21	56
2015-12-22	48
2015-12-23	41
2015-12-24	52
2015-12-25	76
2015-12-26	54
2015-12-27	47
2015-12-28	60
2015-12-29	34
2015-12-30	36
2015-12-31	35
2016-01-01	21
2016-01-02	35
2016-01-03	41
2016-01-04	43
2016-01-05	46
2016-01-06	52
2016-01-07	61
2016-01-08	44
2016-01-09	48
2016-01-10	48
2016-01-11	50
2016-01-12	55
2016-01-13	33
2016-01-14	49
2016-01-15	51
2016-01-16	49
2016-01-17	51
2016-01-18	59
2016-01-19	60
2016-01-20	56
2016-01-21	48
2016-01-22	46
2016-01-23	47
2016-01-24	52
2016-01-25	52
2016-01-26	56
2016-01-27	57
2016-01-28	50
2016-01-29	74
2016-01-30	59
2016-01-31	76
2016-02-01	69
2016-02-02	52
2016-02-03	53
2016-02-04	59
2016-02-05	59
2016-02-06	50
2016-02-07	44
2016-02-08	42
2016-02-09	55
2016-02-10	39
2016-02-11	53
2016-02-12	63
2016-02-13	43
2016-02-14	52
2016-02-15	54
2016-02-16	37
2016-02-17	52
2016-02-18	44
2016-02-19	51
2016-02-20	57
2016-02-21	50
2016-02-22	48
2016-02-23	46
2016-02-24	46
2016-02-25	47
2016-02-26	54
2016-02-27	53
2016-02-28	27
2016-02-29	33
2016-03-01	64
2016-03-02	50
2016-03-03	57
2016-03-04	39
2016-03-05	41
2016-03-06	46
2016-03-07	63
2016-03-08	51
2016-03-09	53
2016-03-10	37
2016-03-11	59
2016-03-12	45
2016-03-13	44
2016-03-14	34
2016-03-15	50
2016-03-16	41
2016-03-17	40
2016-03-18	47
2016-03-19	49
2016-03-20	45
2016-03-21	40
2016-03-22	44
2016-03-23	41
2016-03-24	50
2016-03-25	49
2016-03-26	40
2016-03-27	36
2016-03-28	49
2016-03-29	49
2016-03-30	41
2016-03-31	49
2016-04-01	41
2016-04-02	41
2016-04-03	51
2016-04-04	47
2016-04-05	43
2016-04-06	58
2016-04-07	66
2016-04-08	54
2016-04-09	35
2016-04-10	48
2016-04-11	46
2016-04-12	63
2016-04-13	50
2016-04-14	48
2016-04-15	65
2016-04-16	42
2016-04-17	32
2016-04-18	45
