date	freq
2015-06-01	22
2015-06-02	8
2015-06-03	16
2015-06-04	31
2015-06-05	14
2015-06-06	14
2015-06-07	13
2015-06-08	11
2015-06-09	10
2015-06-10	12
2015-06-11	20
2015-06-12	8
2015-06-13	15
2015-06-14	15
2015-06-15	26
2015-06-16	16
2015-06-17	7
2015-06-18	17
2015-06-19	10
2015-06-20	10
2015-06-21	11
2015-06-22	17
2015-06-23	20
2015-06-24	19
2015-06-25	18
2015-06-26	20
2015-06-27	21
2015-06-28	14
2015-06-29	12
2015-06-30	8
2015-07-01	13
2015-07-02	14
2015-07-03	17
2015-07-04	14
2015-07-05	13
2015-07-06	21
2015-07-07	14
2015-07-08	24
2015-07-09	19
2015-07-10	34
2015-07-11	25
2015-07-12	17
2015-07-13	22
2015-07-14	13
2015-07-15	18
2015-07-16	15
2015-07-17	23
2015-07-18	17
2015-07-19	20
2015-07-20	19
2015-07-21	15
2015-07-22	18
2015-07-23	35
2015-07-24	14
2015-07-25	22
2015-07-26	8
2015-07-27	17
2015-07-28	22
2015-07-29	17
2015-07-30	27
2015-07-31	15
2015-08-01	15
2015-08-02	21
2015-08-03	20
2015-08-04	20
2015-08-05	38
2015-08-06	22
2015-08-07	11
2015-08-08	15
2015-08-09	12
2015-08-10	16
2015-08-11	20
2015-08-12	16
2015-08-13	32
2015-08-14	16
2015-08-15	18
2015-08-16	18
2015-08-17	18
2015-08-18	18
2015-08-19	31
2015-08-20	15
2015-08-21	21
2015-08-22	15
2015-08-23	22
2015-08-24	14
2015-08-25	7
2015-08-26	16
2015-08-27	16
2015-08-28	9
2015-08-29	15
2015-08-30	16
2015-08-31	22
2015-09-01	16
2015-09-02	16
2015-09-03	19
2015-09-04	22
2015-09-05	21
2015-09-06	9
2015-09-07	18
2015-09-08	14
2015-09-09	18
2015-09-10	15
2015-09-11	17
2015-09-12	17
2015-09-13	18
2015-09-14	33
2015-09-15	25
2015-09-16	31
2015-09-17	14
2015-09-18	18
2015-09-19	29
2015-09-20	26
2015-09-21	23
2015-09-22	20
2015-09-23	17
2015-09-24	17
2015-09-25	16
2015-09-26	31
2015-09-27	23
2015-09-28	33
2015-09-29	24
2015-09-30	16
2015-10-01	22
2015-10-02	35
2015-10-03	22
2015-10-04	23
2015-10-05	16
2015-10-06	20
2015-10-07	11
2015-10-08	19
2015-10-09	15
2015-10-10	17
2015-10-11	23
2015-10-12	20
2015-10-13	20
2015-10-14	20
2015-10-15	15
2015-10-16	16
2015-10-17	11
2015-10-18	20
2015-10-19	19
2015-10-20	19
2015-10-21	15
2015-10-22	25
2015-10-23	27
2015-10-24	9
2015-10-25	25
2015-10-26	20
2015-10-27	16
2015-10-28	19
2015-10-29	17
2015-10-30	17
2015-10-31	19
