date	freq
2015-06-01	8
2015-06-02	8
2015-06-03	12
2015-06-04	12
2015-06-05	13
2015-06-06	4
2015-06-07	7
2015-06-08	12
2015-06-09	8
2015-06-10	10
2015-06-11	5
2015-06-12	7
2015-06-13	7
2015-06-14	10
2015-06-15	9
2015-06-16	7
2015-06-17	7
2015-06-18	9
2015-06-19	9
2015-06-20	7
2015-06-21	10
2015-06-22	9
2015-06-23	8
2015-06-24	6
2015-06-25	9
2015-06-26	8
2015-06-27	6
2015-06-28	6
2015-06-29	9
2015-06-30	5
2015-07-01	8
2015-07-02	6
2015-07-03	6
2015-07-04	9
2015-07-05	8
2015-07-06	6
2015-07-07	10
2015-07-08	6
2015-07-09	7
2015-07-10	25
2015-07-11	19
2015-07-12	18
2015-07-13	11
2015-07-14	12
2015-07-15	4
2015-07-16	6
2015-07-17	6
2015-07-18	7
2015-07-19	5
2015-07-20	6
2015-07-21	12
2015-07-22	18
2015-07-23	8
2015-07-24	4
2015-07-25	7
2015-07-26	6
2015-07-27	13
2015-07-28	7
2015-07-29	8
2015-07-30	4
2015-07-31	8
2015-08-01	8
2015-08-02	5
2015-08-03	14
2015-08-04	2
2015-08-05	9
2015-08-06	6
2015-08-07	2
2015-08-08	10
2015-08-09	9
2015-08-10	7
2015-08-11	7
2015-08-12	11
2015-08-13	4
2015-08-14	7
2015-08-15	8
2015-08-16	7
2015-08-17	14
2015-08-18	11
2015-08-19	5
2015-08-20	5
2015-08-21	5
2015-08-22	8
2015-08-23	2
2015-08-24	5
2015-08-25	5
2015-08-26	8
2015-08-27	4
2015-08-28	6
2015-08-29	6
2015-08-30	6
2015-08-31	7
2015-09-01	6
2015-09-02	11
2015-09-03	11
2015-09-04	9
2015-09-05	9
2015-09-06	8
2015-09-07	10
2015-09-08	4
2015-09-09	5
2015-09-10	6
2015-09-11	16
2015-09-12	3
2015-09-13	4
2015-09-14	13
2015-09-15	4
2015-09-16	1
2015-09-17	3
2015-09-18	5
2015-09-19	4
2015-09-20	3
