date	freq
2015-06-01	93
2015-06-02	91
2015-06-03	87
2015-06-04	80
2015-06-05	92
2015-06-06	80
2015-06-07	75
2015-06-08	92
2015-06-09	66
2015-06-10	75
2015-06-11	95
2015-06-12	85
2015-06-13	64
2015-06-14	85
2015-06-15	86
2015-06-16	71
2015-06-17	99
2015-06-18	106
2015-06-19	89
2015-06-20	90
2015-06-21	94
2015-06-22	110
2015-06-23	112
2015-06-24	76
2015-06-25	70
2015-06-26	62
2015-06-27	70
2015-06-28	72
2015-06-29	72
2015-06-30	66
2015-07-01	68
2015-07-02	81
2015-07-03	87
2015-07-04	70
2015-07-05	164
2015-07-06	243
2015-07-07	122
2015-07-08	119
2015-07-09	110
2015-07-10	77
2015-07-11	94
2015-07-12	73
2015-07-13	78
2015-07-14	57
2015-07-15	88
2015-07-16	57
2015-07-17	68
2015-07-18	89
2015-07-19	75
2015-07-20	56
2015-07-21	73
2015-07-22	78
2015-07-23	64
2015-07-24	74
2015-07-25	66
2015-07-26	67
2015-07-27	63
2015-07-28	71
2015-07-29	83
2015-07-30	81
2015-07-31	69
2015-08-01	62
2015-08-02	79
2015-08-03	75
2015-08-04	75
2015-08-05	96
2015-08-06	87
2015-08-07	89
2015-08-08	63
2015-08-09	66
2015-08-10	69
2015-08-11	75
2015-08-12	79
2015-08-13	80
2015-08-14	62
2015-08-15	70
2015-08-16	68
2015-08-17	82
2015-08-18	89
2015-08-19	79
2015-08-20	83
2015-08-21	88
2015-08-22	88
2015-08-23	79
2015-08-24	89
2015-08-25	69
2015-08-26	62
2015-08-27	88
2015-08-28	79
2015-08-29	76
2015-08-30	79
2015-08-31	78
2015-09-01	79
2015-09-02	67
2015-09-03	63
2015-09-04	54
2015-09-05	71
2015-09-06	73
2015-09-07	108
2015-09-08	76
2015-09-09	69
2015-09-10	74
2015-09-11	53
2015-09-12	83
2015-09-13	73
2015-09-14	91
2015-09-15	71
2015-09-16	75
2015-09-17	66
2015-09-18	66
2015-09-19	79
2015-09-20	56
2015-09-21	66
2015-09-22	59
2015-09-23	78
2015-09-24	69
2015-09-25	63
2015-09-26	66
2015-09-27	89
2015-09-28	83
2015-09-29	79
2015-09-30	66
2015-10-01	79
2015-10-02	66
2015-10-03	79
2015-10-04	72
2015-10-05	70
2015-10-06	72
2015-10-07	62
2015-10-08	73
2015-10-09	59
2015-10-10	74
2015-10-11	93
2015-10-12	80
2015-10-13	90
2015-10-14	77
2015-10-15	67
2015-10-16	85
2015-10-17	75
2015-10-18	76
2015-10-19	85
2015-10-20	81
2015-10-21	67
2015-10-22	97
2015-10-23	76
2015-10-24	64
2015-10-25	92
2015-10-26	87
2015-10-27	88
2015-10-28	80
2015-10-29	85
2015-10-30	81
2015-10-31	82
2015-11-01	101
2015-11-02	92
2015-11-03	83
2015-11-04	63
2015-11-05	69
2015-11-06	90
2015-11-07	69
2015-11-08	87
2015-11-09	93
2015-11-10	86
2015-11-11	70
2015-11-12	68
2015-11-13	71
2015-11-14	75
2015-11-15	83
2015-11-16	122
2015-11-17	119
2015-11-18	105
2015-11-19	113
2015-11-20	100
2015-11-21	136
2015-11-22	105
2015-11-23	125
2015-11-24	119
2015-11-25	89
2015-11-26	80
2015-11-27	74
2015-11-28	76
2015-11-29	122
2015-11-30	104
2015-12-01	72
2015-12-02	105
2015-12-03	112
2015-12-04	88
2015-12-05	92
2015-12-06	74
2015-12-07	74
2015-12-08	81
2015-12-09	74
2015-12-10	83
2015-12-11	77
2015-12-12	60
2015-12-13	73
2015-12-14	90
2015-12-15	76
2015-12-16	75
2015-12-17	82
2015-12-18	70
2015-12-19	71
2015-12-20	89
2015-12-21	70
2015-12-22	69
2015-12-23	67
2015-12-24	61
2015-12-25	65
2015-12-26	72
2015-12-27	64
2015-12-28	87
2015-12-29	80
2015-12-30	67
2015-12-31	72
2016-01-01	53
2016-01-02	54
2016-01-03	77
2016-01-04	66
2016-01-05	79
2016-01-06	79
2016-01-07	79
2016-01-08	72
2016-01-09	65
2016-01-10	62
2016-01-11	90
2016-01-12	76
2016-01-13	60
2016-01-14	70
2016-01-15	65
2016-01-16	67
2016-01-17	85
2016-01-18	87
2016-01-19	82
2016-01-20	84
2016-01-21	89
2016-01-22	96
2016-01-23	92
2016-01-24	93
2016-01-25	117
2016-01-26	136
2016-01-27	115
2016-01-28	137
2016-01-29	84
2016-01-30	87
2016-01-31	92
2016-02-01	87
2016-02-02	102
2016-02-03	109
2016-02-04	93
2016-02-05	70
2016-02-06	92
2016-02-07	105
2016-02-08	111
2016-02-09	97
2016-02-10	100
2016-02-11	78
2016-02-12	83
2016-02-13	113
2016-02-14	173
2016-02-15	111
2016-02-16	101
2016-02-17	87
2016-02-18	97
2016-02-19	68
2016-02-20	86
2016-02-21	79
2016-02-22	77
2016-02-23	64
2016-02-24	82
2016-02-25	85
2016-02-26	62
2016-02-27	81
2016-02-28	77
2016-02-29	66
2016-03-01	76
2016-03-02	84
2016-03-03	75
2016-03-04	66
2016-03-05	62
2016-03-06	80
2016-03-07	75
2016-03-08	74
2016-03-09	52
2016-03-10	70
2016-03-11	52
2016-03-12	69
2016-03-13	87
2016-03-14	80
2016-03-15	72
2016-03-16	65
2016-03-17	53
2016-03-18	51
2016-03-19	51
2016-03-20	77
2016-03-21	72
2016-03-22	67
2016-03-23	64
2016-03-24	84
2016-03-25	67
2016-03-26	64
2016-03-27	72
2016-03-28	89
2016-03-29	85
2016-03-30	83
2016-03-31	85
2016-04-01	67
2016-04-02	87
2016-04-03	88
2016-04-04	107
2016-04-05	111
2016-04-06	76
2016-04-07	81
2016-04-08	103
2016-04-09	75
2016-04-10	98
2016-04-11	81
2016-04-12	98
2016-04-13	94
2016-04-14	84
2016-04-15	85
2016-04-16	84
2016-04-17	85
2016-04-18	88
2016-04-19	72
2016-04-20	88
2016-04-21	109
2016-04-22	78
2016-04-23	105
2016-04-24	110
2016-04-25	90
2016-04-26	109
2016-04-27	136
2016-04-28	125
2016-04-29	83
2016-04-30	99
2016-05-01	111
2016-05-02	104
2016-05-03	102
2016-05-04	82
2016-05-05	92
2016-05-06	84
2016-05-07	87
2016-05-08	88
2016-05-09	75
2016-05-10	98
2016-05-11	96
2016-05-12	72
2016-05-13	77
2016-05-14	89
2016-05-15	86
2016-05-16	85
2016-05-17	103
2016-05-18	83
2016-05-19	76
2016-05-20	93
2016-05-21	58
2016-05-22	85
2016-05-23	70
2016-05-24	86
2016-05-25	75
2016-05-26	85
2016-05-27	73
2016-05-28	87
2016-05-29	80
2016-05-30	58
2016-05-31	70
