date	freq
2015-06-01	127
2015-06-02	96
2015-06-03	88
2015-06-04	143
2015-06-05	118
2015-06-06	106
2015-06-07	99
2015-06-08	109
2015-06-09	63
2015-06-10	58
2015-06-11	124
2015-06-12	91
2015-06-13	103
2015-06-14	96
2015-06-15	104
2015-06-16	174
2015-06-17	93
2015-06-18	152
2015-06-19	95
2015-06-20	92
2015-06-21	108
2015-06-22	83
2015-06-23	98
2015-06-24	65
2015-06-25	74
2015-06-26	85
2015-06-27	90
2015-06-28	86
2015-06-29	79
2015-06-30	76
2015-07-01	98
2015-07-02	82
2015-07-03	87
2015-07-04	77
2015-07-05	322
2015-07-06	245
2015-07-07	225
2015-07-08	126
2015-07-09	84
2015-07-10	91
2015-07-11	95
2015-07-12	91
2015-07-13	80
2015-07-14	84
2015-07-15	80
2015-07-16	81
2015-07-17	93
2015-07-18	110
2015-07-19	114
2015-07-20	83
2015-07-21	115
2015-07-22	146
2015-07-23	106
2015-07-24	90
2015-07-25	87
2015-07-26	96
2015-07-27	93
2015-07-28	72
2015-07-29	74
2015-07-30	93
2015-07-31	76
2015-08-01	115
2015-08-02	110
2015-08-03	95
2015-08-04	94
2015-08-05	94
2015-08-06	87
2015-08-07	94
2015-08-08	71
2015-08-09	108
2015-08-10	74
2015-08-11	63
2015-08-12	85
2015-08-13	102
2015-08-14	82
2015-08-15	94
2015-08-16	97
2015-08-17	75
2015-08-18	78
2015-08-19	93
2015-08-20	104
2015-08-21	73
2015-08-22	175
2015-08-23	133
2015-08-24	150
2015-08-25	124
2015-08-26	127
2015-08-27	81
2015-08-28	86
2015-08-29	153
2015-08-30	108
2015-08-31	97
2015-09-01	94
2015-09-02	127
2015-09-03	107
2015-09-04	130
2015-09-05	92
2015-09-06	117
2015-09-07	186
2015-09-08	137
2015-09-09	111
2015-09-10	91
2015-09-11	84
2015-09-12	81
2015-09-13	129
2015-09-14	89
2015-09-15	81
2015-09-16	111
2015-09-17	90
2015-09-18	78
2015-09-19	81
2015-09-20	95
2015-09-21	81
2015-09-22	107
2015-09-23	103
2015-09-24	92
2015-09-25	92
2015-09-26	110
2015-09-27	104
2015-09-28	130
2015-09-29	112
2015-09-30	88
2015-10-01	76
2015-10-02	78
2015-10-03	92
2015-10-04	95
2015-10-05	75
2015-10-06	75
2015-10-07	88
2015-10-08	76
2015-10-09	93
2015-10-10	170
2015-10-11	189
2015-10-12	130
2015-10-13	103
2015-10-14	152
2015-10-15	150
2015-10-16	123
2015-10-17	117
2015-10-18	146
2015-10-19	121
2015-10-20	95
2015-10-21	126
2015-10-22	99
2015-10-23	173
2015-10-24	96
2015-10-25	128
2015-10-26	184
2015-10-27	109
2015-10-28	88
2015-10-29	85
2015-10-30	82
2015-10-31	108
2015-11-01	91
2015-11-02	97
2015-11-03	144
2015-11-04	130
2015-11-05	102
2015-11-06	102
2015-11-07	108
2015-11-08	137
2015-11-09	108
2015-11-10	165
2015-11-11	121
2015-11-12	92
2015-11-13	76
2015-11-14	89
2015-11-15	108
2015-11-16	117
2015-11-17	90
2015-11-18	94
2015-11-19	118
2015-11-20	109
2015-11-21	116
2015-11-22	92
2015-11-23	150
2015-11-24	153
2015-11-25	100
2015-11-26	97
2015-11-27	97
2015-11-28	114
2015-11-29	96
2015-11-30	120
2015-12-01	101
2015-12-02	125
2015-12-03	97
2015-12-04	90
2015-12-05	105
2015-12-06	91
2015-12-07	87
2015-12-08	84
2015-12-09	71
2015-12-10	77
2015-12-11	81
2015-12-12	90
2015-12-13	81
2015-12-14	86
2015-12-15	88
2015-12-16	80
2015-12-17	123
2015-12-18	87
2015-12-19	100
2015-12-20	93
2015-12-21	91
2015-12-22	71
2015-12-23	83
2015-12-24	99
2015-12-25	102
2015-12-26	87
2015-12-27	94
2015-12-28	100
2015-12-29	88
2015-12-30	90
2015-12-31	121
2016-01-01	92
2016-01-02	84
2016-01-03	91
2016-01-04	81
2016-01-05	85
2016-01-06	106
2016-01-07	97
2016-01-08	106
2016-01-09	88
2016-01-10	61
2016-01-11	123
2016-01-12	97
2016-01-13	100
2016-01-14	95
2016-01-15	72
2016-01-16	87
2016-01-17	89
2016-01-18	77
2016-01-19	66
2016-01-20	91
2016-01-21	93
2016-01-22	77
2016-01-23	112
2016-01-24	116
2016-01-25	226
2016-01-26	194
2016-01-27	151
2016-01-28	126
2016-01-29	143
2016-01-30	186
2016-01-31	161
2016-02-01	118
2016-02-02	102
2016-02-03	116
2016-02-04	98
2016-02-05	96
2016-02-06	111
2016-02-07	161
2016-02-08	137
2016-02-09	108
2016-02-10	85
2016-02-11	132
2016-02-12	107
2016-02-13	294
2016-02-14	184
2016-02-15	124
2016-02-16	118
2016-02-17	96
2016-02-18	116
2016-02-19	82
2016-02-20	123
2016-02-21	94
2016-02-22	115
2016-02-23	100
2016-02-24	95
2016-02-25	95
2016-02-26	94
2016-02-27	107
2016-02-28	103
2016-02-29	75
2016-03-01	92
2016-03-02	73
2016-03-03	99
2016-03-04	95
2016-03-05	92
2016-03-06	130
2016-03-07	111
2016-03-08	98
2016-03-09	98
2016-03-10	110
2016-03-11	99
2016-03-12	66
2016-03-13	126
2016-03-14	106
2016-03-15	101
2016-03-16	96
2016-03-17	79
2016-03-18	96
2016-03-19	169
2016-03-20	121
2016-03-21	96
2016-03-22	101
2016-03-23	99
2016-03-24	91
2016-03-25	127
2016-03-26	132
2016-03-27	126
2016-03-28	144
2016-03-29	161
2016-03-30	129
2016-03-31	141
2016-04-01	125
2016-04-02	143
2016-04-03	141
2016-04-04	248
2016-04-05	137
2016-04-06	148
2016-04-07	137
2016-04-08	146
2016-04-09	250
2016-04-10	184
2016-04-11	126
2016-04-12	113
2016-04-13	107
2016-04-14	144
2016-04-15	103
2016-04-16	265
2016-04-17	112
2016-04-18	104
2016-04-19	233
2016-04-20	170
2016-04-21	126
2016-04-22	134
2016-04-23	114
2016-04-24	160
2016-04-25	86
2016-04-26	239
2016-04-27	137
2016-04-28	126
2016-04-29	125
2016-04-30	120
2016-05-01	120
2016-05-02	123
2016-05-03	103
2016-05-04	129
2016-05-05	84
2016-05-06	105
2016-05-07	105
2016-05-08	104
2016-05-09	97
2016-05-10	92
2016-05-11	97
2016-05-12	100
2016-05-13	65
2016-05-14	95
2016-05-15	97
2016-05-16	100
2016-05-17	87
2016-05-18	92
2016-05-19	74
2016-05-20	88
2016-05-21	77
2016-05-22	68
2016-05-23	81
2016-05-24	86
2016-05-25	137
2016-05-26	91
2016-05-27	115
2016-05-28	79
2016-05-29	81
2016-05-30	68
2016-05-31	78
