date	freq
2015-06-01	222
2015-06-02	113
2015-06-03	124
2015-06-04	73
2015-06-05	58
2015-06-06	60
2015-06-07	103
2015-06-08	77
2015-06-09	60
2015-06-10	116
2015-06-11	81
2015-06-12	83
2015-06-13	64
2015-06-14	55
2015-06-15	67
2015-06-16	50
2015-06-17	106
2015-06-18	460
2015-06-19	249
2015-06-20	230
2015-06-21	107
2015-06-22	208
2015-06-23	214
2015-06-24	292
2015-06-25	160
2015-06-26	72
2015-06-27	302
2015-06-28	89
2015-06-29	281
2015-06-30	70
2015-07-01	65
2015-07-02	142
2015-07-03	58
2015-07-04	130
2015-07-05	141
2015-07-06	65
2015-07-07	64
2015-07-08	50
2015-07-09	74
2015-07-10	125
2015-07-11	112
2015-07-12	60
2015-07-13	53
2015-07-14	74
2015-07-15	70
2015-07-16	130
2015-07-17	90
2015-07-18	72
2015-07-19	75
2015-07-20	63
2015-07-21	80
2015-07-22	124
2015-07-23	76
2015-07-24	79
2015-07-25	95
2015-07-26	40
2015-07-27	58
2015-07-28	104
2015-07-29	74
2015-07-30	62
2015-07-31	50
2015-08-01	61
2015-08-02	62
2015-08-03	178
2015-08-04	81
2015-08-05	182
2015-08-06	48
2015-08-07	66
2015-08-08	55
2015-08-09	45
2015-08-10	103
2015-08-11	55
2015-08-12	69
2015-08-13	143
2015-08-14	40
2015-08-15	49
2015-08-16	50
2015-08-17	52
2015-08-18	74
2015-08-19	64
2015-08-20	94
2015-08-21	87
2015-08-22	67
2015-08-23	71
2015-08-24	64
2015-08-25	64
2015-08-26	85
2015-08-27	98
2015-08-28	72
2015-08-29	37
2015-08-30	79
2015-08-31	129
2015-09-01	63
2015-09-02	61
2015-09-03	72
2015-09-04	56
2015-09-05	67
2015-09-06	112
2015-09-07	61
2015-09-08	71
2015-09-09	79
2015-09-10	81
2015-09-11	70
2015-09-12	53
2015-09-13	50
2015-09-14	61
2015-09-15	198
2015-09-16	76
2015-09-17	68
2015-09-18	119
2015-09-19	50
2015-09-20	79
2015-09-21	95
2015-09-22	119
2015-09-23	86
2015-09-24	69
2015-09-25	71
2015-09-26	239
2015-09-27	120
2015-09-28	110
2015-09-29	62
2015-09-30	70
2015-10-01	76
2015-10-02	62
2015-10-03	61
2015-10-04	62
2015-10-05	79
2015-10-06	86
2015-10-07	70
2015-10-08	74
2015-10-09	69
2015-10-10	85
2015-10-11	64
