date	freq
2015-06-01	26
2015-06-02	56
2015-06-03	33
2015-06-04	39
2015-06-05	37
2015-06-06	23
2015-06-07	33
2015-06-08	38
2015-06-09	46
2015-06-10	43
2015-06-11	51
2015-06-12	42
2015-06-13	36
2015-06-14	30
2015-06-15	42
2015-06-16	34
2015-06-17	59
2015-06-18	62
2015-06-19	52
2015-06-20	32
2015-06-21	53
2015-06-22	32
2015-06-23	43
2015-06-24	46
2015-06-25	56
2015-06-26	44
2015-06-27	34
2015-06-28	27
2015-06-29	40
2015-06-30	52
2015-07-01	49
2015-07-02	37
2015-07-03	45
2015-07-04	35
2015-07-05	41
2015-07-06	42
2015-07-07	47
2015-07-08	42
2015-07-09	42
2015-07-10	29
2015-07-11	35
2015-07-12	29
2015-07-13	36
2015-07-14	39
2015-07-15	45
2015-07-16	34
2015-07-17	25
2015-07-18	26
2015-07-19	24
2015-07-20	30
2015-07-21	31
2015-07-22	35
2015-07-23	38
2015-07-24	34
2015-07-25	30
2015-07-26	30
2015-07-27	28
2015-07-28	55
2015-07-29	34
2015-07-30	32
2015-07-31	31
2015-08-01	24
2015-08-02	24
2015-08-03	30
2015-08-04	39
2015-08-05	34
2015-08-06	28
2015-08-07	35
2015-08-08	34
2015-08-09	29
2015-08-10	27
2015-08-11	43
2015-08-12	27
2015-08-13	25
2015-08-14	36
2015-08-15	32
2015-08-16	30
2015-08-17	41
2015-08-18	34
2015-08-19	29
2015-08-20	46
2015-08-21	36
2015-08-22	33
2015-08-23	29
2015-08-24	25
2015-08-25	39
2015-08-26	37
2015-08-27	36
2015-08-28	29
2015-08-29	37
2015-08-30	36
2015-08-31	28
2015-09-01	41
2015-09-02	35
2015-09-03	33
2015-09-04	36
2015-09-05	29
2015-09-06	36
2015-09-07	28
2015-09-08	44
2015-09-09	39
2015-09-10	30
2015-09-11	33
2015-09-12	32
2015-09-13	38
2015-09-14	43
2015-09-15	46
2015-09-16	46
2015-09-17	23
2015-09-18	32
2015-09-19	25
2015-09-20	40
2015-09-21	39
2015-09-22	38
2015-09-23	51
2015-09-24	45
2015-09-25	48
2015-09-26	26
2015-09-27	36
2015-09-28	42
2015-09-29	52
2015-09-30	35
2015-10-01	39
2015-10-02	32
2015-10-03	38
2015-10-04	29
2015-10-05	36
2015-10-06	44
2015-10-07	38
2015-10-08	32
2015-10-09	42
2015-10-10	39
2015-10-11	37
2015-10-12	52
2015-10-13	22
2015-10-14	43
2015-10-15	35
2015-10-16	37
2015-10-17	41
2015-10-18	44
2015-10-19	32
2015-10-20	30
2015-10-21	50
2015-10-22	42
2015-10-23	40
2015-10-24	49
2015-10-25	36
2015-10-26	51
2015-10-27	50
2015-10-28	36
2015-10-29	46
2015-10-30	42
2015-10-31	45
2015-11-01	43
2015-11-02	50
2015-11-03	36
2015-11-04	48
2015-11-05	40
2015-11-06	36
2015-11-07	37
2015-11-08	39
2015-11-09	38
2015-11-10	43
2015-11-11	45
2015-11-12	44
2015-11-13	36
2015-11-14	35
2015-11-15	30
2015-11-16	42
2015-11-17	47
2015-11-18	46
2015-11-19	33
2015-11-20	37
2015-11-21	30
2015-11-22	41
2015-11-23	32
2015-11-24	45
2015-11-25	40
2015-11-26	54
2015-11-27	43
2015-11-28	27
2015-11-29	29
2015-11-30	36
2015-12-01	35
2015-12-02	36
2015-12-03	35
2015-12-04	41
2015-12-05	26
2015-12-06	33
2015-12-07	27
2015-12-08	49
2015-12-09	32
2015-12-10	34
2015-12-11	44
2015-12-12	37
2015-12-13	45
2015-12-14	34
2015-12-15	40
2015-12-16	33
2015-12-17	32
2015-12-18	47
2015-12-19	37
2015-12-20	37
2015-12-21	35
2015-12-22	43
2015-12-23	35
2015-12-24	38
2015-12-25	32
2015-12-26	34
2015-12-27	33
2015-12-28	20
2015-12-29	31
2015-12-30	37
2015-12-31	44
2016-01-01	26
2016-01-02	29
2016-01-03	26
2016-01-04	24
2016-01-05	36
2016-01-06	39
2016-01-07	43
2016-01-08	30
2016-01-09	29
2016-01-10	36
2016-01-11	26
2016-01-12	34
2016-01-13	47
2016-01-14	34
2016-01-15	36
2016-01-16	45
2016-01-17	56
2016-01-18	39
2016-01-19	45
2016-01-20	36
2016-01-21	41
2016-01-22	38
2016-01-23	37
2016-01-24	37
2016-01-25	47
2016-01-26	37
2016-01-27	33
2016-01-28	33
2016-01-29	36
2016-01-30	51
2016-01-31	49
2016-02-01	40
2016-02-02	56
2016-02-03	34
2016-02-04	41
2016-02-05	33
2016-02-06	45
2016-02-07	39
2016-02-08	49
2016-02-09	47
2016-02-10	45
2016-02-11	36
2016-02-12	36
2016-02-13	51
2016-02-14	42
2016-02-15	39
2016-02-16	37
2016-02-17	38
2016-02-18	35
2016-02-19	30
2016-02-20	36
2016-02-21	46
2016-02-22	36
2016-02-23	52
2016-02-24	29
2016-02-25	51
2016-02-26	49
2016-02-27	49
2016-02-28	34
2016-02-29	43
2016-03-01	62
2016-03-02	31
2016-03-03	46
2016-03-04	34
2016-03-05	33
2016-03-06	45
2016-03-07	35
2016-03-08	25
2016-03-09	37
2016-03-10	40
2016-03-11	29
2016-03-12	39
2016-03-13	36
2016-03-14	35
2016-03-15	32
2016-03-16	28
2016-03-17	32
2016-03-18	42
2016-03-19	27
2016-03-20	30
2016-03-21	34
2016-03-22	34
2016-03-23	39
2016-03-24	23
2016-03-25	38
2016-03-26	25
2016-03-27	28
2016-03-28	28
2016-03-29	47
2016-03-30	45
2016-03-31	30
2016-04-01	33
2016-04-02	22
2016-04-03	26
2016-04-04	36
2016-04-05	40
2016-04-06	35
2016-04-07	35
2016-04-08	30
2016-04-09	27
2016-04-10	36
2016-04-11	32
2016-04-12	43
2016-04-13	34
2016-04-14	23
2016-04-15	25
2016-04-16	24
2016-04-17	25
2016-04-18	29
2016-04-19	28
2016-04-20	29
2016-04-21	20
2016-04-22	49
2016-04-23	41
2016-04-24	23
2016-04-25	31
2016-04-26	34
2016-04-27	20
2016-04-28	26
2016-04-29	22
2016-04-30	21
2016-05-01	24
2016-05-02	29
2016-05-03	28
2016-05-04	18
2016-05-05	32
2016-05-06	27
2016-05-07	25
2016-05-08	28
2016-05-09	27
2016-05-10	18
2016-05-11	28
2016-05-12	33
2016-05-13	25
2016-05-14	22
2016-05-15	26
2016-05-16	24
2016-05-17	34
2016-05-18	36
2016-05-19	30
2016-05-20	28
2016-05-21	28
2016-05-22	27
2016-05-23	28
2016-05-24	20
2016-05-25	29
2016-05-26	29
2016-05-27	48
2016-05-28	47
2016-05-29	30
2016-05-30	35
2016-05-31	31
