date	freq
2015-06-01	48
2015-06-02	57
2015-06-03	49
2015-06-04	40
2015-06-05	49
2015-06-06	53
2015-06-07	57
2015-06-08	67
2015-06-09	57
2015-06-10	45
2015-06-11	64
2015-06-12	45
2015-06-13	53
2015-06-14	44
2015-06-15	55
2015-06-16	48
2015-06-17	46
2015-06-18	57
2015-06-19	57
2015-06-20	51
2015-06-21	49
2015-06-22	55
2015-06-23	56
2015-06-24	37
2015-06-25	50
2015-06-26	49
2015-06-27	41
2015-06-28	47
2015-06-29	48
2015-06-30	49
2015-07-01	54
2015-07-02	45
2015-07-03	57
2015-07-04	53
2015-07-05	56
2015-07-06	49
2015-07-07	43
2015-07-08	45
2015-07-09	49
2015-07-10	53
2015-07-11	51
2015-07-12	37
2015-07-13	47
2015-07-14	52
2015-07-15	35
2015-07-16	43
2015-07-17	55
2015-07-18	57
2015-07-19	51
2015-07-20	56
2015-07-21	60
2015-07-22	57
2015-07-23	44
2015-07-24	63
2015-07-25	51
2015-07-26	50
2015-07-27	54
2015-07-28	54
2015-07-29	27
2015-07-30	51
2015-07-31	41
2015-08-01	52
2015-08-02	58
2015-08-03	55
2015-08-04	45
2015-08-05	47
2015-08-06	47
2015-08-07	48
2015-08-08	57
2015-08-09	37
2015-08-10	55
2015-08-11	50
2015-08-12	41
2015-08-13	50
2015-08-14	38
2015-08-15	56
2015-08-16	45
2015-08-17	31
2015-08-18	46
2015-08-19	37
2015-08-20	40
2015-08-21	55
2015-08-22	56
2015-08-23	50
2015-08-24	68
2015-08-25	49
2015-08-26	44
2015-08-27	38
2015-08-28	36
2015-08-29	46
2015-08-30	46
2015-08-31	41
2015-09-01	41
2015-09-02	35
2015-09-03	69
2015-09-04	48
2015-09-05	46
2015-09-06	52
2015-09-07	49
2015-09-08	47
2015-09-09	46
2015-09-10	40
2015-09-11	58
2015-09-12	40
2015-09-13	50
2015-09-14	54
2015-09-15	47
2015-09-16	47
2015-09-17	50
2015-09-18	45
2015-09-19	50
2015-09-20	56
2015-09-21	59
2015-09-22	46
2015-09-23	57
2015-09-24	46
2015-09-25	59
2015-09-26	38
2015-09-27	55
2015-09-28	45
2015-09-29	46
2015-09-30	38
2015-10-01	52
2015-10-02	67
2015-10-03	57
2015-10-04	54
2015-10-05	54
2015-10-06	59
2015-10-07	53
2015-10-08	44
2015-10-09	55
2015-10-10	48
2015-10-11	56
2015-10-12	62
2015-10-13	53
2015-10-14	44
2015-10-15	46
2015-10-16	44
2015-10-17	49
2015-10-18	67
2015-10-19	52
2015-10-20	49
2015-10-21	39
2015-10-22	64
2015-10-23	46
2015-10-24	45
2015-10-25	42
2015-10-26	50
2015-10-27	52
2015-10-28	60
2015-10-29	57
2015-10-30	52
2015-10-31	53
2015-11-01	45
2015-11-02	58
2015-11-03	56
2015-11-04	47
2015-11-05	51
2015-11-06	47
2015-11-07	67
2015-11-08	54
2015-11-09	54
2015-11-10	64
2015-11-11	50
2015-11-12	60
2015-11-13	60
2015-11-14	54
2015-11-15	50
2015-11-16	61
2015-11-17	67
2015-11-18	47
2015-11-19	43
2015-11-20	59
2015-11-21	50
2015-11-22	51
2015-11-23	46
2015-11-24	70
2015-11-25	50
2015-11-26	68
2015-11-27	49
2015-11-28	67
2015-11-29	45
2015-11-30	49
2015-12-01	47
2015-12-02	49
2015-12-03	66
2015-12-04	57
2015-12-05	52
2015-12-06	43
2015-12-07	50
2015-12-08	51
2015-12-09	43
2015-12-10	49
2015-12-11	53
2015-12-12	64
2015-12-13	48
2015-12-14	34
2015-12-15	59
2015-12-16	50
2015-12-17	37
2015-12-18	32
2015-12-19	43
2015-12-20	43
2015-12-21	39
2015-12-22	54
2015-12-23	56
2015-12-24	80
2015-12-25	48
2015-12-26	41
2015-12-27	40
2015-12-28	46
2015-12-29	44
2015-12-30	49
2015-12-31	58
2016-01-01	51
2016-01-02	56
2016-01-03	62
2016-01-04	51
2016-01-05	44
2016-01-06	62
2016-01-07	49
2016-01-08	52
2016-01-09	63
2016-01-10	62
2016-01-11	53
2016-01-12	48
2016-01-13	52
2016-01-14	62
2016-01-15	47
2016-01-16	48
2016-01-17	79
2016-01-18	57
2016-01-19	58
2016-01-20	54
2016-01-21	40
2016-01-22	62
2016-01-23	46
2016-01-24	52
2016-01-25	53
2016-01-26	61
2016-01-27	48
2016-01-28	46
2016-01-29	62
2016-01-30	57
2016-01-31	44
2016-02-01	44
2016-02-02	47
2016-02-03	44
2016-02-04	54
2016-02-05	60
2016-02-06	49
2016-02-07	52
2016-02-08	59
2016-02-09	49
2016-02-10	50
2016-02-11	47
2016-02-12	58
2016-02-13	66
2016-02-14	51
2016-02-15	62
2016-02-16	54
2016-02-17	55
2016-02-18	45
2016-02-19	42
2016-02-20	46
2016-02-21	53
2016-02-22	41
2016-02-23	45
2016-02-24	45
2016-02-25	36
2016-02-26	47
2016-02-27	45
2016-02-28	50
2016-02-29	63
2016-03-01	48
2016-03-02	60
2016-03-03	40
2016-03-04	51
2016-03-05	34
2016-03-06	38
2016-03-07	47
2016-03-08	50
2016-03-09	46
2016-03-10	42
2016-03-11	48
2016-03-12	59
2016-03-13	39
2016-03-14	48
2016-03-15	39
2016-03-16	44
2016-03-17	25
2016-03-18	32
2016-03-19	26
2016-03-20	51
2016-03-21	70
2016-03-22	46
2016-03-23	48
2016-03-24	27
2016-03-25	36
2016-03-26	49
2016-03-27	29
2016-03-28	43
2016-03-29	35
2016-03-30	54
2016-03-31	31
2016-04-01	44
2016-04-02	34
2016-04-03	40
2016-04-04	39
2016-04-05	43
2016-04-06	36
2016-04-07	40
2016-04-08	56
2016-04-09	36
2016-04-10	72
2016-04-11	48
2016-04-12	44
2016-04-13	39
2016-04-14	39
2016-04-15	39
2016-04-16	30
2016-04-17	45
2016-04-18	44
2016-04-19	59
2016-04-20	40
2016-04-21	33
2016-04-22	69
2016-04-23	35
2016-04-24	44
2016-04-25	50
2016-04-26	51
2016-04-27	51
2016-04-28	29
2016-04-29	48
2016-04-30	80
2016-05-01	40
2016-05-02	32
2016-05-03	43
2016-05-04	36
2016-05-05	49
2016-05-06	36
2016-05-07	30
2016-05-08	70
2016-05-09	36
2016-05-10	39
2016-05-11	48
2016-05-12	38
2016-05-13	33
2016-05-14	31
2016-05-15	33
2016-05-16	43
2016-05-17	42
2016-05-18	36
2016-05-19	41
2016-05-20	47
2016-05-21	43
2016-05-22	34
2016-05-23	34
2016-05-24	42
2016-05-25	45
2016-05-26	38
2016-05-27	35
2016-05-28	47
2016-05-29	36
2016-05-30	39
2016-05-31	44
