date	freq
2015-06-01	3
2015-06-02	0
2015-06-03	2
2015-06-04	1
2015-06-05	10
2015-06-06	2
2015-06-07	4
2015-06-08	3
2015-06-09	3
2015-06-10	1
2015-06-11	2
2015-06-12	2
2015-06-13	0
2015-06-14	1
2015-06-15	1
2015-06-16	3
2015-06-17	1
2015-06-18	1
2015-06-19	3
2015-06-20	1
2015-06-21	0
2015-06-22	2
2015-06-23	1
2015-06-24	0
2015-06-25	3
2015-06-26	2
2015-06-27	1
2015-06-28	1
2015-06-29	1
2015-06-30	3
2015-07-01	4
2015-07-02	0
2015-07-03	2
2015-07-04	1
2015-07-05	3
2015-07-06	1
2015-07-07	3
2015-07-08	0
2015-07-09	0
2015-07-10	2
2015-07-11	0
2015-07-12	0
2015-07-13	10
2015-07-14	22
2015-07-15	14
2015-07-16	5
2015-07-17	2
2015-07-18	3
2015-07-19	4
2015-07-20	4
2015-07-21	0
2015-07-22	1
2015-07-23	3
2015-07-24	4
2015-07-25	0
2015-07-26	7
2015-07-27	2
2015-07-28	1
2015-07-29	2
2015-07-30	1
2015-07-31	0
2015-08-01	1
2015-08-02	1
2015-08-03	4
2015-08-04	1
2015-08-05	2
2015-08-06	2
2015-08-07	1
2015-08-08	0
2015-08-09	2
2015-08-10	3
2015-08-11	5
2015-08-12	3
2015-08-13	3
2015-08-14	7
2015-08-15	3
2015-08-16	7
2015-08-17	6
2015-08-18	13
2015-08-19	4
2015-08-20	14
2015-08-21	9
2015-08-22	12
2015-08-23	9
2015-08-24	15
2015-08-25	5
2015-08-26	19
2015-08-27	9
2015-08-28	14
2015-08-29	9
2015-08-30	7
2015-08-31	6
2015-09-01	11
2015-09-02	17
2015-09-03	8
2015-09-04	7
2015-09-05	5
2015-09-06	6
2015-09-07	5
2015-09-08	6
2015-09-09	8
2015-09-10	11
2015-09-11	8
2015-09-12	2
2015-09-13	6
2015-09-14	8
2015-09-15	8
2015-09-16	7
2015-09-17	7
2015-09-18	9
2015-09-19	1
2015-09-20	5
2015-09-21	4
2015-09-22	5
2015-09-23	8
2015-09-24	5
2015-09-25	6
2015-09-26	3
2015-09-27	7
2015-09-28	5
2015-09-29	14
2015-09-30	4
2015-10-01	2
2015-10-02	2
2015-10-03	0
2015-10-04	2
2015-10-05	2
2015-10-06	2
2015-10-07	1
2015-10-08	0
2015-10-09	1
2015-10-10	0
