date	freq
2015-06-01	14
2015-06-02	13
2015-06-03	9
2015-06-04	22
2015-06-05	21
2015-06-06	8
2015-06-07	17
2015-06-08	15
2015-06-09	14
2015-06-10	17
2015-06-11	17
2015-06-12	16
2015-06-13	14
2015-06-14	9
2015-06-15	10
2015-06-16	21
2015-06-17	11
2015-06-18	20
2015-06-19	18
2015-06-20	11
2015-06-21	12
2015-06-22	13
2015-06-23	24
2015-06-24	15
2015-06-25	15
2015-06-26	13
2015-06-27	15
2015-06-28	17
2015-06-29	15
2015-06-30	23
2015-07-01	12
2015-07-02	23
2015-07-03	12
2015-07-04	22
2015-07-05	12
2015-07-06	9
2015-07-07	13
2015-07-08	19
2015-07-09	17
2015-07-10	12
2015-07-11	13
2015-07-12	13
2015-07-13	13
2015-07-14	10
2015-07-15	13
2015-07-16	20
2015-07-17	14
2015-07-18	13
2015-07-19	7
2015-07-20	12
2015-07-21	7
2015-07-22	9
2015-07-23	15
2015-07-24	18
2015-07-25	14
2015-07-26	28
2015-07-27	9
2015-07-28	12
2015-07-29	12
2015-07-30	12
2015-07-31	17
2015-08-01	17
2015-08-02	13
2015-08-03	20
2015-08-04	9
2015-08-05	22
2015-08-06	11
2015-08-07	10
2015-08-08	14
2015-08-09	16
2015-08-10	21
2015-08-11	21
2015-08-12	16
2015-08-13	13
2015-08-14	35
2015-08-15	19
2015-08-16	16
2015-08-17	14
2015-08-18	32
2015-08-19	15
2015-08-20	9
2015-08-21	14
2015-08-22	17
2015-08-23	18
2015-08-24	23
2015-08-25	20
2015-08-26	23
2015-08-27	20
2015-08-28	14
2015-08-29	9
2015-08-30	16
2015-08-31	12
2015-09-01	12
2015-09-02	19
2015-09-03	15
2015-09-04	23
2015-09-05	17
2015-09-06	13
2015-09-07	11
2015-09-08	16
2015-09-09	20
2015-09-10	14
2015-09-11	13
2015-09-12	10
2015-09-13	14
2015-09-14	10
2015-09-15	8
2015-09-16	18
2015-09-17	17
2015-09-18	17
2015-09-19	14
2015-09-20	16
2015-09-21	12
2015-09-22	19
2015-09-23	15
2015-09-24	22
2015-09-25	12
2015-09-26	9
2015-09-27	9
2015-09-28	17
2015-09-29	20
2015-09-30	11
2015-10-01	4
2015-10-02	14
2015-10-03	12
2015-10-04	17
2015-10-05	16
2015-10-06	7
2015-10-07	23
2015-10-08	13
2015-10-09	17
2015-10-10	18
2015-10-11	11
2015-10-12	19
2015-10-13	12
2015-10-14	39
2015-10-15	18
2015-10-16	12
2015-10-17	16
2015-10-18	10
2015-10-19	11
2015-10-20	16
2015-10-21	27
2015-10-22	14
2015-10-23	13
2015-10-24	17
2015-10-25	20
2015-10-26	15
2015-10-27	16
2015-10-28	14
2015-10-29	14
2015-10-30	16
2015-10-31	18
2015-11-01	17
2015-11-02	24
2015-11-03	11
2015-11-04	16
2015-11-05	10
2015-11-06	17
2015-11-07	25
2015-11-08	9
