date	freq
2015-06-01	3212
2015-06-02	2529
2015-06-03	2301
2015-06-04	2428
2015-06-05	1979
2015-06-06	2765
2015-06-07	2545
2015-06-08	2401
2015-06-09	1231
2015-06-10	1159
2015-06-11	2317
2015-06-12	2243
2015-06-13	2451
2015-06-14	2551
2015-06-15	2710
2015-06-16	2370
2015-06-17	2432
2015-06-18	2335
2015-06-19	2253
2015-06-20	2429
2015-06-21	2608
2015-06-22	2325
2015-06-23	2382
2015-06-24	2357
2015-06-25	2349
2015-06-26	2245
2015-06-27	2275
2015-06-28	2334
2015-06-29	4016
2015-06-30	2696
2015-07-01	2940
2015-07-02	4915
2015-07-03	2908
2015-07-04	2444
2015-07-05	2476
2015-07-06	2144
2015-07-07	2185
2015-07-08	2239
2015-07-09	2071
2015-07-10	1987
2015-07-11	2298
2015-07-12	2304
2015-07-13	2337
2015-07-14	2335
2015-07-15	2161
2015-07-16	2099
2015-07-17	2138
2015-07-18	2166
2015-07-19	2249
2015-07-20	2795
2015-07-21	3124
2015-07-22	2949
2015-07-23	2438
2015-07-24	2241
2015-07-25	2429
2015-07-26	2204
2015-07-27	2308
2015-07-28	2262
2015-07-29	2259
2015-07-30	3233
2015-07-31	2380
2015-08-01	2313
2015-08-02	2251
2015-08-03	2213
2015-08-04	2494
2015-08-05	2673
2015-08-06	2433
2015-08-07	2204
2015-08-08	2271
2015-08-09	2285
2015-08-10	2221
2015-08-11	2389
2015-08-12	2268
2015-08-13	2305
2015-08-14	2376
2015-08-15	2170
2015-08-16	2233
2015-08-17	2227
2015-08-18	2205
2015-08-19	2386
2015-08-20	2389
2015-08-21	2283
2015-08-22	2305
2015-08-23	2282
2015-08-24	2275
2015-08-25	2204
2015-08-26	2194
2015-08-27	2118
2015-08-28	2484
2015-08-29	2158
2015-08-30	2235
2015-08-31	2231
2015-09-01	2347
2015-09-02	2720
2015-09-03	2222
2015-09-04	2372
2015-09-05	2287
2015-09-06	2963
2015-09-07	2297
2015-09-08	2201
2015-09-09	2405
2015-09-10	2355
2015-09-11	2168
2015-09-12	2265
2015-09-13	2737
2015-09-14	2404
2015-09-15	2797
2015-09-16	2019
2015-09-17	1970
2015-09-18	1848
2015-09-19	1937
2015-09-20	2084
2015-09-21	2253
2015-09-22	2080
2015-09-23	2267
2015-09-24	2038
2015-09-25	1845
2015-09-26	2054
2015-09-27	3188
2015-09-28	2569
2015-09-29	2152
2015-09-30	1968
2015-10-01	2154
2015-10-02	1989
2015-10-03	2324
2015-10-04	2220
2015-10-05	2062
2015-10-06	2003
2015-10-07	2067
2015-10-08	2038
2015-10-09	1797
2015-10-10	2275
2015-10-11	2071
2015-10-12	2158
2015-10-13	1891
2015-10-14	1932
2015-10-15	1831
2015-10-16	1815
2015-10-17	1838
2015-10-18	2166
2015-10-19	2217
2015-10-20	1984
2015-10-21	1855
2015-10-22	1877
2015-10-23	1904
2015-10-24	2182
2015-10-25	2080
2015-10-26	1924
2015-10-27	1845
2015-10-28	1930
2015-10-29	1864
2015-10-30	1806
2015-10-31	1833
2015-11-01	1788
2015-11-02	1749
2015-11-03	1919
2015-11-04	1840
2015-11-05	1772
2015-11-06	1841
2015-11-07	2321
2015-11-08	2490
2015-11-09	2045
2015-11-10	2088
2015-11-11	1725
2015-11-12	1687
2015-11-13	1784
2015-11-14	2617
2015-11-15	2243
2015-11-16	2746
2015-11-17	2311
2015-11-18	1982
2015-11-19	1702
2015-11-20	1979
2015-11-21	1822
2015-11-22	2072
2015-11-23	1951
2015-11-24	1866
2015-11-25	1714
2015-11-26	1997
2015-11-27	1832
2015-11-28	1830
2015-11-29	2143
2015-11-30	1826
2015-12-01	2253
2015-12-02	2712
2015-12-03	2400
2015-12-04	1678
2015-12-05	1902
2015-12-06	1832
2015-12-07	1946
2015-12-08	1670
2015-12-09	1821
2015-12-10	1620
2015-12-11	1791
2015-12-12	1886
2015-12-13	1805
2015-12-14	1853
2015-12-15	1746
2015-12-16	1737
2015-12-17	1598
2015-12-18	1819
2015-12-19	1893
2015-12-20	2288
2015-12-21	1794
2015-12-22	2276
2015-12-23	1981
2015-12-24	1800
2015-12-25	1645
2015-12-26	1610
2015-12-27	1900
2015-12-28	2061
2015-12-29	2545
2015-12-30	2629
2015-12-31	2789
2016-01-01	2615
2016-01-02	2192
2016-01-03	1957
2016-01-04	2015
2016-01-05	2396
2016-01-06	2247
2016-01-07	2259
2016-01-08	1707
2016-01-09	1958
2016-01-10	1842
2016-01-11	2136
2016-01-12	4287
2016-01-13	2346
2016-01-14	2258
2016-01-15	1951
2016-01-16	2251
2016-01-17	2101
2016-01-18	1906
2016-01-19	1616
2016-01-20	1711
2016-01-21	2088
2016-01-22	2237
2016-01-23	2161
2016-01-24	3044
2016-01-25	2386
2016-01-26	2082
2016-01-27	2065
2016-01-28	1984
2016-01-29	1926
2016-01-30	2283
2016-01-31	2185
2016-02-01	2001
2016-02-02	1994
2016-02-03	1969
2016-02-04	2046
2016-02-05	2092
2016-02-06	2001
2016-02-07	2248
2016-02-08	1959
2016-02-09	1755
2016-02-10	2038
2016-02-11	2135
2016-02-12	2220
2016-02-13	2356
2016-02-14	2247
2016-02-15	1996
2016-02-16	2077
2016-02-17	2040
2016-02-18	1860
2016-02-19	1946
2016-02-20	2342
2016-02-21	2206
2016-02-22	1992
2016-02-23	2080
2016-02-24	1981
2016-02-25	1940
2016-02-26	2299
2016-02-27	1907
2016-02-28	2005
2016-02-29	2084
2016-03-01	1630
2016-03-02	1613
2016-03-03	1763
2016-03-04	1780
2016-03-05	1975
2016-03-06	2007
2016-03-07	1857
2016-03-08	1882
2016-03-09	1853
2016-03-10	1819
2016-03-11	2015
2016-03-12	1981
2016-03-13	1921
2016-03-14	1958
2016-03-15	1987
2016-03-16	1826
2016-03-17	2004
2016-03-18	2037
2016-03-19	2288
2016-03-20	2288
2016-03-21	2034
2016-03-22	1948
2016-03-23	2117
2016-03-24	1930
2016-03-25	1859
2016-03-26	1899
2016-03-27	2325
2016-03-28	2564
2016-03-29	2003
2016-03-30	2084
2016-03-31	1965
2016-04-01	1984
2016-04-02	1737
2016-04-03	2083
2016-04-04	1031
2016-04-05	2208
2016-04-06	2015
2016-04-07	985
2016-04-08	2299
2016-04-09	2029
2016-04-10	1965
2016-04-11	1913
2016-04-12	1989
2016-04-13	2520
2016-04-14	1935
2016-04-15	1670
2016-04-16	2036
2016-04-17	2171
2016-04-18	2039
2016-04-19	2093
2016-04-20	2643
2016-04-21	2096
2016-04-22	2291
2016-04-23	2138
2016-04-24	2163
2016-04-25	2657
2016-04-26	2183
2016-04-27	1956
2016-04-28	2020
2016-04-29	1849
2016-04-30	2068
2016-05-01	2177
2016-05-02	1994
2016-05-03	2033
2016-05-04	2108
2016-05-05	2194
2016-05-06	1787
2016-05-07	2007
2016-05-08	1912
2016-05-09	2026
2016-05-10	2871
2016-05-11	2099
2016-05-12	2156
2016-05-13	1935
2016-05-14	2019
2016-05-15	2190
2016-05-16	2131
2016-05-17	1845
2016-05-18	2287
2016-05-19	2082
2016-05-20	1841
2016-05-21	1858
2016-05-22	1968
2016-05-23	2028
2016-05-24	1970
2016-05-25	2111
2016-05-26	2684
2016-05-27	2208
2016-05-28	2710
2016-05-29	2342
2016-05-30	2218
2016-05-31	2278
