date	freq
2015-06-01	95
2015-06-02	74
2015-06-03	79
2015-06-04	83
2015-06-05	53
2015-06-06	68
2015-06-07	64
2015-06-08	53
2015-06-09	82
2015-06-10	75
2015-06-11	84
2015-06-12	78
2015-06-13	65
2015-06-14	74
2015-06-15	70
2015-06-16	80
2015-06-17	50
2015-06-18	90
2015-06-19	81
2015-06-20	77
2015-06-21	78
2015-06-22	82
2015-06-23	63
2015-06-24	97
2015-06-25	84
2015-06-26	73
2015-06-27	72
2015-06-28	71
2015-06-29	68
2015-06-30	54
2015-07-01	67
2015-07-02	84
2015-07-03	78
2015-07-04	61
2015-07-05	86
2015-07-06	90
2015-07-07	69
2015-07-08	56
2015-07-09	73
2015-07-10	67
2015-07-11	80
2015-07-12	62
2015-07-13	76
2015-07-14	64
2015-07-15	61
2015-07-16	67
2015-07-17	62
2015-07-18	66
2015-07-19	78
2015-07-20	71
2015-07-21	82
2015-07-22	67
2015-07-23	83
2015-07-24	46
2015-07-25	69
2015-07-26	64
2015-07-27	79
2015-07-28	56
2015-07-29	73
2015-07-30	77
2015-07-31	65
2015-08-01	97
2015-08-02	77
2015-08-03	84
2015-08-04	93
2015-08-05	79
2015-08-06	63
2015-08-07	57
2015-08-08	62
2015-08-09	63
2015-08-10	55
2015-08-11	79
2015-08-12	73
2015-08-13	79
2015-08-14	46
2015-08-15	81
2015-08-16	63
2015-08-17	66
2015-08-18	64
2015-08-19	63
2015-08-20	53
2015-08-21	70
2015-08-22	59
2015-08-23	55
2015-08-24	70
2015-08-25	73
2015-08-26	81
2015-08-27	66
2015-08-28	74
2015-08-29	75
2015-08-30	67
2015-08-31	78
2015-09-01	75
2015-09-02	79
2015-09-03	79
2015-09-04	76
2015-09-05	60
2015-09-06	78
2015-09-07	89
2015-09-08	72
2015-09-09	76
2015-09-10	96
2015-09-11	81
2015-09-12	74
2015-09-13	86
2015-09-14	55
2015-09-15	65
2015-09-16	67
2015-09-17	70
2015-09-18	65
2015-09-19	62
2015-09-20	70
2015-09-21	68
2015-09-22	60
2015-09-23	60
2015-09-24	56
2015-09-25	57
2015-09-26	76
2015-09-27	56
2015-09-28	76
2015-09-29	52
2015-09-30	56
2015-10-01	53
2015-10-02	66
2015-10-03	49
2015-10-04	63
2015-10-05	55
2015-10-06	67
2015-10-07	67
2015-10-08	54
2015-10-09	50
2015-10-10	62
2015-10-11	45
2015-10-12	60
2015-10-13	60
2015-10-14	65
2015-10-15	51
2015-10-16	49
2015-10-17	63
2015-10-18	55
2015-10-19	66
2015-10-20	62
2015-10-21	60
2015-10-22	56
2015-10-23	53
2015-10-24	59
2015-10-25	65
2015-10-26	69
2015-10-27	70
2015-10-28	63
2015-10-29	46
2015-10-30	55
2015-10-31	70
2015-11-01	48
2015-11-02	59
2015-11-03	70
2015-11-04	75
2015-11-05	52
2015-11-06	63
2015-11-07	103
2015-11-08	69
2015-11-09	85
2015-11-10	108
2015-11-11	119
2015-11-12	98
2015-11-13	137
2015-11-14	138
2015-11-15	112
2015-11-16	144
2015-11-17	119
2015-11-18	81
2015-11-19	85
2015-11-20	82
2015-11-21	58
2015-11-22	60
2015-11-23	68
2015-11-24	83
2015-11-25	56
2015-11-26	81
2015-11-27	65
2015-11-28	59
2015-11-29	72
2015-11-30	70
2015-12-01	71
2015-12-02	50
2015-12-03	66
2015-12-04	71
2015-12-05	62
2015-12-06	82
2015-12-07	108
2015-12-08	74
2015-12-09	61
2015-12-10	97
2015-12-11	56
2015-12-12	76
2015-12-13	67
2015-12-14	68
2015-12-15	52
2015-12-16	95
2015-12-17	63
2015-12-18	64
2015-12-19	60
2015-12-20	70
2015-12-21	72
2015-12-22	93
2015-12-23	67
2015-12-24	64
2015-12-25	63
2015-12-26	50
2015-12-27	74
2015-12-28	73
2015-12-29	63
2015-12-30	60
2015-12-31	62
2016-01-01	44
2016-01-02	59
2016-01-03	51
2016-01-04	77
2016-01-05	83
2016-01-06	64
2016-01-07	79
2016-01-08	66
2016-01-09	58
2016-01-10	77
2016-01-11	103
2016-01-12	81
2016-01-13	82
2016-01-14	80
2016-01-15	64
2016-01-16	70
2016-01-17	98
2016-01-18	66
2016-01-19	60
2016-01-20	76
2016-01-21	49
2016-01-22	71
2016-01-23	61
2016-01-24	68
2016-01-25	109
2016-01-26	76
2016-01-27	76
2016-01-28	77
2016-01-29	70
2016-01-30	97
2016-01-31	80
2016-02-01	64
2016-02-02	73
2016-02-03	73
2016-02-04	84
2016-02-05	89
2016-02-06	78
2016-02-07	99
2016-02-08	98
2016-02-09	108
2016-02-10	58
2016-02-11	124
2016-02-12	112
2016-02-13	100
2016-02-14	110
2016-02-15	87
2016-02-16	79
2016-02-17	103
2016-02-18	67
2016-02-19	81
2016-02-20	95
2016-02-21	105
2016-02-22	107
2016-02-23	107
2016-02-24	110
2016-02-25	93
2016-02-26	99
2016-02-27	86
2016-02-28	79
2016-02-29	68
2016-03-01	70
2016-03-02	77
2016-03-03	62
2016-03-04	97
2016-03-05	81
2016-03-06	118
2016-03-07	109
2016-03-08	83
2016-03-09	98
2016-03-10	97
2016-03-11	113
2016-03-12	93
2016-03-13	92
2016-03-14	85
2016-03-15	79
2016-03-16	100
2016-03-17	102
2016-03-18	83
2016-03-19	97
2016-03-20	58
2016-03-21	86
2016-03-22	75
2016-03-23	77
2016-03-24	73
2016-03-25	79
2016-03-26	100
2016-03-27	85
2016-03-28	96
2016-03-29	93
2016-03-30	81
2016-03-31	95
2016-04-01	78
2016-04-02	78
2016-04-03	88
2016-04-04	94
2016-04-05	64
2016-04-06	63
2016-04-07	86
2016-04-08	70
2016-04-09	112
2016-04-10	92
2016-04-11	54
2016-04-12	65
2016-04-13	66
2016-04-14	58
2016-04-15	74
2016-04-16	64
2016-04-17	75
2016-04-18	72
2016-04-19	61
2016-04-20	71
2016-04-21	79
2016-04-22	107
2016-04-23	83
2016-04-24	87
2016-04-25	86
2016-04-26	68
2016-04-27	69
2016-04-28	75
2016-04-29	60
