date	freq
2015-06-01	189
2015-06-02	214
2015-06-03	200
2015-06-04	202
2015-06-05	179
2015-06-06	177
2015-06-07	195
2015-06-08	234
2015-06-09	231
2015-06-10	205
2015-06-11	209
2015-06-12	188
2015-06-13	187
2015-06-14	204
2015-06-15	236
2015-06-16	222
2015-06-17	208
2015-06-18	214
2015-06-19	171
2015-06-20	199
2015-06-21	193
2015-06-22	209
2015-06-23	192
2015-06-24	221
2015-06-25	223
2015-06-26	333
2015-06-27	219
2015-06-28	182
2015-06-29	199
2015-06-30	249
2015-07-01	184
2015-07-02	187
2015-07-03	192
2015-07-04	189
2015-07-05	184
2015-07-06	198
2015-07-07	199
2015-07-08	196
2015-07-09	180
2015-07-10	189
2015-07-11	206
2015-07-12	199
2015-07-13	235
2015-07-14	256
2015-07-15	209
2015-07-16	209
2015-07-17	167
2015-07-18	196
2015-07-19	182
2015-07-20	208
2015-07-21	190
2015-07-22	186
2015-07-23	209
2015-07-24	198
2015-07-25	199
2015-07-26	195
2015-07-27	213
2015-07-28	218
2015-07-29	207
2015-07-30	222
2015-07-31	184
2015-08-01	204
2015-08-02	162
2015-08-03	177
2015-08-04	183
2015-08-05	199
2015-08-06	164
2015-08-07	159
2015-08-08	262
2015-08-09	149
2015-08-10	251
2015-08-11	194
2015-08-12	185
2015-08-13	190
2015-08-14	245
2015-08-15	196
2015-08-16	187
2015-08-17	184
2015-08-18	193
2015-08-19	208
2015-08-20	189
2015-08-21	198
2015-08-22	167
2015-08-23	164
2015-08-24	222
2015-08-25	199
2015-08-26	198
2015-08-27	229
2015-08-28	231
2015-08-29	166
2015-08-30	209
2015-08-31	196
2015-09-01	209
2015-09-02	215
2015-09-03	224
2015-09-04	210
2015-09-05	227
2015-09-06	267
2015-09-07	204
2015-09-08	219
2015-09-09	206
2015-09-10	199
2015-09-11	201
2015-09-12	210
2015-09-13	285
2015-09-14	211
2015-09-15	224
2015-09-16	214
2015-09-17	245
2015-09-18	212
2015-09-19	201
2015-09-20	215
2015-09-21	211
2015-09-22	197
2015-09-23	241
2015-09-24	186
2015-09-25	202
2015-09-26	181
2015-09-27	214
2015-09-28	229
2015-09-29	205
2015-09-30	225
2015-10-01	257
2015-10-02	206
2015-10-03	207
2015-10-04	202
2015-10-05	225
2015-10-06	226
2015-10-07	246
2015-10-08	212
2015-10-09	204
2015-10-10	160
2015-10-11	195
2015-10-12	227
2015-10-13	233
2015-10-14	390
2015-10-15	403
2015-10-16	240
2015-10-17	212
2015-10-18	190
2015-10-19	434
2015-10-20	249
2015-10-21	247
2015-10-22	177
2015-10-23	378
2015-10-24	353
2015-10-25	243
2015-10-26	227
2015-10-27	252
2015-10-28	302
2015-10-29	521
2015-10-30	344
2015-10-31	250
2015-11-01	205
2015-11-02	251
2015-11-03	259
2015-11-04	243
2015-11-05	233
2015-11-06	252
2015-11-07	244
2015-11-08	239
2015-11-09	263
2015-11-10	280
2015-11-11	258
2015-11-12	227
2015-11-13	222
2015-11-14	208
2015-11-15	229
2015-11-16	286
2015-11-17	240
2015-11-18	247
2015-11-19	288
2015-11-20	285
2015-11-21	215
2015-11-22	202
2015-11-23	268
2015-11-24	272
2015-11-25	248
2015-11-26	276
2015-11-27	212
2015-11-28	196
2015-11-29	235
2015-11-30	226
2015-12-01	210
2015-12-02	227
2015-12-03	225
2015-12-04	229
2015-12-05	181
2015-12-06	210
2015-12-07	228
2015-12-08	219
2015-12-09	260
2015-12-10	218
2015-12-11	229
2015-12-12	248
2015-12-13	245
2015-12-14	334
2015-12-15	218
2015-12-16	212
2015-12-17	211
2015-12-18	224
2015-12-19	202
2015-12-20	208
2015-12-21	210
2015-12-22	233
2015-12-23	217
2015-12-24	237
2015-12-25	179
2015-12-26	186
2015-12-27	157
2015-12-28	200
2015-12-29	191
2015-12-30	179
2015-12-31	153
2016-01-01	143
2016-01-02	162
2016-01-03	176
2016-01-04	196
2016-01-05	227
2016-01-06	234
2016-01-07	251
2016-01-08	208
2016-01-09	174
2016-01-10	213
2016-01-11	218
2016-01-12	195
2016-01-13	228
2016-01-14	217
2016-01-15	188
2016-01-16	187
2016-01-17	193
2016-01-18	205
2016-01-19	198
2016-01-20	237
2016-01-21	190
2016-01-22	228
2016-01-23	200
2016-01-24	196
2016-01-25	204
2016-01-26	236
2016-01-27	206
2016-01-28	206
2016-01-29	230
2016-01-30	246
2016-01-31	205
