date	freq
2015-06-01	41
2015-06-02	40
2015-06-03	53
2015-06-04	39
2015-06-05	57
2015-06-06	51
2015-06-07	46
2015-06-08	32
2015-06-09	37
2015-06-10	43
2015-06-11	51
2015-06-12	37
2015-06-13	40
2015-06-14	40
2015-06-15	129
2015-06-16	61
2015-06-17	48
2015-06-18	55
2015-06-19	40
2015-06-20	52
2015-06-21	50
2015-06-22	50
2015-06-23	48
2015-06-24	50
2015-06-25	54
2015-06-26	51
2015-06-27	46
2015-06-28	49
2015-06-29	57
2015-06-30	59
2015-07-01	53
2015-07-02	41
2015-07-03	50
2015-07-04	47
2015-07-05	46
2015-07-06	38
2015-07-07	62
2015-07-08	61
2015-07-09	200
2015-07-10	66
2015-07-11	54
2015-07-12	53
2015-07-13	48
2015-07-14	83
2015-07-15	58
2015-07-16	54
2015-07-17	33
2015-07-18	39
2015-07-19	56
2015-07-20	48
2015-07-21	56
2015-07-22	65
2015-07-23	60
2015-07-24	45
2015-07-25	48
2015-07-26	58
2015-07-27	62
2015-07-28	51
2015-07-29	63
2015-07-30	57
2015-07-31	67
2015-08-01	59
2015-08-02	58
2015-08-03	61
2015-08-04	51
2015-08-05	68
2015-08-06	44
2015-08-07	40
2015-08-08	49
2015-08-09	56
2015-08-10	48
2015-08-11	74
2015-08-12	61
2015-08-13	56
2015-08-14	56
2015-08-15	44
2015-08-16	64
2015-08-17	46
2015-08-18	35
2015-08-19	37
2015-08-20	48
2015-08-21	49
2015-08-22	64
2015-08-23	50
2015-08-24	35
2015-08-25	36
2015-08-26	53
2015-08-27	43
2015-08-28	69
2015-08-29	49
2015-08-30	66
2015-08-31	50
2015-09-01	57
2015-09-02	67
2015-09-03	48
2015-09-04	76
2015-09-05	99
2015-09-06	61
2015-09-07	48
2015-09-08	60
2015-09-09	56
2015-09-10	62
2015-09-11	54
2015-09-12	41
2015-09-13	41
2015-09-14	54
2015-09-15	48
2015-09-16	45
2015-09-17	41
2015-09-18	41
2015-09-19	65
2015-09-20	53
2015-09-21	54
2015-09-22	57
2015-09-23	65
2015-09-24	48
2015-09-25	58
2015-09-26	63
2015-09-27	70
2015-09-28	51
2015-09-29	69
2015-09-30	66
2015-10-01	59
2015-10-02	48
2015-10-03	53
2015-10-04	67
2015-10-05	62
2015-10-06	59
2015-10-07	73
2015-10-08	79
2015-10-09	60
2015-10-10	54
2015-10-11	61
2015-10-12	61
2015-10-13	48
2015-10-14	59
2015-10-15	54
2015-10-16	59
2015-10-17	44
2015-10-18	58
2015-10-19	77
2015-10-20	53
2015-10-21	50
2015-10-22	40
2015-10-23	48
2015-10-24	46
2015-10-25	48
2015-10-26	47
2015-10-27	51
2015-10-28	50
2015-10-29	55
2015-10-30	56
2015-10-31	45
2015-11-01	43
2015-11-02	44
2015-11-03	44
2015-11-04	84
2015-11-05	48
2015-11-06	44
2015-11-07	27
2015-11-08	55
2015-11-09	49
2015-11-10	51
2015-11-11	33
2015-11-12	46
2015-11-13	36
2015-11-14	37
2015-11-15	40
2015-11-16	41
2015-11-17	27
2015-11-18	64
2015-11-19	36
2015-11-20	33
2015-11-21	38
2015-11-22	53
2015-11-23	26
2015-11-24	33
2015-11-25	40
2015-11-26	42
2015-11-27	36
2015-11-28	38
2015-11-29	40
2015-11-30	38
2015-12-01	35
2015-12-02	66
2015-12-03	41
2015-12-04	49
2015-12-05	46
2015-12-06	62
2015-12-07	56
2015-12-08	39
2015-12-09	38
2015-12-10	37
2015-12-11	30
2015-12-12	46
2015-12-13	41
2015-12-14	42
2015-12-15	46
2015-12-16	26
2015-12-17	33
2015-12-18	43
2015-12-19	49
2015-12-20	44
2015-12-21	32
2015-12-22	50
2015-12-23	41
2015-12-24	47
2015-12-25	55
2015-12-26	35
2015-12-27	48
2015-12-28	45
2015-12-29	41
2015-12-30	39
2015-12-31	46
2016-01-01	33
2016-01-02	39
2016-01-03	54
2016-01-04	40
2016-01-05	44
2016-01-06	37
2016-01-07	45
2016-01-08	41
2016-01-09	43
2016-01-10	45
2016-01-11	44
2016-01-12	30
2016-01-13	32
2016-01-14	38
2016-01-15	37
2016-01-16	37
2016-01-17	40
2016-01-18	41
2016-01-19	42
2016-01-20	68
2016-01-21	48
2016-01-22	37
2016-01-23	47
2016-01-24	53
2016-01-25	47
2016-01-26	44
2016-01-27	45
2016-01-28	55
2016-01-29	52
2016-01-30	58
2016-01-31	48
2016-02-01	33
2016-02-02	44
2016-02-03	40
2016-02-04	62
2016-02-05	47
2016-02-06	51
2016-02-07	43
2016-02-08	52
2016-02-09	54
2016-02-10	44
2016-02-11	48
2016-02-12	55
2016-02-13	79
2016-02-14	83
2016-02-15	78
2016-02-16	51
2016-02-17	152
2016-02-18	97
2016-02-19	54
2016-02-20	42
2016-02-21	50
2016-02-22	47
2016-02-23	63
2016-02-24	56
2016-02-25	57
2016-02-26	42
2016-02-27	39
2016-02-28	45
2016-02-29	62
2016-03-01	42
2016-03-02	36
2016-03-03	37
2016-03-04	47
2016-03-05	48
2016-03-06	53
2016-03-07	36
2016-03-08	37
2016-03-09	42
2016-03-10	75
2016-03-11	44
2016-03-12	61
2016-03-13	71
2016-03-14	61
2016-03-15	61
2016-03-16	49
2016-03-17	51
2016-03-18	39
2016-03-19	67
2016-03-20	71
2016-03-21	50
2016-03-22	66
2016-03-23	57
2016-03-24	51
2016-03-25	32
2016-03-26	48
2016-03-27	40
2016-03-28	80
2016-03-29	43
2016-03-30	44
2016-03-31	50
2016-04-01	47
2016-04-02	95
2016-04-03	61
2016-04-04	57
2016-04-05	61
2016-04-06	49
2016-04-07	96
2016-04-08	57
2016-04-09	50
2016-04-10	50
2016-04-11	59
2016-04-12	53
2016-04-13	63
2016-04-14	39
2016-04-15	32
2016-04-16	31
2016-04-17	39
2016-04-18	101
2016-04-19	71
2016-04-20	38
2016-04-21	47
2016-04-22	90
2016-04-23	72
2016-04-24	108
2016-04-25	53
2016-04-26	54
2016-04-27	54
2016-04-28	44
2016-04-29	48
2016-04-30	44
2016-05-01	44
2016-05-02	32
2016-05-03	45
2016-05-04	78
2016-05-05	44
2016-05-06	42
2016-05-07	52
2016-05-08	44
2016-05-09	76
2016-05-10	76
2016-05-11	61
2016-05-12	39
2016-05-13	52
2016-05-14	44
2016-05-15	87
2016-05-16	53
2016-05-17	53
2016-05-18	136
2016-05-19	62
2016-05-20	64
2016-05-21	42
2016-05-22	51
2016-05-23	51
2016-05-24	60
2016-05-25	43
2016-05-26	75
2016-05-27	39
2016-05-28	44
2016-05-29	40
2016-05-30	58
2016-05-31	77
