date	freq
2015-06-01	57
2015-06-02	80
2015-06-03	71
2015-06-04	74
2015-06-05	63
2015-06-06	65
2015-06-07	66
2015-06-08	60
2015-06-09	57
2015-06-10	101
2015-06-11	82
2015-06-12	80
2015-06-13	90
2015-06-14	73
2015-06-15	64
2015-06-16	50
2015-06-17	78
2015-06-18	66
2015-06-19	62
2015-06-20	76
2015-06-21	60
2015-06-22	64
2015-06-23	56
2015-06-24	61
2015-06-25	58
2015-06-26	68
2015-06-27	65
2015-06-28	77
2015-06-29	68
2015-06-30	58
2015-07-01	71
2015-07-02	98
2015-07-03	62
2015-07-04	42
2015-07-05	60
2015-07-06	76
2015-07-07	65
2015-07-08	62
2015-07-09	43
2015-07-10	67
2015-07-11	53
2015-07-12	45
2015-07-13	65
2015-07-14	60
2015-07-15	76
2015-07-16	56
2015-07-17	46
2015-07-18	72
2015-07-19	73
2015-07-20	72
2015-07-21	76
2015-07-22	72
2015-07-23	70
2015-07-24	72
2015-07-25	70
2015-07-26	76
2015-07-27	63
2015-07-28	64
2015-07-29	56
2015-07-30	60
2015-07-31	66
2015-08-01	52
2015-08-02	38
2015-08-03	73
2015-08-04	56
2015-08-05	74
2015-08-06	95
2015-08-07	48
2015-08-08	62
2015-08-09	54
2015-08-10	56
2015-08-11	63
2015-08-12	71
2015-08-13	62
2015-08-14	84
2015-08-15	58
2015-08-16	53
2015-08-17	63
2015-08-18	71
2015-08-19	66
2015-08-20	49
2015-08-21	62
2015-08-22	51
2015-08-23	58
2015-08-24	58
2015-08-25	87
2015-08-26	62
2015-08-27	53
2015-08-28	50
2015-08-29	51
2015-08-30	58
2015-08-31	69
2015-09-01	48
2015-09-02	52
2015-09-03	64
2015-09-04	59
2015-09-05	54
2015-09-06	59
2015-09-07	55
2015-09-08	66
2015-09-09	57
2015-09-10	51
2015-09-11	44
2015-09-12	57
2015-09-13	50
2015-09-14	42
2015-09-15	42
2015-09-16	42
2015-09-17	60
2015-09-18	51
2015-09-19	35
2015-09-20	38
2015-09-21	44
2015-09-22	50
2015-09-23	60
2015-09-24	49
2015-09-25	38
2015-09-26	40
2015-09-27	45
2015-09-28	39
2015-09-29	51
2015-09-30	44
2015-10-01	50
2015-10-02	31
2015-10-03	43
2015-10-04	53
2015-10-05	38
2015-10-06	43
2015-10-07	60
2015-10-08	50
2015-10-09	52
2015-10-10	48
2015-10-11	46
2015-10-12	39
2015-10-13	46
2015-10-14	44
2015-10-15	41
2015-10-16	47
2015-10-17	47
2015-10-18	48
2015-10-19	44
2015-10-20	41
2015-10-21	58
2015-10-22	42
2015-10-23	35
2015-10-24	54
2015-10-25	52
2015-10-26	39
2015-10-27	48
2015-10-28	42
2015-10-29	48
2015-10-30	52
2015-10-31	48
2015-11-01	54
2015-11-02	32
2015-11-03	44
2015-11-04	61
2015-11-05	48
2015-11-06	54
2015-11-07	48
2015-11-08	68
2015-11-09	62
2015-11-10	86
2015-11-11	90
2015-11-12	76
2015-11-13	94
2015-11-14	89
2015-11-15	98
2015-11-16	89
2015-11-17	95
2015-11-18	62
2015-11-19	76
2015-11-20	59
2015-11-21	60
2015-11-22	61
2015-11-23	61
2015-11-24	74
2015-11-25	78
2015-11-26	66
2015-11-27	60
2015-11-28	64
2015-11-29	95
2015-11-30	67
2015-12-01	70
2015-12-02	73
2015-12-03	90
2015-12-04	65
2015-12-05	56
2015-12-06	62
2015-12-07	80
2015-12-08	84
2015-12-09	67
2015-12-10	80
2015-12-11	88
2015-12-12	79
2015-12-13	62
2015-12-14	66
2015-12-15	60
2015-12-16	51
2015-12-17	65
2015-12-18	66
2015-12-19	62
2015-12-20	55
2015-12-21	82
2015-12-22	75
2015-12-23	70
2015-12-24	65
2015-12-25	41
2015-12-26	39
2015-12-27	54
2015-12-28	55
2015-12-29	74
2015-12-30	41
2015-12-31	52
2016-01-01	26
2016-01-02	56
2016-01-03	53
2016-01-04	72
2016-01-05	79
2016-01-06	65
2016-01-07	66
2016-01-08	48
2016-01-09	47
2016-01-10	54
2016-01-11	54
2016-01-12	34
2016-01-13	65
2016-01-14	68
2016-01-15	42
2016-01-16	66
2016-01-17	97
2016-01-18	51
2016-01-19	63
2016-01-20	70
2016-01-21	55
2016-01-22	70
2016-01-23	46
2016-01-24	67
2016-01-25	80
2016-01-26	57
2016-01-27	49
2016-01-28	64
2016-01-29	69
2016-01-30	78
2016-01-31	63
2016-02-01	79
2016-02-02	74
2016-02-03	70
2016-02-04	60
2016-02-05	63
2016-02-06	55
2016-02-07	76
2016-02-08	105
2016-02-09	102
2016-02-10	46
2016-02-11	106
2016-02-12	92
2016-02-13	98
2016-02-14	133
2016-02-15	88
2016-02-16	74
2016-02-17	76
2016-02-18	52
2016-02-19	81
2016-02-20	82
2016-02-21	84
2016-02-22	70
2016-02-23	63
2016-02-24	72
2016-02-25	57
2016-02-26	87
2016-02-27	64
2016-02-28	75
2016-02-29	43
2016-03-01	54
2016-03-02	72
2016-03-03	65
2016-03-04	50
2016-03-05	46
2016-03-06	60
2016-03-07	76
2016-03-08	59
2016-03-09	71
2016-03-10	62
2016-03-11	67
2016-03-12	64
2016-03-13	64
2016-03-14	103
2016-03-15	78
2016-03-16	78
2016-03-17	53
2016-03-18	80
2016-03-19	84
2016-03-20	55
2016-03-21	55
2016-03-22	58
2016-03-23	61
2016-03-24	49
2016-03-25	47
2016-03-26	78
2016-03-27	56
2016-03-28	75
2016-03-29	72
2016-03-30	57
2016-03-31	56
2016-04-01	74
2016-04-02	70
2016-04-03	76
2016-04-04	74
2016-04-05	66
2016-04-06	66
2016-04-07	59
2016-04-08	42
2016-04-09	76
2016-04-10	65
2016-04-11	54
2016-04-12	69
2016-04-13	67
2016-04-14	55
2016-04-15	41
2016-04-16	58
2016-04-17	60
2016-04-18	37
2016-04-19	52
2016-04-20	63
2016-04-21	60
2016-04-22	64
2016-04-23	50
2016-04-24	64
2016-04-25	48
2016-04-26	57
2016-04-27	51
2016-04-28	56
2016-04-29	51
2016-04-30	43
2016-05-01	67
2016-05-02	76
2016-05-03	50
2016-05-04	59
2016-05-05	62
2016-05-06	37
2016-05-07	46
2016-05-08	72
2016-05-09	60
2016-05-10	71
2016-05-11	58
2016-05-12	60
2016-05-13	65
2016-05-14	61
2016-05-15	72
2016-05-16	57
2016-05-17	51
2016-05-18	47
2016-05-19	52
2016-05-20	52
2016-05-21	57
2016-05-22	56
2016-05-23	53
2016-05-24	49
2016-05-25	64
2016-05-26	52
2016-05-27	49
2016-05-28	59
2016-05-29	67
2016-05-30	64
2016-05-31	71
