date	freq
2015-06-01	1390
2015-06-02	1368
2015-06-03	1358
2015-06-04	1357
2015-06-05	1406
2015-06-06	1311
2015-06-07	1598
2015-06-08	1463
2015-06-09	916
2015-06-10	1072
2015-06-11	1908
2015-06-12	1864
2015-06-13	1755
2015-06-14	1783
2015-06-15	1647
2015-06-16	1494
2015-06-17	1600
2015-06-18	1529
2015-06-19	1472
2015-06-20	1461
2015-06-21	1561
2015-06-22	1497
2015-06-23	1472
2015-06-24	1502
2015-06-25	1384
2015-06-26	1801
2015-06-27	1746
2015-06-28	1762
2015-06-29	1528
2015-06-30	1414
2015-07-01	1366
2015-07-02	1403
2015-07-03	1303
2015-07-04	1395
2015-07-05	1623
2015-07-06	1505
2015-07-07	1444
2015-07-08	1695
2015-07-09	1553
2015-07-10	1305
2015-07-11	1410
2015-07-12	1429
2015-07-13	1576
2015-07-14	1474
2015-07-15	1605
2015-07-16	1526
2015-07-17	1368
2015-07-18	1422
2015-07-19	1496
2015-07-20	1632
2015-07-21	1552
2015-07-22	1577
2015-07-23	1587
2015-07-24	1515
2015-07-25	1565
2015-07-26	1583
2015-07-27	1608
2015-07-28	1576
2015-07-29	1692
2015-07-30	1635
2015-07-31	1567
2015-08-01	1550
2015-08-02	1567
2015-08-03	1438
2015-08-04	1720
2015-08-05	1580
2015-08-06	1550
2015-08-07	1569
2015-08-08	1471
2015-08-09	1594
2015-08-10	3772
2015-08-11	1950
2015-08-12	1632
2015-08-13	1846
2015-08-14	1516
2015-08-15	1547
2015-08-16	1843
2015-08-17	2209
2015-08-18	1803
2015-08-19	2507
2015-08-20	2393
2015-08-21	1570
2015-08-22	1630
2015-08-23	1580
2015-08-24	1705
2015-08-25	1570
2015-08-26	1697
2015-08-27	1757
2015-08-28	1698
2015-08-29	1553
2015-08-30	1688
2015-08-31	1527
2015-09-01	1517
2015-09-02	1437
2015-09-03	1875
2015-09-04	1499
2015-09-05	1637
2015-09-06	1628
2015-09-07	1568
2015-09-08	1626
2015-09-09	1601
2015-09-10	1470
2015-09-11	1372
2015-09-12	1468
2015-09-13	1921
2015-09-14	1538
2015-09-15	1482
2015-09-16	1446
2015-09-17	1340
2015-09-18	1329
2015-09-19	1347
2015-09-20	1493
2015-09-21	2140
2015-09-22	1521
2015-09-23	1690
2015-09-24	1343
2015-09-25	1285
2015-09-26	1356
2015-09-27	2361
2015-09-28	1847
2015-09-29	1488
2015-09-30	1446
2015-10-01	1415
2015-10-02	1215
2015-10-03	1269
2015-10-04	1524
2015-10-05	1434
2015-10-06	1651
2015-10-07	1465
2015-10-08	1404
2015-10-09	1248
