date	freq
2015-06-01	9539
2015-06-02	9085
2015-06-03	9226
2015-06-04	8902
2015-06-05	9291
2015-06-06	8395
2015-06-07	8125
2015-06-08	9326
2015-06-09	8873
2015-06-10	8722
2015-06-11	8641
2015-06-12	8707
2015-06-13	7819
2015-06-14	7509
2015-06-15	8360
2015-06-16	8646
2015-06-17	8571
2015-06-18	9203
2015-06-19	8892
2015-06-20	7652
2015-06-21	7865
2015-06-22	8303
2015-06-23	8985
2015-06-24	9395
2015-06-25	8745
2015-06-26	8529
2015-06-27	8076
2015-06-28	8092
2015-06-29	8715
2015-06-30	8554
2015-07-01	8359
2015-07-02	8586
2015-07-03	8436
2015-07-04	7642
2015-07-05	7199
2015-07-06	7913
2015-07-07	7798
2015-07-08	8220
2015-07-09	8631
2015-07-10	8151
2015-07-11	7837
2015-07-12	7401
2015-07-13	7925
2015-07-14	8148
2015-07-15	8938
2015-07-16	9047
2015-07-17	8262
2015-07-18	7250
2015-07-19	7038
2015-07-20	7568
2015-07-21	8102
2015-07-22	8531
2015-07-23	8753
2015-07-24	8243
2015-07-25	7668
2015-07-26	7414
2015-07-27	7994
2015-07-28	7937
2015-07-29	8464
2015-07-30	8543
2015-07-31	8111
2015-08-01	7866
2015-08-02	7945
2015-08-03	8091
2015-08-04	8438
2015-08-05	8400
2015-08-06	8861
2015-08-07	8279
2015-08-08	7380
2015-08-09	7743
2015-08-10	7874
2015-08-11	7985
2015-08-12	8180
2015-08-13	8517
2015-08-14	7837
2015-08-15	8183
2015-08-16	7920
2015-08-17	8497
2015-08-18	8724
2015-08-19	8606
2015-08-20	8888
2015-08-21	8772
2015-08-22	8249
2015-08-23	8055
2015-08-24	9722
2015-08-25	9738
2015-08-26	9005
2015-08-27	8976
2015-08-28	8712
2015-08-29	8234
2015-08-30	7934
2015-08-31	8646
2015-09-01	8893
2015-09-02	8760
2015-09-03	9187
2015-09-04	8978
2015-09-05	8314
2015-09-06	8639
2015-09-07	9113
2015-09-08	8929
2015-09-09	8731
2015-09-10	8644
2015-09-11	8552
2015-09-12	7798
2015-09-13	7971
2015-09-14	8575
2015-09-15	8990
2015-09-16	9194
2015-09-17	9542
2015-09-18	9814
2015-09-19	9133
2015-09-20	8732
2015-09-21	8863
2015-09-22	9244
2015-09-23	10187
2015-09-24	9870
2015-09-25	9607
2015-09-26	9002
2015-09-27	9157
2015-09-28	8950
2015-09-29	9029
2015-09-30	8764
2015-10-01	9059
2015-10-02	9214
2015-10-03	9305
2015-10-04	8596
2015-10-05	9715
2015-10-06	9928
2015-10-07	9304
2015-10-08	9036
2015-10-09	9013
2015-10-10	8200
2015-10-11	7924
2015-10-12	8603
2015-10-13	8947
2015-10-14	9016
2015-10-15	9053
2015-10-16	9167
2015-10-17	8723
2015-10-18	8594
2015-10-19	9142
2015-10-20	9029
2015-10-21	8988
2015-10-22	9433
2015-10-23	8677
2015-10-24	7920
2015-10-25	7977
2015-10-26	8530
2015-10-27	9897
2015-10-28	9929
2015-10-29	9507
2015-10-30	9147
2015-10-31	7904
2015-11-01	7819
2015-11-02	8462
2015-11-03	8343
2015-11-04	8656
2015-11-05	8528
2015-11-06	8706
2015-11-07	8316
2015-11-08	8646
2015-11-09	8531
2015-11-10	8278
2015-11-11	8084
2015-11-12	8031
2015-11-13	7623
2015-11-14	7660
2015-11-15	7519
2015-11-16	7703
2015-11-17	8404
2015-11-18	8740
2015-11-19	8289
