date	freq
2015-06-01	9335
2015-06-02	9161
2015-06-03	9088
2015-06-04	8827
2015-06-05	9241
2015-06-06	8198
2015-06-07	8149
2015-06-08	8231
2015-06-09	8144
2015-06-10	9709
2015-06-11	9986
2015-06-12	9143
2015-06-13	9391
2015-06-14	9224
2015-06-15	9545
2015-06-16	9433
2015-06-17	10130
2015-06-18	9639
2015-06-19	9114
2015-06-20	8437
2015-06-21	7407
2015-06-22	7740
2015-06-23	10254
2015-06-24	10774
2015-06-25	8948
2015-06-26	9112
2015-06-27	10570
2015-06-28	8518
2015-06-29	9164
2015-06-30	9047
2015-07-01	8699
2015-07-02	9476
2015-07-03	8986
2015-07-04	8228
2015-07-05	7515
2015-07-06	8625
2015-07-07	7895
2015-07-08	9462
2015-07-09	9933
2015-07-10	8736
2015-07-11	7916
2015-07-12	7807
2015-07-13	7697
2015-07-14	8394
2015-07-15	9788
2015-07-16	9203
2015-07-17	8692
2015-07-18	7768
2015-07-19	7672
2015-07-20	9112
2015-07-21	8480
2015-07-22	9912
2015-07-23	9422
2015-07-24	9370
2015-07-25	8648
2015-07-26	7045
2015-07-27	9150
2015-07-28	9608
2015-07-29	9930
2015-07-30	10713
2015-07-31	11305
2015-08-01	10556
2015-08-02	8920
2015-08-03	8977
2015-08-04	9653
2015-08-05	9912
2015-08-06	10253
2015-08-07	10024
2015-08-08	7901
2015-08-09	7800
2015-08-10	8085
2015-08-11	8929
2015-08-12	11381
2015-08-13	10686
2015-08-14	9356
2015-08-15	9557
2015-08-16	8634
2015-08-17	9705
2015-08-18	11166
2015-08-19	9270
2015-08-20	10085
2015-08-21	8844
2015-08-22	8178
2015-08-23	8004
2015-08-24	24823
2015-08-25	10494
2015-08-26	11095
2015-08-27	10939
2015-08-28	8586
2015-08-29	8128
2015-08-30	7664
2015-08-31	8332
2015-09-01	8328
2015-09-02	10984
2015-09-03	10917
2015-09-04	10482
2015-09-05	9849
2015-09-06	9218
2015-09-07	8496
2015-09-08	8053
2015-09-09	9497
2015-09-10	9463
2015-09-11	9160
2015-09-12	8217
2015-09-13	7851
2015-09-14	10074
2015-09-15	9975
