date	freq
2015-06-01	249
2015-06-02	266
2015-06-03	269
2015-06-04	263
2015-06-05	249
2015-06-06	252
2015-06-07	219
2015-06-08	283
2015-06-09	260
2015-06-10	274
2015-06-11	259
2015-06-12	246
2015-06-13	245
2015-06-14	226
2015-06-15	245
2015-06-16	237
2015-06-17	242
2015-06-18	264
2015-06-19	289
2015-06-20	266
2015-06-21	273
2015-06-22	282
2015-06-23	247
2015-06-24	226
2015-06-25	277
2015-06-26	247
2015-06-27	244
2015-06-28	242
2015-06-29	303
2015-06-30	236
2015-07-01	241
2015-07-02	253
2015-07-03	251
2015-07-04	227
2015-07-05	252
2015-07-06	237
2015-07-07	259
2015-07-08	250
2015-07-09	225
2015-07-10	227
2015-07-11	211
2015-07-12	214
2015-07-13	230
2015-07-14	207
2015-07-15	182
2015-07-16	226
2015-07-17	214
2015-07-18	193
2015-07-19	211
2015-07-20	211
2015-07-21	169
2015-07-22	196
2015-07-23	202
2015-07-24	192
2015-07-25	207
2015-07-26	199
2015-07-27	219
2015-07-28	214
2015-07-29	219
2015-07-30	200
2015-07-31	181
2015-08-01	204
2015-08-02	186
2015-08-03	209
2015-08-04	183
2015-08-05	188
2015-08-06	184
2015-08-07	194
2015-08-08	193
2015-08-09	185
2015-08-10	166
2015-08-11	192
2015-08-12	213
2015-08-13	203
2015-08-14	190
2015-08-15	195
2015-08-16	201
2015-08-17	218
2015-08-18	282
2015-08-19	208
2015-08-20	203
2015-08-21	213
2015-08-22	200
2015-08-23	229
2015-08-24	208
2015-08-25	234
2015-08-26	234
2015-08-27	200
2015-08-28	235
2015-08-29	237
2015-08-30	246
2015-08-31	207
2015-09-01	236
2015-09-02	256
2015-09-03	248
2015-09-04	258
2015-09-05	217
2015-09-06	243
2015-09-07	255
2015-09-08	258
2015-09-09	254
2015-09-10	271
2015-09-11	233
2015-09-12	228
2015-09-13	219
2015-09-14	252
2015-09-15	264
2015-09-16	286
2015-09-17	271
2015-09-18	298
2015-09-19	252
2015-09-20	266
2015-09-21	291
2015-09-22	288
2015-09-23	307
2015-09-24	296
2015-09-25	241
2015-09-26	244
2015-09-27	306
2015-09-28	284
2015-09-29	252
2015-09-30	238
2015-10-01	256
2015-10-02	219
2015-10-03	259
2015-10-04	254
2015-10-05	244
2015-10-06	243
2015-10-07	265
2015-10-08	251
2015-10-09	259
2015-10-10	276
2015-10-11	268
2015-10-12	282
2015-10-13	264
2015-10-14	256
2015-10-15	260
2015-10-16	279
2015-10-17	267
2015-10-18	246
2015-10-19	306
2015-10-20	257
2015-10-21	267
2015-10-22	279
2015-10-23	291
2015-10-24	240
2015-10-25	272
2015-10-26	248
2015-10-27	245
2015-10-28	254
2015-10-29	248
2015-10-30	261
2015-10-31	240
2015-11-01	224
2015-11-02	282
2015-11-03	270
2015-11-04	228
2015-11-05	246
2015-11-06	260
2015-11-07	223
2015-11-08	303
2015-11-09	267
2015-11-10	272
2015-11-11	234
2015-11-12	243
2015-11-13	283
2015-11-14	290
2015-11-15	288
2015-11-16	251
2015-11-17	308
2015-11-18	294
2015-11-19	246
2015-11-20	284
2015-11-21	267
2015-11-22	240
2015-11-23	274
2015-11-24	251
2015-11-25	239
2015-11-26	273
2015-11-27	259
2015-11-28	258
2015-11-29	303
2015-11-30	275
2015-12-01	282
2015-12-02	249
2015-12-03	273
2015-12-04	247
2015-12-05	245
2015-12-06	246
2015-12-07	264
2015-12-08	264
2015-12-09	261
2015-12-10	267
2015-12-11	278
2015-12-12	269
2015-12-13	244
2015-12-14	259
2015-12-15	254
2015-12-16	251
2015-12-17	259
2015-12-18	235
2015-12-19	220
2015-12-20	263
2015-12-21	247
2015-12-22	237
2015-12-23	282
2015-12-24	351
2015-12-25	498
2015-12-26	320
2015-12-27	253
2015-12-28	251
2015-12-29	240
2015-12-30	292
2015-12-31	215
2016-01-01	132
2016-01-02	160
2016-01-03	188
2016-01-04	241
2016-01-05	263
2016-01-06	267
2016-01-07	285
2016-01-08	301
2016-01-09	293
2016-01-10	294
2016-01-11	309
2016-01-12	281
2016-01-13	325
