date	freq
2015-06-01	48
2015-06-02	62
2015-06-03	47
2015-06-04	38
2015-06-05	52
2015-06-06	52
2015-06-07	61
2015-06-08	44
2015-06-09	44
2015-06-10	60
2015-06-11	68
2015-06-12	46
2015-06-13	129
2015-06-14	82
2015-06-15	52
2015-06-16	63
2015-06-17	57
2015-06-18	59
2015-06-19	62
2015-06-20	69
2015-06-21	56
2015-06-22	44
2015-06-23	69
2015-06-24	55
2015-06-25	45
2015-06-26	58
2015-06-27	54
2015-06-28	50
2015-06-29	59
2015-06-30	51
2015-07-01	49
2015-07-02	55
2015-07-03	40
2015-07-04	52
2015-07-05	62
2015-07-06	54
2015-07-07	58
2015-07-08	51
2015-07-09	58
2015-07-10	37
2015-07-11	62
2015-07-12	60
2015-07-13	49
2015-07-14	63
2015-07-15	59
2015-07-16	50
2015-07-17	48
2015-07-18	45
2015-07-19	43
2015-07-20	55
2015-07-21	36
2015-07-22	37
2015-07-23	63
2015-07-24	46
2015-07-25	69
2015-07-26	53
2015-07-27	57
2015-07-28	47
2015-07-29	67
2015-07-30	41
2015-07-31	42
2015-08-01	36
2015-08-02	43
2015-08-03	54
2015-08-04	42
2015-08-05	47
2015-08-06	43
2015-08-07	53
2015-08-08	51
2015-08-09	47
2015-08-10	52
2015-08-11	66
2015-08-12	56
2015-08-13	39
2015-08-14	77
2015-08-15	50
2015-08-16	48
2015-08-17	56
2015-08-18	74
2015-08-19	43
2015-08-20	43
2015-08-21	46
2015-08-22	41
2015-08-23	78
2015-08-24	55
2015-08-25	56
2015-08-26	44
2015-08-27	98
2015-08-28	72
2015-08-29	66
2015-08-30	64
2015-08-31	59
2015-09-01	56
2015-09-02	64
2015-09-03	57
2015-09-04	52
2015-09-05	71
2015-09-06	65
2015-09-07	34
2015-09-08	52
2015-09-09	67
2015-09-10	60
2015-09-11	55
2015-09-12	54
2015-09-13	68
2015-09-14	62
2015-09-15	51
2015-09-16	52
2015-09-17	46
2015-09-18	49
2015-09-19	58
2015-09-20	39
2015-09-21	83
2015-09-22	158
2015-09-23	48
2015-09-24	57
2015-09-25	55
2015-09-26	61
2015-09-27	79
2015-09-28	53
2015-09-29	48
2015-09-30	44
2015-10-01	59
2015-10-02	44
2015-10-03	52
2015-10-04	55
2015-10-05	49
2015-10-06	55
2015-10-07	51
2015-10-08	68
2015-10-09	46
2015-10-10	58
2015-10-11	61
2015-10-12	53
2015-10-13	68
2015-10-14	48
2015-10-15	45
2015-10-16	65
2015-10-17	80
2015-10-18	82
2015-10-19	63
2015-10-20	54
2015-10-21	51
2015-10-22	47
