date	freq
2015-06-01	26
2015-06-02	20
2015-06-03	31
2015-06-04	29
2015-06-05	27
2015-06-06	42
2015-06-07	31
2015-06-08	46
2015-06-09	32
2015-06-10	25
2015-06-11	26
2015-06-12	34
2015-06-13	31
2015-06-14	21
2015-06-15	25
2015-06-16	28
2015-06-17	29
2015-06-18	28
2015-06-19	30
2015-06-20	27
2015-06-21	39
2015-06-22	38
2015-06-23	32
2015-06-24	34
2015-06-25	23
2015-06-26	35
2015-06-27	23
2015-06-28	30
2015-06-29	34
2015-06-30	28
2015-07-01	28
2015-07-02	41
2015-07-03	25
2015-07-04	28
2015-07-05	37
2015-07-06	23
2015-07-07	27
2015-07-08	29
2015-07-09	28
2015-07-10	23
2015-07-11	31
2015-07-12	23
2015-07-13	26
2015-07-14	25
2015-07-15	23
2015-07-16	21
2015-07-17	25
2015-07-18	24
2015-07-19	18
2015-07-20	17
2015-07-21	22
2015-07-22	15
2015-07-23	18
2015-07-24	13
2015-07-25	22
2015-07-26	21
2015-07-27	17
2015-07-28	31
2015-07-29	26
2015-07-30	26
2015-07-31	21
2015-08-01	23
2015-08-02	26
2015-08-03	23
2015-08-04	20
2015-08-05	18
2015-08-06	22
2015-08-07	24
2015-08-08	26
2015-08-09	21
2015-08-10	20
2015-08-11	21
2015-08-12	19
2015-08-13	27
2015-08-14	16
2015-08-15	22
2015-08-16	22
2015-08-17	15
2015-08-18	17
2015-08-19	15
2015-08-20	25
2015-08-21	25
2015-08-22	27
2015-08-23	17
2015-08-24	16
2015-08-25	32
2015-08-26	19
2015-08-27	22
2015-08-28	31
2015-08-29	34
2015-08-30	35
2015-08-31	20
2015-09-01	32
2015-09-02	28
2015-09-03	31
2015-09-04	26
2015-09-05	20
2015-09-06	37
2015-09-07	24
2015-09-08	36
2015-09-09	33
2015-09-10	33
2015-09-11	36
2015-09-12	31
2015-09-13	20
2015-09-14	34
2015-09-15	20
2015-09-16	40
2015-09-17	30
2015-09-18	31
2015-09-19	30
2015-09-20	29
2015-09-21	30
2015-09-22	29
2015-09-23	24
2015-09-24	31
2015-09-25	35
2015-09-26	31
2015-09-27	33
2015-09-28	35
2015-09-29	20
2015-09-30	24
2015-10-01	26
2015-10-02	26
2015-10-03	20
2015-10-04	17
2015-10-05	30
2015-10-06	32
2015-10-07	32
2015-10-08	25
2015-10-09	29
2015-10-10	18
2015-10-11	36
2015-10-12	32
2015-10-13	22
2015-10-14	30
2015-10-15	39
2015-10-16	35
2015-10-17	33
2015-10-18	38
2015-10-19	43
2015-10-20	37
2015-10-21	38
2015-10-22	32
2015-10-23	45
2015-10-24	29
2015-10-25	23
2015-10-26	27
2015-10-27	29
2015-10-28	44
2015-10-29	36
2015-10-30	42
2015-10-31	39
2015-11-01	39
2015-11-02	42
2015-11-03	37
2015-11-04	31
2015-11-05	46
2015-11-06	45
2015-11-07	43
2015-11-08	43
2015-11-09	57
2015-11-10	54
2015-11-11	43
2015-11-12	38
2015-11-13	46
2015-11-14	46
2015-11-15	40
2015-11-16	47
2015-11-17	35
2015-11-18	47
2015-11-19	38
2015-11-20	44
2015-11-21	47
2015-11-22	36
2015-11-23	54
2015-11-24	38
2015-11-25	31
2015-11-26	46
2015-11-27	55
2015-11-28	37
2015-11-29	46
2015-11-30	59
2015-12-01	64
2015-12-02	66
2015-12-03	65
2015-12-04	56
2015-12-05	54
2015-12-06	73
2015-12-07	64
2015-12-08	57
2015-12-09	70
2015-12-10	85
2015-12-11	78
2015-12-12	61
2015-12-13	69
2015-12-14	70
2015-12-15	80
2015-12-16	73
2015-12-17	76
2015-12-18	88
2015-12-19	71
2015-12-20	84
2015-12-21	63
2015-12-22	68
2015-12-23	94
2015-12-24	106
2015-12-25	94
2015-12-26	69
2015-12-27	36
2015-12-28	42
2015-12-29	36
2015-12-30	27
2015-12-31	19
2016-01-01	13
2016-01-02	20
2016-01-03	25
2016-01-04	26
2016-01-05	26
2016-01-06	32
2016-01-07	39
2016-01-08	37
2016-01-09	30
2016-01-10	45
2016-01-11	30
2016-01-12	37
2016-01-13	36
2016-01-14	35
2016-01-15	34
2016-01-16	40
2016-01-17	29
2016-01-18	37
2016-01-19	41
2016-01-20	48
2016-01-21	43
2016-01-22	42
2016-01-23	45
2016-01-24	66
2016-01-25	46
2016-01-26	53
2016-01-27	39
2016-01-28	42
2016-01-29	34
2016-01-30	36
2016-01-31	41
2016-02-01	57
2016-02-02	48
2016-02-03	32
2016-02-04	46
2016-02-05	43
2016-02-06	52
2016-02-07	59
2016-02-08	58
2016-02-09	50
2016-02-10	53
2016-02-11	62
2016-02-12	70
2016-02-13	104
2016-02-14	211
2016-02-15	123
2016-02-16	58
2016-02-17	57
2016-02-18	37
2016-02-19	41
2016-02-20	47
2016-02-21	46
2016-02-22	48
2016-02-23	42
2016-02-24	37
2016-02-25	42
2016-02-26	50
2016-02-27	32
2016-02-28	31
2016-02-29	43
2016-03-01	34
2016-03-02	39
2016-03-03	34
2016-03-04	26
2016-03-05	30
2016-03-06	36
2016-03-07	26
2016-03-08	37
2016-03-09	33
2016-03-10	31
2016-03-11	30
2016-03-12	41
2016-03-13	46
2016-03-14	43
2016-03-15	28
2016-03-16	31
2016-03-17	19
2016-03-18	22
2016-03-19	31
2016-03-20	26
2016-03-21	30
2016-03-22	30
2016-03-23	23
2016-03-24	34
2016-03-25	39
2016-03-26	25
2016-03-27	38
2016-03-28	27
2016-03-29	18
2016-03-30	32
2016-03-31	20
2016-04-01	33
2016-04-02	26
2016-04-03	27
2016-04-04	27
2016-04-05	33
2016-04-06	26
2016-04-07	26
2016-04-08	32
2016-04-09	32
2016-04-10	18
2016-04-11	31
2016-04-12	33
2016-04-13	36
2016-04-14	21
2016-04-15	28
2016-04-16	17
2016-04-17	25
2016-04-18	21
2016-04-19	23
2016-04-20	14
2016-04-21	35
2016-04-22	26
2016-04-23	39
2016-04-24	29
2016-04-25	38
2016-04-26	30
2016-04-27	29
2016-04-28	16
2016-04-29	23
2016-04-30	29
2016-05-01	18
2016-05-02	25
2016-05-03	26
2016-05-04	21
2016-05-05	22
2016-05-06	18
2016-05-07	32
2016-05-08	33
2016-05-09	25
2016-05-10	18
2016-05-11	30
2016-05-12	28
2016-05-13	25
2016-05-14	21
2016-05-15	21
2016-05-16	33
2016-05-17	23
2016-05-18	27
2016-05-19	25
2016-05-20	30
2016-05-21	20
2016-05-22	21
2016-05-23	31
2016-05-24	37
2016-05-25	26
2016-05-26	26
2016-05-27	17
2016-05-28	31
2016-05-29	21
2016-05-30	25
2016-05-31	31
