date	freq
2015-06-01	3
2015-06-02	6
2015-06-03	2
2015-06-04	8
2015-06-05	6
2015-06-06	11
2015-06-07	14
2015-06-08	8
2015-06-09	12
2015-06-10	15
2015-06-11	8
2015-06-12	9
2015-06-13	5
2015-06-14	6
2015-06-15	9
2015-06-16	5
2015-06-17	9
2015-06-18	8
2015-06-19	9
2015-06-20	12
2015-06-21	12
2015-06-22	11
2015-06-23	5
2015-06-24	15
2015-06-25	18
2015-06-26	8
2015-06-27	9
2015-06-28	8
2015-06-29	13
2015-06-30	8
2015-07-01	5
2015-07-02	7
2015-07-03	6
2015-07-04	7
2015-07-05	7
2015-07-06	3
2015-07-07	9
2015-07-08	12
2015-07-09	7
2015-07-10	10
2015-07-11	6
2015-07-12	6
2015-07-13	10
2015-07-14	6
2015-07-15	5
2015-07-16	5
2015-07-17	13
2015-07-18	8
2015-07-19	3
2015-07-20	5
2015-07-21	7
2015-07-22	5
2015-07-23	4
2015-07-24	5
2015-07-25	4
2015-07-26	9
2015-07-27	7
2015-07-28	7
2015-07-29	8
2015-07-30	7
2015-07-31	7
2015-08-01	4
2015-08-02	2
2015-08-03	10
2015-08-04	7
2015-08-05	5
2015-08-06	6
2015-08-07	8
2015-08-08	4
2015-08-09	6
2015-08-10	4
2015-08-11	8
2015-08-12	13
2015-08-13	6
2015-08-14	7
2015-08-15	13
2015-08-16	13
2015-08-17	8
2015-08-18	6
2015-08-19	6
2015-08-20	13
2015-08-21	9
2015-08-22	9
2015-08-23	3
2015-08-24	5
2015-08-25	13
2015-08-26	10
2015-08-27	15
2015-08-28	9
2015-08-29	6
2015-08-30	11
2015-08-31	12
2015-09-01	9
2015-09-02	3
2015-09-03	3
2015-09-04	3
2015-09-05	13
2015-09-06	13
2015-09-07	8
2015-09-08	7
2015-09-09	8
2015-09-10	7
2015-09-11	11
2015-09-12	12
2015-09-13	6
2015-09-14	7
2015-09-15	4
2015-09-16	4
2015-09-17	8
2015-09-18	2
2015-09-19	10
2015-09-20	8
2015-09-21	10
2015-09-22	7
2015-09-23	5
2015-09-24	11
2015-09-25	9
2015-09-26	3
2015-09-27	9
2015-09-28	2
2015-09-29	5
2015-09-30	5
2015-10-01	8
2015-10-02	5
2015-10-03	6
