date	freq
2015-06-01	5
2015-06-02	6
2015-06-03	3
2015-06-04	1
2015-06-05	2
2015-06-06	1
2015-06-07	0
2015-06-08	6
2015-06-09	5
2015-06-10	4
2015-06-11	6
2015-06-12	6
2015-06-13	7
2015-06-14	2
2015-06-15	1
2015-06-16	1
2015-06-17	0
2015-06-18	0
2015-06-19	0
2015-06-20	3
2015-06-21	4
2015-06-22	1
2015-06-23	2
2015-06-24	2
2015-06-25	1
2015-06-26	3
2015-06-27	6
2015-06-28	2
2015-06-29	2
2015-06-30	2
2015-07-01	1
2015-07-02	8
2015-07-03	1
2015-07-04	1
2015-07-05	2
2015-07-06	0
2015-07-07	2
2015-07-08	5
2015-07-09	2
2015-07-10	4
2015-07-11	2
2015-07-12	2
2015-07-13	5
2015-07-14	4
2015-07-15	2
2015-07-16	0
2015-07-17	5
2015-07-18	3
2015-07-19	4
2015-07-20	0
2015-07-21	6
2015-07-22	4
2015-07-23	4
2015-07-24	1
2015-07-25	0
2015-07-26	2
2015-07-27	1
2015-07-28	4
2015-07-29	1
2015-07-30	5
2015-07-31	3
2015-08-01	1
2015-08-02	1
2015-08-03	3
2015-08-04	4
2015-08-05	2
2015-08-06	3
2015-08-07	2
2015-08-08	3
2015-08-09	1
2015-08-10	8
2015-08-11	5
2015-08-12	3
2015-08-13	4
2015-08-14	2
2015-08-15	0
2015-08-16	3
2015-08-17	2
2015-08-18	3
2015-08-19	3
2015-08-20	1
2015-08-21	2
2015-08-22	0
2015-08-23	5
2015-08-24	3
2015-08-25	1
2015-08-26	3
2015-08-27	4
2015-08-28	2
2015-08-29	3
2015-08-30	4
2015-08-31	0
2015-09-01	3
2015-09-02	3
2015-09-03	1
2015-09-04	2
2015-09-05	1
2015-09-06	1
2015-09-07	4
2015-09-08	1
2015-09-09	2
2015-09-10	0
2015-09-11	3
2015-09-12	3
2015-09-13	2
2015-09-14	1
2015-09-15	1
2015-09-16	4
2015-09-17	1
2015-09-18	2
2015-09-19	3
2015-09-20	2
2015-09-21	4
2015-09-22	0
2015-09-23	4
2015-09-24	1
2015-09-25	1
2015-09-26	1
2015-09-27	2
2015-09-28	2
2015-09-29	3
2015-09-30	2
2015-10-01	3
2015-10-02	0
2015-10-03	1
2015-10-04	2
2015-10-05	0
2015-10-06	0
2015-10-07	4
2015-10-08	1
2015-10-09	1
2015-10-10	3
2015-10-11	2
2015-10-12	2
2015-10-13	3
2015-10-14	3
2015-10-15	5
2015-10-16	5
2015-10-17	1
2015-10-18	2
2015-10-19	4
2015-10-20	5
2015-10-21	1
2015-10-22	2
2015-10-23	0
2015-10-24	1
2015-10-25	2
2015-10-26	2
2015-10-27	3
2015-10-28	3
2015-10-29	7
2015-10-30	5
2015-10-31	3
2015-11-01	2
2015-11-02	2
2015-11-03	2
2015-11-04	1
2015-11-05	2
2015-11-06	3
2015-11-07	3
2015-11-08	7
2015-11-09	4
2015-11-10	3
2015-11-11	5
2015-11-12	2
2015-11-13	1
2015-11-14	3
2015-11-15	5
2015-11-16	4
2015-11-17	2
2015-11-18	2
2015-11-19	1
2015-11-20	2
2015-11-21	3
2015-11-22	8
2015-11-23	1
2015-11-24	2
2015-11-25	3
2015-11-26	3
2015-11-27	3
2015-11-28	3
2015-11-29	1
2015-11-30	1
2015-12-01	3
2015-12-02	4
2015-12-03	1
2015-12-04	3
2015-12-05	3
2015-12-06	2
2015-12-07	3
2015-12-08	1
2015-12-09	2
2015-12-10	3
2015-12-11	6
2015-12-12	5
2015-12-13	5
2015-12-14	2
2015-12-15	3
2015-12-16	0
2015-12-17	1
2015-12-18	1
2015-12-19	1
2015-12-20	0
2015-12-21	2
2015-12-22	3
2015-12-23	2
2015-12-24	1
2015-12-25	2
2015-12-26	5
2015-12-27	3
2015-12-28	2
2015-12-29	5
2015-12-30	1
2015-12-31	1
2016-01-01	3
2016-01-02	4
2016-01-03	3
2016-01-04	3
2016-01-05	2
2016-01-06	4
2016-01-07	2
2016-01-08	2
2016-01-09	3
2016-01-10	5
2016-01-11	1
2016-01-12	1
2016-01-13	3
2016-01-14	2
2016-01-15	4
2016-01-16	3
2016-01-17	4
2016-01-18	3
2016-01-19	3
2016-01-20	1
2016-01-21	2
2016-01-22	5
2016-01-23	1
2016-01-24	4
2016-01-25	0
2016-01-26	0
2016-01-27	3
2016-01-28	1
2016-01-29	1
2016-01-30	2
2016-01-31	1
2016-02-01	0
2016-02-02	0
2016-02-03	1
2016-02-04	4
2016-02-05	2
2016-02-06	2
2016-02-07	4
2016-02-08	5
2016-02-09	0
2016-02-10	2
2016-02-11	10
2016-02-12	2
2016-02-13	0
2016-02-14	2
2016-02-15	3
2016-02-16	1
2016-02-17	0
2016-02-18	3
2016-02-19	1
2016-02-20	5
2016-02-21	3
2016-02-22	1
2016-02-23	3
2016-02-24	1
2016-02-25	0
2016-02-26	7
2016-02-27	2
2016-02-28	5
2016-02-29	0
2016-03-01	3
2016-03-02	1
2016-03-03	1
2016-03-04	3
2016-03-05	3
2016-03-06	1
2016-03-07	5
2016-03-08	5
2016-03-09	1
2016-03-10	2
2016-03-11	7
2016-03-12	1
2016-03-13	2
2016-03-14	1
2016-03-15	7
2016-03-16	2
2016-03-17	0
2016-03-18	1
2016-03-19	2
2016-03-20	1
2016-03-21	0
2016-03-22	3
2016-03-23	3
2016-03-24	3
2016-03-25	2
2016-03-26	4
2016-03-27	0
2016-03-28	2
2016-03-29	3
2016-03-30	2
2016-03-31	2
2016-04-01	5
2016-04-02	2
2016-04-03	3
2016-04-04	2
2016-04-05	1
2016-04-06	4
2016-04-07	5
2016-04-08	4
2016-04-09	4
2016-04-10	3
2016-04-11	2
2016-04-12	3
2016-04-13	4
2016-04-14	1
2016-04-15	0
2016-04-16	2
2016-04-17	4
2016-04-18	3
2016-04-19	6
2016-04-20	4
2016-04-21	5
2016-04-22	2
2016-04-23	4
2016-04-24	1
2016-04-25	4
2016-04-26	5
2016-04-27	4
2016-04-28	0
2016-04-29	2
2016-04-30	1
2016-05-01	2
2016-05-02	1
2016-05-03	6
2016-05-04	3
2016-05-05	3
2016-05-06	0
2016-05-07	3
2016-05-08	4
2016-05-09	3
2016-05-10	4
2016-05-11	2
2016-05-12	1
2016-05-13	2
2016-05-14	2
2016-05-15	2
2016-05-16	1
2016-05-17	1
2016-05-18	3
2016-05-19	2
2016-05-20	1
2016-05-21	1
2016-05-22	6
2016-05-23	0
2016-05-24	3
2016-05-25	4
2016-05-26	1
2016-05-27	4
2016-05-28	0
2016-05-29	2
2016-05-30	2
2016-05-31	1
