date	freq
2015-06-01	194
2015-06-02	232
2015-06-03	190
2015-06-04	277
2015-06-05	285
2015-06-06	253
2015-06-07	222
2015-06-08	209
2015-06-09	294
2015-06-10	322
2015-06-11	228
2015-06-12	286
2015-06-13	304
2015-06-14	233
2015-06-15	250
2015-06-16	320
2015-06-17	277
2015-06-18	261
2015-06-19	273
2015-06-20	145
2015-06-21	166
2015-06-22	222
2015-06-23	248
2015-06-24	252
2015-06-25	201
2015-06-26	232
2015-06-27	188
2015-06-28	167
2015-06-29	225
2015-06-30	274
2015-07-01	264
2015-07-02	211
2015-07-03	189
2015-07-04	205
2015-07-05	259
2015-07-06	204
2015-07-07	223
2015-07-08	313
2015-07-09	272
2015-07-10	171
2015-07-11	238
2015-07-12	237
2015-07-13	306
2015-07-14	264
2015-07-15	236
2015-07-16	215
2015-07-17	260
2015-07-18	150
2015-07-19	190
2015-07-20	180
2015-07-21	313
2015-07-22	231
2015-07-23	282
2015-07-24	274
2015-07-25	205
2015-07-26	172
2015-07-27	255
2015-07-28	282
2015-07-29	201
2015-07-30	197
2015-07-31	197
2015-08-01	128
2015-08-02	226
2015-08-03	188
2015-08-04	215
2015-08-05	245
2015-08-06	224
2015-08-07	365
2015-08-08	244
2015-08-09	245
2015-08-10	330
2015-08-11	216
2015-08-12	320
2015-08-13	152
2015-08-14	226
2015-08-15	178
2015-08-16	186
2015-08-17	154
2015-08-18	184
2015-08-19	238
2015-08-20	219
2015-08-21	198
2015-08-22	161
2015-08-23	185
2015-08-24	203
2015-08-25	225
2015-08-26	212
2015-08-27	292
2015-08-28	227
2015-08-29	183
2015-08-30	267
2015-08-31	161
2015-09-01	278
2015-09-02	262
2015-09-03	197
2015-09-04	220
2015-09-05	169
2015-09-06	288
2015-09-07	280
2015-09-08	282
2015-09-09	301
2015-09-10	250
2015-09-11	200
2015-09-12	158
2015-09-13	200
2015-09-14	238
2015-09-15	311
2015-09-16	288
2015-09-17	272
2015-09-18	200
2015-09-19	255
2015-09-20	253
2015-09-21	198
2015-09-22	307
2015-09-23	316
2015-09-24	266
2015-09-25	241
2015-09-26	214
2015-09-27	236
2015-09-28	243
2015-09-29	226
2015-09-30	165
2015-10-01	236
2015-10-02	192
2015-10-03	199
2015-10-04	211
2015-10-05	167
2015-10-06	214
2015-10-07	228
2015-10-08	228
2015-10-09	180
2015-10-10	239
2015-10-11	232
2015-10-12	228
2015-10-13	427
2015-10-14	219
2015-10-15	390
2015-10-16	441
2015-10-17	329
2015-10-18	136
2015-10-19	216
2015-10-20	404
2015-10-21	377
2015-10-22	328
2015-10-23	289
2015-10-24	186
2015-10-25	191
2015-10-26	238
2015-10-27	211
2015-10-28	275
2015-10-29	290
2015-10-30	181
2015-10-31	293
2015-11-01	321
2015-11-02	287
2015-11-03	212
2015-11-04	366
2015-11-05	249
2015-11-06	222
2015-11-07	206
2015-11-08	138
2015-11-09	203
2015-11-10	327
2015-11-11	253
2015-11-12	171
2015-11-13	198
2015-11-14	200
2015-11-15	193
2015-11-16	223
2015-11-17	206
2015-11-18	240
2015-11-19	346
2015-11-20	188
2015-11-21	191
2015-11-22	263
2015-11-23	319
2015-11-24	222
2015-11-25	204
2015-11-26	240
2015-11-27	188
2015-11-28	169
2015-11-29	237
2015-11-30	196
2015-12-01	200
2015-12-02	188
2015-12-03	230
2015-12-04	209
2015-12-05	242
2015-12-06	206
2015-12-07	236
2015-12-08	313
2015-12-09	249
2015-12-10	328
2015-12-11	263
2015-12-12	232
2015-12-13	246
2015-12-14	170
2015-12-15	175
2015-12-16	202
2015-12-17	152
2015-12-18	158
2015-12-19	168
2015-12-20	184
2015-12-21	200
2015-12-22	178
2015-12-23	189
2015-12-24	153
2015-12-25	195
2015-12-26	229
2015-12-27	157
2015-12-28	223
2015-12-29	166
2015-12-30	223
2015-12-31	226
2016-01-01	152
2016-01-02	173
2016-01-03	184
2016-01-04	201
2016-01-05	169
2016-01-06	185
2016-01-07	224
2016-01-08	225
2016-01-09	209
2016-01-10	190
2016-01-11	250
2016-01-12	219
2016-01-13	226
2016-01-14	227
2016-01-15	240
2016-01-16	223
2016-01-17	235
2016-01-18	246
2016-01-19	244
2016-01-20	211
2016-01-21	217
2016-01-22	202
2016-01-23	260
2016-01-24	219
2016-01-25	273
2016-01-26	271
2016-01-27	231
2016-01-28	211
2016-01-29	223
2016-01-30	201
2016-01-31	242
2016-02-01	183
2016-02-02	202
2016-02-03	283
2016-02-04	320
2016-02-05	195
2016-02-06	210
2016-02-07	212
2016-02-08	265
2016-02-09	261
2016-02-10	221
2016-02-11	253
2016-02-12	511
2016-02-13	470
2016-02-14	261
2016-02-15	223
2016-02-16	459
2016-02-17	256
2016-02-18	267
2016-02-19	252
2016-02-20	549
2016-02-21	172
2016-02-22	310
2016-02-23	339
2016-02-24	285
2016-02-25	241
2016-02-26	202
2016-02-27	197
2016-02-28	197
2016-02-29	390
2016-03-01	265
2016-03-02	244
2016-03-03	245
2016-03-04	198
2016-03-05	220
2016-03-06	369
2016-03-07	442
2016-03-08	240
2016-03-09	211
2016-03-10	228
2016-03-11	277
2016-03-12	267
2016-03-13	584
2016-03-14	256
2016-03-15	234
2016-03-16	258
2016-03-17	287
2016-03-18	325
2016-03-19	201
2016-03-20	196
2016-03-21	232
2016-03-22	346
2016-03-23	338
2016-03-24	333
2016-03-25	245
2016-03-26	192
2016-03-27	206
2016-03-28	217
2016-03-29	228
2016-03-30	343
2016-03-31	232
2016-04-01	296
2016-04-02	187
2016-04-03	262
2016-04-04	296
2016-04-05	292
2016-04-06	213
2016-04-07	337
2016-04-08	349
2016-04-09	289
2016-04-10	382
2016-04-11	310
2016-04-12	321
2016-04-13	367
2016-04-14	253
2016-04-15	268
2016-04-16	299
2016-04-17	265
2016-04-18	319
2016-04-19	366
2016-04-20	376
2016-04-21	439
2016-04-22	370
2016-04-23	251
2016-04-24	177
2016-04-25	439
2016-04-26	388
2016-04-27	567
2016-04-28	416
2016-04-29	300
2016-04-30	401
2016-05-01	331
2016-05-02	301
2016-05-03	192
2016-05-04	244
2016-05-05	195
2016-05-06	332
2016-05-07	180
2016-05-08	245
2016-05-09	258
2016-05-10	185
2016-05-11	276
2016-05-12	293
2016-05-13	415
2016-05-14	313
2016-05-15	374
2016-05-16	482
2016-05-17	524
2016-05-18	216
2016-05-19	376
2016-05-20	294
2016-05-21	170
2016-05-22	201
2016-05-23	261
2016-05-24	213
2016-05-25	276
2016-05-26	249
2016-05-27	459
2016-05-28	248
2016-05-29	250
2016-05-30	172
2016-05-31	188
