date	freq
2015-06-01	25
2015-06-02	37
2015-06-03	29
2015-06-04	33
2015-06-05	58
2015-06-06	65
2015-06-07	51
2015-06-08	37
2015-06-09	20
2015-06-10	60
2015-06-11	43
2015-06-12	36
2015-06-13	48
2015-06-14	40
2015-06-15	33
2015-06-16	32
2015-06-17	23
2015-06-18	26
2015-06-19	36
2015-06-20	29
2015-06-21	22
2015-06-22	32
2015-06-23	21
2015-06-24	24
2015-06-25	30
2015-06-26	22
2015-06-27	30
2015-06-28	29
2015-06-29	27
2015-06-30	27
2015-07-01	43
2015-07-02	38
2015-07-03	32
2015-07-04	23
2015-07-05	27
2015-07-06	25
2015-07-07	30
2015-07-08	31
2015-07-09	23
2015-07-10	18
2015-07-11	29
2015-07-12	25
2015-07-13	36
2015-07-14	34
2015-07-15	30
2015-07-16	23
2015-07-17	27
2015-07-18	25
2015-07-19	99
2015-07-20	43
2015-07-21	58
2015-07-22	49
2015-07-23	133
2015-07-24	27
2015-07-25	35
2015-07-26	19
2015-07-27	29
2015-07-28	22
2015-07-29	29
2015-07-30	34
2015-07-31	32
2015-08-01	28
2015-08-02	32
2015-08-03	27
2015-08-04	30
2015-08-05	23
2015-08-06	31
2015-08-07	39
2015-08-08	23
2015-08-09	29
2015-08-10	24
2015-08-11	23
2015-08-12	18
2015-08-13	39
2015-08-14	22
2015-08-15	21
2015-08-16	27
2015-08-17	21
2015-08-18	19
2015-08-19	27
2015-08-20	35
2015-08-21	26
2015-08-22	29
2015-08-23	15
2015-08-24	17
2015-08-25	23
2015-08-26	31
2015-08-27	17
2015-08-28	23
2015-08-29	16
2015-08-30	27
2015-08-31	27
2015-09-01	25
2015-09-02	22
2015-09-03	22
2015-09-04	28
2015-09-05	23
2015-09-06	24
2015-09-07	26
2015-09-08	33
2015-09-09	26
2015-09-10	21
2015-09-11	19
2015-09-12	25
2015-09-13	25
2015-09-14	32
2015-09-15	28
2015-09-16	25
2015-09-17	26
2015-09-18	33
2015-09-19	27
2015-09-20	21
2015-09-21	27
2015-09-22	23
2015-09-23	26
2015-09-24	21
2015-09-25	23
2015-09-26	36
2015-09-27	20
2015-09-28	23
2015-09-29	27
2015-09-30	19
2015-10-01	29
2015-10-02	19
2015-10-03	31
2015-10-04	34
2015-10-05	26
2015-10-06	23
2015-10-07	33
2015-10-08	34
2015-10-09	30
2015-10-10	32
2015-10-11	25
2015-10-12	26
2015-10-13	26
2015-10-14	22
2015-10-15	30
2015-10-16	27
2015-10-17	29
2015-10-18	24
2015-10-19	14
2015-10-20	22
2015-10-21	27
2015-10-22	22
2015-10-23	26
2015-10-24	31
2015-10-25	28
2015-10-26	29
2015-10-27	21
2015-10-28	16
2015-10-29	22
2015-10-30	25
2015-10-31	27
2015-11-01	25
2015-11-02	29
2015-11-03	24
2015-11-04	26
2015-11-05	22
2015-11-06	24
2015-11-07	18
2015-11-08	29
2015-11-09	22
2015-11-10	35
2015-11-11	25
2015-11-12	14
2015-11-13	22
2015-11-14	22
2015-11-15	20
2015-11-16	25
2015-11-17	24
2015-11-18	47
2015-11-19	31
2015-11-20	18
2015-11-21	23
2015-11-22	33
2015-11-23	25
2015-11-24	27
2015-11-25	20
2015-11-26	30
2015-11-27	30
2015-11-28	24
2015-11-29	28
2015-11-30	25
2015-12-01	31
2015-12-02	19
2015-12-03	19
2015-12-04	25
2015-12-05	36
2015-12-06	27
2015-12-07	19
2015-12-08	26
2015-12-09	38
2015-12-10	22
2015-12-11	25
2015-12-12	20
2015-12-13	25
2015-12-14	19
2015-12-15	19
2015-12-16	24
2015-12-17	25
2015-12-18	23
2015-12-19	20
2015-12-20	21
2015-12-21	20
2015-12-22	17
2015-12-23	21
2015-12-24	27
2015-12-25	34
2015-12-26	32
2015-12-27	22
2015-12-28	30
2015-12-29	28
2015-12-30	32
2015-12-31	17
2016-01-01	18
2016-01-02	18
2016-01-03	23
2016-01-04	22
2016-01-05	30
2016-01-06	33
2016-01-07	21
2016-01-08	19
2016-01-09	27
2016-01-10	46
2016-01-11	19
2016-01-12	36
2016-01-13	22
2016-01-14	34
2016-01-15	26
2016-01-16	20
2016-01-17	29
2016-01-18	31
2016-01-19	20
2016-01-20	30
2016-01-21	29
2016-01-22	16
2016-01-23	22
2016-01-24	18
2016-01-25	41
2016-01-26	29
2016-01-27	25
2016-01-28	16
2016-01-29	21
2016-01-30	18
2016-01-31	24
2016-02-01	9
2016-02-02	21
2016-02-03	23
2016-02-04	16
2016-02-05	25
2016-02-06	19
2016-02-07	21
2016-02-08	20
2016-02-09	29
2016-02-10	22
2016-02-11	21
2016-02-12	28
2016-02-13	32
2016-02-14	18
2016-02-15	30
2016-02-16	28
2016-02-17	26
2016-02-18	25
2016-02-19	29
2016-02-20	26
2016-02-21	24
2016-02-22	23
2016-02-23	24
2016-02-24	23
2016-02-25	30
2016-02-26	29
2016-02-27	19
2016-02-28	19
2016-02-29	24
2016-03-01	21
