date	freq
2015-06-01	24
2015-06-02	29
2015-06-03	30
2015-06-04	19
2015-06-05	32
2015-06-06	18
2015-06-07	24
2015-06-08	37
2015-06-09	36
2015-06-10	34
2015-06-11	23
2015-06-12	30
2015-06-13	21
2015-06-14	21
2015-06-15	32
2015-06-16	32
2015-06-17	27
2015-06-18	33
2015-06-19	23
2015-06-20	27
2015-06-21	32
2015-06-22	19
2015-06-23	32
2015-06-24	14
2015-06-25	32
2015-06-26	25
2015-06-27	16
2015-06-28	28
2015-06-29	39
2015-06-30	30
2015-07-01	29
2015-07-02	25
2015-07-03	28
2015-07-04	25
2015-07-05	36
2015-07-06	25
2015-07-07	22
2015-07-08	20
2015-07-09	24
2015-07-10	15
2015-07-11	23
2015-07-12	20
2015-07-13	26
2015-07-14	25
2015-07-15	19
2015-07-16	27
2015-07-17	25
2015-07-18	16
2015-07-19	18
2015-07-20	29
2015-07-21	35
2015-07-22	25
2015-07-23	23
2015-07-24	25
2015-07-25	23
2015-07-26	21
2015-07-27	24
2015-07-28	14
2015-07-29	40
2015-07-30	45
2015-07-31	28
2015-08-01	22
2015-08-02	20
2015-08-03	28
2015-08-04	31
2015-08-05	26
2015-08-06	26
2015-08-07	24
2015-08-08	22
2015-08-09	24
2015-08-10	13
2015-08-11	16
2015-08-12	30
2015-08-13	28
2015-08-14	15
2015-08-15	29
2015-08-16	20
2015-08-17	30
2015-08-18	24
2015-08-19	25
2015-08-20	28
2015-08-21	35
2015-08-22	22
2015-08-23	18
2015-08-24	23
2015-08-25	21
2015-08-26	24
2015-08-27	21
2015-08-28	30
2015-08-29	16
2015-08-30	25
2015-08-31	25
2015-09-01	14
2015-09-02	25
2015-09-03	24
2015-09-04	19
2015-09-05	25
2015-09-06	19
2015-09-07	25
2015-09-08	16
2015-09-09	21
2015-09-10	14
2015-09-11	20
2015-09-12	22
2015-09-13	28
2015-09-14	31
2015-09-15	15
2015-09-16	26
2015-09-17	24
2015-09-18	40
2015-09-19	17
2015-09-20	25
2015-09-21	19
2015-09-22	34
2015-09-23	26
2015-09-24	22
2015-09-25	15
2015-09-26	20
2015-09-27	26
2015-09-28	22
2015-09-29	29
2015-09-30	13
2015-10-01	23
2015-10-02	31
2015-10-03	22
2015-10-04	19
2015-10-05	23
2015-10-06	73
2015-10-07	43
2015-10-08	24
2015-10-09	24
2015-10-10	27
2015-10-11	21
2015-10-12	15
2015-10-13	22
2015-10-14	22
2015-10-15	22
2015-10-16	32
2015-10-17	20
2015-10-18	24
2015-10-19	20
2015-10-20	21
2015-10-21	26
2015-10-22	21
2015-10-23	29
2015-10-24	23
2015-10-25	21
2015-10-26	47
2015-10-27	69
2015-10-28	32
2015-10-29	27
2015-10-30	14
2015-10-31	27
2015-11-01	19
2015-11-02	33
2015-11-03	33
2015-11-04	20
2015-11-05	17
2015-11-06	14
2015-11-07	18
2015-11-08	26
2015-11-09	20
2015-11-10	20
2015-11-11	20
2015-11-12	30
2015-11-13	28
2015-11-14	24
2015-11-15	22
2015-11-16	22
2015-11-17	30
2015-11-18	34
2015-11-19	32
2015-11-20	18
2015-11-21	23
2015-11-22	33
2015-11-23	18
2015-11-24	27
2015-11-25	25
2015-11-26	34
2015-11-27	21
2015-11-28	16
2015-11-29	28
2015-11-30	23
2015-12-01	27
2015-12-02	28
2015-12-03	26
2015-12-04	27
2015-12-05	13
2015-12-06	25
2015-12-07	23
2015-12-08	30
2015-12-09	22
2015-12-10	24
2015-12-11	20
2015-12-12	21
2015-12-13	18
2015-12-14	23
2015-12-15	28
2015-12-16	26
2015-12-17	20
2015-12-18	29
2015-12-19	23
2015-12-20	32
2015-12-21	27
2015-12-22	20
2015-12-23	22
2015-12-24	22
2015-12-25	21
2015-12-26	14
2015-12-27	17
2015-12-28	27
2015-12-29	19
2015-12-30	22
2015-12-31	17
2016-01-01	18
2016-01-02	25
2016-01-03	22
2016-01-04	27
2016-01-05	27
2016-01-06	29
2016-01-07	24
2016-01-08	26
2016-01-09	21
2016-01-10	13
