date	freq
2015-06-01	8
2015-06-02	5
2015-06-03	4
2015-06-04	5
2015-06-05	3
2015-06-06	4
2015-06-07	9
2015-06-08	4
2015-06-09	4
2015-06-10	5
2015-06-11	5
2015-06-12	11
2015-06-13	3
2015-06-14	4
2015-06-15	118
2015-06-16	9
2015-06-17	8
2015-06-18	1
2015-06-19	3
2015-06-20	4
2015-06-21	9
2015-06-22	3
2015-06-23	3
2015-06-24	2
2015-06-25	6
2015-06-26	4
2015-06-27	2
2015-06-28	2
2015-06-29	16
2015-06-30	5
2015-07-01	8
2015-07-02	4
2015-07-03	5
2015-07-04	0
2015-07-05	5
2015-07-06	4
2015-07-07	8
2015-07-08	3
2015-07-09	4
2015-07-10	1
2015-07-11	3
2015-07-12	3
2015-07-13	2
2015-07-14	1
2015-07-15	5
2015-07-16	6
2015-07-17	3
2015-07-18	4
2015-07-19	7
2015-07-20	6
2015-07-21	4
2015-07-22	4
2015-07-23	3
2015-07-24	6
2015-07-25	7
2015-07-26	7
2015-07-27	2
2015-07-28	5
2015-07-29	10
2015-07-30	5
2015-07-31	5
2015-08-01	1
2015-08-02	3
2015-08-03	3
2015-08-04	6
2015-08-05	4
2015-08-06	4
2015-08-07	5
2015-08-08	4
2015-08-09	5
2015-08-10	4
2015-08-11	1
2015-08-12	5
2015-08-13	4
2015-08-14	3
2015-08-15	2
2015-08-16	0
2015-08-17	3
2015-08-18	3
2015-08-19	15
2015-08-20	7
2015-08-21	17
2015-08-22	8
2015-08-23	5
2015-08-24	6
2015-08-25	4
2015-08-26	2
2015-08-27	3
2015-08-28	4
2015-08-29	7
2015-08-30	1
2015-08-31	5
2015-09-01	2
2015-09-02	3
2015-09-03	7
2015-09-04	13
2015-09-05	10
2015-09-06	4
2015-09-07	7
2015-09-08	7
2015-09-09	7
2015-09-10	7
2015-09-11	6
2015-09-12	5
2015-09-13	2
2015-09-14	5
2015-09-15	6
2015-09-16	5
2015-09-17	3
2015-09-18	12
2015-09-19	12
2015-09-20	7
2015-09-21	7
2015-09-22	11
2015-09-23	3
2015-09-24	4
2015-09-25	3
2015-09-26	3
2015-09-27	2
2015-09-28	2
2015-09-29	4
2015-09-30	5
2015-10-01	6
2015-10-02	5
2015-10-03	2
2015-10-04	5
2015-10-05	4
2015-10-06	18
2015-10-07	8
2015-10-08	6
2015-10-09	5
2015-10-10	9
2015-10-11	5
2015-10-12	2
2015-10-13	4
2015-10-14	2
2015-10-15	8
2015-10-16	42
2015-10-17	16
2015-10-18	15
2015-10-19	10
2015-10-20	7
2015-10-21	4
2015-10-22	3
2015-10-23	11
2015-10-24	3
2015-10-25	4
2015-10-26	4
2015-10-27	9
2015-10-28	8
2015-10-29	10
2015-10-30	2
2015-10-31	9
2015-11-01	8
2015-11-02	4
2015-11-03	1
2015-11-04	3
2015-11-05	4
2015-11-06	6
2015-11-07	1
2015-11-08	5
2015-11-09	4
2015-11-10	10
2015-11-11	5
2015-11-12	4
2015-11-13	4
2015-11-14	5
2015-11-15	1
2015-11-16	4
2015-11-17	9
2015-11-18	5
2015-11-19	5
2015-11-20	4
2015-11-21	4
2015-11-22	8
2015-11-23	5
2015-11-24	6
2015-11-25	7
2015-11-26	4
2015-11-27	4
2015-11-28	3
2015-11-29	3
2015-11-30	3
2015-12-01	5
2015-12-02	18
2015-12-03	9
2015-12-04	2
2015-12-05	6
2015-12-06	7
2015-12-07	3
2015-12-08	7
2015-12-09	2
2015-12-10	2
2015-12-11	5
2015-12-12	2
2015-12-13	1
2015-12-14	4
2015-12-15	6
2015-12-16	2
2015-12-17	5
2015-12-18	6
2015-12-19	58
2015-12-20	21
2015-12-21	6
2015-12-22	25
2015-12-23	4
2015-12-24	4
2015-12-25	4
2015-12-26	107
2015-12-27	8
2015-12-28	6
2015-12-29	4
2015-12-30	3
2015-12-31	4
2016-01-01	3
2016-01-02	17
2016-01-03	7
2016-01-04	3
2016-01-05	8
2016-01-06	5
2016-01-07	3
2016-01-08	6
2016-01-09	2
2016-01-10	6
2016-01-11	4
2016-01-12	4
2016-01-13	6
2016-01-14	4
2016-01-15	9
2016-01-16	7
2016-01-17	2
2016-01-18	10
2016-01-19	5
2016-01-20	7
2016-01-21	9
2016-01-22	4
2016-01-23	6
2016-01-24	8
2016-01-25	5
2016-01-26	2
2016-01-27	3
2016-01-28	4
2016-01-29	4
2016-01-30	5
2016-01-31	1
2016-02-01	4
2016-02-02	3
2016-02-03	6
2016-02-04	4
2016-02-05	1
2016-02-06	4
2016-02-07	4
2016-02-08	4
2016-02-09	3
2016-02-10	15
2016-02-11	8
2016-02-12	12
2016-02-13	5
2016-02-14	4
2016-02-15	20
2016-02-16	8
2016-02-17	9
2016-02-18	2
2016-02-19	3
2016-02-20	10
2016-02-21	3
2016-02-22	5
2016-02-23	8
2016-02-24	10
2016-02-25	5
2016-02-26	9
2016-02-27	8
2016-02-28	5
2016-02-29	7
2016-03-01	1
2016-03-02	2
2016-03-03	4
2016-03-04	5
2016-03-05	3
2016-03-06	7
2016-03-07	4
2016-03-08	2
2016-03-09	3
2016-03-10	6
2016-03-11	7
2016-03-12	6
2016-03-13	4
2016-03-14	2
2016-03-15	7
2016-03-16	3
2016-03-17	4
2016-03-18	4
2016-03-19	6
2016-03-20	10
2016-03-21	9
2016-03-22	2
2016-03-23	7
2016-03-24	5
2016-03-25	5
2016-03-26	4
2016-03-27	2
2016-03-28	5
2016-03-29	6
2016-03-30	4
2016-03-31	4
2016-04-01	4
2016-04-02	3
2016-04-03	4
2016-04-04	7
2016-04-05	7
2016-04-06	4
2016-04-07	2
2016-04-08	5
2016-04-09	12
2016-04-10	9
2016-04-11	0
2016-04-12	5
2016-04-13	1
2016-04-14	3
2016-04-15	0
2016-04-16	6
2016-04-17	6
2016-04-18	3
2016-04-19	3
2016-04-20	6
2016-04-21	2
2016-04-22	4
2016-04-23	4
2016-04-24	3
2016-04-25	9
2016-04-26	5
2016-04-27	9
2016-04-28	7
2016-04-29	4
2016-04-30	4
2016-05-01	2
2016-05-02	7
2016-05-03	6
2016-05-04	7
2016-05-05	7
2016-05-06	2
2016-05-07	3
2016-05-08	1
2016-05-09	4
2016-05-10	5
2016-05-11	4
2016-05-12	5
2016-05-13	5
2016-05-14	2
2016-05-15	3
2016-05-16	5
2016-05-17	6
2016-05-18	7
2016-05-19	7
2016-05-20	10
2016-05-21	11
2016-05-22	5
2016-05-23	2
2016-05-24	3
2016-05-25	3
2016-05-26	3
2016-05-27	1
2016-05-28	4
2016-05-29	3
2016-05-30	9
2016-05-31	22
